------------
DL METADATA
 > URL: https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=54&areatype=county&topic=pop&demo=00104&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1
 > Details: {'stateFIPS': '54', 'areatype': 'county', 'topic': 'pop', 'demo': '00104', 'race': '00', 'sex': '0', 'age': '001', 'type': 'manyareacensus', 'file_name': 'demographics_027.csv', 'source_url': 'https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=54&areatype=county&topic=pop&demo=00104&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1'}
------------
Demographic Data Report for West Virginia by County
Population: Sex - Male
"All Ages, All Races (includes Hispanic), Both Sexes"
2013-2017 American Community Survey 5-Year Data
Sorted by Value

County, FIPS,Value (Percent),People (Male),Rank within US
"United States",00000,49.2,158018753,"N/A"
"West Virginia",54000,49.4,907621,"29 of 52"
"Summers County",54089,45.2,5969,"8 of 3141"
"Mercer County",54055,47.8,29134,"189 of 3141"
"Kanawha County",54039,48.1,90415,"290 of 3141"
"Ohio County",54069,48.2,20667,"307 of 3141"
"Mason County",54053,48.2,13010,"312 of 3141"
"Wood County",54107,48.2,41458,"318 of 3141"
"Hancock County",54029,48.4,14495,"452 of 3141"
"Mingo County",54059,48.5,12190,"468 of 3141"
"Wayne County",54099,48.6,19968,"566 of 3141"
"Barbour County",54001,48.6,8165,"571 of 3141"
"Harrison County",54033,48.8,33365,"657 of 3141"
"Wetzel County",54103,48.8,7700,"660 of 3141"
"Greenbrier County",54025,48.8,17349,"731 of 3141"
"Brooke County",54009,48.9,11287,"820 of 3141"
"Cabell County",54011,49.0,47121,"921 of 3141"
"Nicholas County",54067,49.1,12515,"973 of 3141"
"Marion County",54049,49.2,27818,"1054 of 3141"
"Wyoming County",54109,49.2,10894,"1115 of 3141"
"Berkeley County",54003,49.2,54961,"1135 of 3141"
"Morgan County",54065,49.2,8623,"1137 of 3141"
"Putnam County",54079,49.3,27904,"1154 of 3141"
"Marshall County",54051,49.3,15780,"1201 of 3141"
"Logan County",54045,49.4,16994,"1276 of 3141"
"Jefferson County",54037,49.4,27488,"1298 of 3141"
"Monroe County",54063,49.4,6678,"1347 of 3141"
"Roane County",54087,49.5,7100,"1443 of 3141"
"Calhoun County",54013,49.5,3689,"1479 of 3141"
"Hardy County",54031,49.6,6846,"1533 of 3141"
"Jackson County",54035,49.6,14440,"1556 of 3141"
"Boone County",54005,49.6,11530,"1591 of 3141"
"Webster County",54101,49.6,4286,"1595 of 3141"
"Tyler County",54095,49.8,4454,"1741 of 3141"
"Upshur County",54097,49.8,12252,"1768 of 3141"
"Mineral County",54057,49.9,13673,"1815 of 3141"
"Clay County",54015,49.9,4443,"1871 of 3141"
"Braxton County",54007,50.0,7172,"1943 of 3141"
"Ritchie County",54085,50.0,5005,"1968 of 3141"
"Grant County",54023,50.1,5844,"1995 of 3141"
"Lewis County",54041,50.1,8198,"2003 of 3141"
"Lincoln County",54043,50.1,10644,"2036 of 3141"
"Pendleton County",54071,50.2,3583,"2110 of 3141"
"Raleigh County",54081,50.2,38718,"2130 of 3141"
"Fayette County",54019,50.2,22404,"2144 of 3141"
"Tucker County",54093,50.2,3534,"2148 of 3141"
"Wirt County",54105,50.8,2944,"2463 of 3141"
"Taylor County",54091,50.9,8645,"2513 of 3141"
"Randolph County",54083,51.2,14921,"2597 of 3141"
"Preston County",54077,51.5,17379,"2674 of 3141"
"Hampshire County",54027,51.6,12081,"2702 of 3141"
"McDowell County",54047,51.6,10178,"2711 of 3141"
"Monongalia County",54061,51.7,53632,"2724 of 3141"
"Pocahontas County",54075,52.1,4467,"2797 of 3141"
"Pleasants County",54073,53.9,4058,"2976 of 3141"
"Doddridge County",54017,54.2,4641,"2988 of 3141"
"Gilmer County",54021,59.1,4912,"3097 of 3141"

Created by statecancerprofiles.cancer.gov on 03/29/2020 6:21 pm.
Source: Demographic data provided by the Census Bureau (http://www.census.gov/) & the American Community Survey (http://www.census.gov/acs/www/).
"For more information about Population: Sex - Male, see the dictionary at http://statecancerprofiles.cancer.gov/dictionary.php#population."
"Health Service Areas are a single county or cluster of contiguous counties which are relatively self-contained with respect to hospital care. For more detailed information, please see the Health Service Area information page at http://statecancerprofiles.cancer.gov/hsa.php ."
Data for United States does not include Puerto Rico.
