------------
DL METADATA
 > URL: https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=54&areatype=county&topic=pop&demo=00101&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1
 > Details: {'stateFIPS': '54', 'areatype': 'county', 'topic': 'pop', 'demo': '00101', 'race': '00', 'sex': '0', 'age': '001', 'type': 'manyareacensus', 'file_name': 'demographics_024.csv', 'source_url': 'https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=54&areatype=county&topic=pop&demo=00101&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1'}
------------
Demographic Data Report for West Virginia by County
Population: Non-Hispanic (Origin Recode)
"All Ages, All Races (includes Hispanic), Both Sexes"
2013-2017 American Community Survey 5-Year Data
Sorted by Value

County, FIPS,Value (Percent),People (Non-Hispanic [Origin Recode]),Rank within US
"United States",00000,82.4,264493836,"N/A"
"West Virginia",54000,98.5,1809822,"52 of 52"
"Jefferson County",54037,94.7,52701,"1252 of 3141"
"Hardy County",54031,95.8,13225,"1485 of 3141"
"Gilmer County",54021,95.9,7961,"1524 of 3141"
"Berkeley County",54003,96.0,107124,"1557 of 3141"
"Preston County",54077,97.9,33035,"2303 of 3141"
"Monongalia County",54061,97.9,101554,"2340 of 3141"
"Greenbrier County",54025,98.3,34907,"2530 of 3141"
"Raleigh County",54081,98.4,75887,"2624 of 3141"
"McDowell County",54047,98.4,19399,"2630 of 3141"
"Harrison County",54033,98.4,67375,"2643 of 3141"
"Pocahontas County",54075,98.4,8441,"2645 of 3141"
"Hancock County",54029,98.6,29493,"2732 of 3141"
"Morgan County",54065,98.6,17260,"2733 of 3141"
"Cabell County",54011,98.6,94775,"2765 of 3141"
"Hampshire County",54027,98.7,23101,"2787 of 3141"
"Lewis County",54041,98.7,16163,"2824 of 3141"
"Calhoun County",54013,98.7,7356,"2830 of 3141"
"Monroe County",54063,98.7,13348,"2837 of 3141"
"Summers County",54089,98.8,13045,"2839 of 3141"
"Upshur County",54097,98.8,24297,"2840 of 3141"
"Marion County",54049,98.8,55895,"2860 of 3141"
"Putnam County",54079,98.9,56015,"2894 of 3141"
"Pendleton County",54071,98.9,7060,"2905 of 3141"
"Fayette County",54019,98.9,44120,"2909 of 3141"
"Wood County",54107,98.9,85103,"2913 of 3141"
"Mercer County",54055,98.9,60318,"2914 of 3141"
"Kanawha County",54039,98.9,185845,"2915 of 3141"
"Ohio County",54069,99.0,42459,"2920 of 3141"
"Braxton County",54007,99.0,14201,"2931 of 3141"
"Marshall County",54051,99.0,31689,"2934 of 3141"
"Roane County",54087,99.0,14206,"2935 of 3141"
"Grant County",54023,99.0,11560,"2944 of 3141"
"Wirt County",54105,99.1,5748,"2959 of 3141"
"Brooke County",54009,99.1,22862,"2965 of 3141"
"Barbour County",54001,99.1,16641,"2966 of 3141"
"Mineral County",54057,99.1,27183,"2974 of 3141"
"Randolph County",54083,99.1,28900,"2977 of 3141"
"Logan County",54045,99.2,34139,"2985 of 3141"
"Pleasants County",54073,99.3,7471,"3008 of 3141"
"Tucker County",54093,99.3,6987,"3028 of 3141"
"Mason County",54053,99.4,26825,"3032 of 3141"
"Wayne County",54099,99.4,40805,"3038 of 3141"
"Lincoln County",54043,99.4,21112,"3040 of 3141"
"Nicholas County",54067,99.4,25350,"3049 of 3141"
"Boone County",54005,99.4,23103,"3050 of 3141"
"Wetzel County",54103,99.5,15716,"3072 of 3141"
"Taylor County",54091,99.6,16901,"3076 of 3141"
"Doddridge County",54017,99.6,8533,"3078 of 3141"
"Jackson County",54035,99.6,28998,"3080 of 3141"
"Ritchie County",54085,99.7,9971,"3092 of 3141"
"Clay County",54015,99.7,8877,"3109 of 3141"
"Tyler County",54095,99.7,8926,"3111 of 3141"
"Wyoming County",54109,99.7,22074,"3112 of 3141"
"Mingo County",54059,100.0,25145,"3129 of 3141"
"Webster County",54101,100.0,8637,"3133 of 3141"

Created by statecancerprofiles.cancer.gov on 03/29/2020 6:21 pm.
Source: Demographic data provided by the Census Bureau (http://www.census.gov/) & the American Community Survey (http://www.census.gov/acs/www/).
"For more information about Population: Non-Hispanic (Origin Recode), see the dictionary at http://statecancerprofiles.cancer.gov/dictionary.php#population."
"Health Service Areas are a single county or cluster of contiguous counties which are relatively self-contained with respect to hospital care. For more detailed information, please see the Health Service Area information page at http://statecancerprofiles.cancer.gov/hsa.php ."
Data for United States does not include Puerto Rico.
