------------
DL METADATA
 > URL: https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=54&areatype=county&topic=pop&demo=00014&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1
 > Details: {'stateFIPS': '54', 'areatype': 'county', 'topic': 'pop', 'demo': '00014', 'race': '00', 'sex': '0', 'age': '001', 'type': 'manyareacensus', 'file_name': 'demographics_022.csv', 'source_url': 'https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=54&areatype=county&topic=pop&demo=00014&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1'}
------------
Demographic Data Report for West Virginia by County
Population: Foreign born
"All Ages, All Races (includes Hispanic), Both Sexes"
2013-2017 American Community Survey 5-Year Data
Sorted by Value

County, FIPS,Value (Percent),People (Foreign Born),Rank within US
"West Virginia",54000,1.6,29578,"51 of 51"
"United States",00000,13.4,43028127,"N/A"
"Clay County",54015,0.0,0,"3128 of 3140"
"Wirt County",54105,0.0,0,"3128 of 3140"
"Mingo County",54059,0.1,19,"3124 of 3140"
"Grant County",54023,0.1,16,"3112 of 3140"
"Pleasants County",54073,0.2,13,"3103 of 3140"
"Braxton County",54007,0.2,25,"3102 of 3140"
"Lincoln County",54043,0.2,40,"3100 of 3140"
"Webster County",54101,0.3,24,"3076 of 3140"
"Boone County",54005,0.3,73,"3065 of 3140"
"Wyoming County",54109,0.3,72,"3063 of 3140"
"Logan County",54045,0.4,127,"3047 of 3140"
"Monroe County",54063,0.4,55,"3036 of 3140"
"Jackson County",54035,0.5,144,"2996 of 3140"
"Roane County",54087,0.5,74,"2987 of 3140"
"Barbour County",54001,0.5,88,"2981 of 3140"
"Wayne County",54099,0.5,219,"2977 of 3140"
"Mineral County",54057,0.6,152,"2959 of 3140"
"Tucker County",54093,0.6,43,"2932 of 3140"
"Upshur County",54097,0.6,158,"2906 of 3140"
"Hampshire County",54027,0.6,152,"2901 of 3140"
"Wetzel County",54103,0.7,103,"2900 of 3140"
"Pendleton County",54071,0.7,47,"2892 of 3140"
"Mason County",54053,0.7,181,"2882 of 3140"
"Marshall County",54051,0.7,224,"2861 of 3140"
"Summers County",54089,0.7,98,"2833 of 3140"
"Doddridge County",54017,0.7,64,"2829 of 3140"
"Ritchie County",54085,0.8,77,"2813 of 3140"
"Tyler County",54095,0.8,69,"2810 of 3140"
"Randolph County",54083,0.8,231,"2797 of 3140"
"Calhoun County",54013,0.8,61,"2776 of 3140"
"Fayette County",54019,0.9,385,"2746 of 3140"
"Harrison County",54033,0.9,604,"2735 of 3140"
"Putnam County",54079,0.9,536,"2688 of 3140"
"Nicholas County",54067,1.0,243,"2683 of 3140"
"Taylor County",54091,1.0,166,"2664 of 3140"
"Wood County",54107,1.0,845,"2658 of 3140"
"Mercer County",54055,1.2,710,"2525 of 3140"
"Preston County",54077,1.2,415,"2457 of 3140"
"McDowell County",54047,1.3,251,"2415 of 3140"
"Marion County",54049,1.3,721,"2414 of 3140"
"Greenbrier County",54025,1.3,458,"2398 of 3140"
"Pocahontas County",54075,1.3,115,"2363 of 3140"
"Brooke County",54009,1.4,318,"2333 of 3140"
"Lewis County",54041,1.5,248,"2232 of 3140"
"Cabell County",54011,1.6,1516,"2192 of 3140"
"Ohio County",54069,1.7,714,"2129 of 3140"
"Raleigh County",54081,1.7,1308,"2113 of 3140"
"Hancock County",54029,1.7,523,"2067 of 3140"
"Kanawha County",54039,1.8,3330,"2051 of 3140"
"Morgan County",54065,2.3,398,"1762 of 3140"
"Gilmer County",54021,2.7,221,"1588 of 3140"
"Berkeley County",54003,3.4,3790,"1291 of 3140"
"Hardy County",54031,4.2,583,"1053 of 3140"
"Jefferson County",54037,5.0,2759,"929 of 3140"
"Monongalia County",54061,5.6,5772,"816 of 3140"

Created by statecancerprofiles.cancer.gov on 03/29/2020 6:21 pm.
Source: Demographic data provided by the Census Bureau (http://www.census.gov/) & the American Community Survey (http://www.census.gov/acs/www/).
"For more information about Population: Foreign born, see the dictionary at http://statecancerprofiles.cancer.gov/dictionary.php#population."
"Health Service Areas are a single county or cluster of contiguous counties which are relatively self-contained with respect to hospital care. For more detailed information, please see the Health Service Area information page at http://statecancerprofiles.cancer.gov/hsa.php ."
Data for United States does not include Puerto Rico.
