------------
DL METADATA
 > URL: https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=54&areatype=county&topic=crowd&demo=00027&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1
 > Details: {'stateFIPS': '54', 'areatype': 'county', 'topic': 'crowd', 'demo': '00027', 'race': '00', 'sex': '0', 'age': '001', 'type': 'manyareacensus', 'file_name': 'demographics_000.csv', 'source_url': 'https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=54&areatype=county&topic=crowd&demo=00027&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1'}
------------
Demographic Data Report for West Virginia by County
Crowding: Households with >1 person per room
"All Ages, All Races (includes Hispanic), Both Sexes"
2013-2017 American Community Survey 5-Year Data
Sorted by Value

County, FIPS,Value (Percent),Households (with >1 Person Per Room),Rank within US
"West Virginia",54000,1.4,10040,"51 of 52"
"United States",00000,3.3,3975282,"N/A"
"Ritchie County",54085,0.2,6,"3084 of 3141"
"Webster County",54101,0.2,8,"3075 of 3141"
"Calhoun County",54013,0.3,9,"3051 of 3141"
"Tucker County",54093,0.6,18,"2935 of 3141"
"Pocahontas County",54075,0.6,23,"2926 of 3141"
"Taylor County",54091,0.6,43,"2913 of 3141"
"Mingo County",54059,0.7,77,"2886 of 3141"
"Grant County",54023,0.7,32,"2863 of 3141"
"Randolph County",54083,0.8,89,"2829 of 3141"
"Wetzel County",54103,0.8,49,"2798 of 3141"
"Pleasants County",54073,0.8,24,"2787 of 3141"
"Mercer County",54055,0.8,211,"2780 of 3141"
"Putnam County",54079,0.9,190,"2742 of 3141"
"Wood County",54107,0.9,320,"2725 of 3141"
"Wayne County",54099,0.9,147,"2707 of 3141"
"Hancock County",54029,0.9,116,"2699 of 3141"
"Barbour County",54001,0.9,59,"2671 of 3141"
"Mineral County",54057,1.0,108,"2659 of 3141"
"Kanawha County",54039,1.0,776,"2650 of 3141"
"Cabell County",54011,1.0,395,"2631 of 3141"
"Marshall County",54051,1.0,127,"2613 of 3141"
"Ohio County",54069,1.0,181,"2597 of 3141"
"Doddridge County",54017,1.1,28,"2558 of 3141"
"Logan County",54045,1.1,154,"2507 of 3141"
"Upshur County",54097,1.1,103,"2503 of 3141"
"Gilmer County",54021,1.1,30,"2498 of 3141"
"Preston County",54077,1.1,138,"2497 of 3141"
"Raleigh County",54081,1.1,351,"2464 of 3141"
"Jackson County",54035,1.2,131,"2412 of 3141"
"Greenbrier County",54025,1.2,184,"2371 of 3141"
"Roane County",54087,1.3,75,"2274 of 3141"
"Clay County",54015,1.3,44,"2247 of 3141"
"Pendleton County",54071,1.4,41,"2195 of 3141"
"Marion County",54049,1.4,311,"2174 of 3141"
"Fayette County",54019,1.4,249,"2135 of 3141"
"Lincoln County",54043,1.4,114,"2120 of 3141"
"Monroe County",54063,1.5,87,"2029 of 3141"
"Braxton County",54007,1.6,86,"1953 of 3141"
"Harrison County",54033,1.6,432,"1946 of 3141"
"Mason County",54053,1.6,176,"1929 of 3141"
"Jefferson County",54037,1.6,331,"1928 of 3141"
"McDowell County",54047,1.6,123,"1924 of 3141"
"Tyler County",54095,1.7,60,"1826 of 3141"
"Boone County",54005,1.7,162,"1764 of 3141"
"Morgan County",54065,1.8,128,"1710 of 3141"
"Hardy County",54031,1.8,101,"1691 of 3141"
"Nicholas County",54067,1.8,194,"1689 of 3141"
"Brooke County",54009,1.9,185,"1644 of 3141"
"Summers County",54089,1.9,106,"1564 of 3141"
"Hampshire County",54027,2.1,202,"1415 of 3141"
"Lewis County",54041,2.2,144,"1312 of 3141"
"Wirt County",54105,2.2,54,"1271 of 3141"
"Wyoming County",54109,2.5,233,"988 of 3141"
"Berkeley County",54003,2.6,1115,"940 of 3141"
"Monongalia County",54061,3.0,1160,"730 of 3141"

Created by statecancerprofiles.cancer.gov on 03/29/2020 6:21 pm.
Source: Demographic data provided by the Census Bureau (http://www.census.gov/) & the American Community Survey (http://www.census.gov/acs/www/).
"For more information about Crowding: Households with >1 person per room, see the dictionary at http://statecancerprofiles.cancer.gov/dictionary.php#crowding."
"Health Service Areas are a single county or cluster of contiguous counties which are relatively self-contained with respect to hospital care. For more detailed information, please see the Health Service Area information page at http://statecancerprofiles.cancer.gov/hsa.php ."
Data for United States does not include Puerto Rico.
