------------
DL METADATA
 > URL: https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=54&areatype=county&topic=pop&demo=00103&race=00&sex=0&age=999&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1
 > Details: {'stateFIPS': '54', 'areatype': 'county', 'topic': 'pop', 'demo': '00103', 'race': '00', 'sex': '0', 'age': '999', 'type': 'manyareacensus', 'file_name': 'demographics_015.csv', 'source_url': 'https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=54&areatype=county&topic=pop&demo=00103&race=00&sex=0&age=999&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1'}
------------
Demographic Data Report for West Virginia by County
Population: Age 40-64
"Age N/A, All Races (includes Hispanic), Both Sexes"
2013-2017 American Community Survey 5-Year Data
Sorted by Value

County, FIPS,Value (Percent),People (Age 40-64),Rank within US
"United States",00000,32.4,104105673,"N/A"
"West Virginia",54000,34.4,630969,"47 of 52"
"Monongalia County",54061,26.9,27898,"117 of 3141"
"Cabell County",54011,30.7,29546,"536 of 3141"
"Gilmer County",54021,32.3,2682,"1029 of 3141"
"Barbour County",54001,32.7,5487,"1186 of 3141"
"Marion County",54049,33.1,18714,"1372 of 3141"
"Mercer County",54055,33.3,20287,"1469 of 3141"
"Ohio County",54069,33.4,14349,"1555 of 3141"
"Wetzel County",54103,33.7,5323,"1709 of 3141"
"Upshur County",54097,33.7,8300,"1720 of 3141"
"Raleigh County",54081,33.8,26093,"1790 of 3141"
"Randolph County",54083,33.9,9870,"1796 of 3141"
"Lewis County",54041,33.9,5554,"1834 of 3141"
"Grant County",54023,34.2,3997,"1987 of 3141"
"Harrison County",54033,34.4,23535,"2066 of 3141"
"Mineral County",54057,34.5,9451,"2108 of 3141"
"Preston County",54077,34.7,11713,"2206 of 3141"
"Berkeley County",54003,34.7,38728,"2208 of 3141"
"Wood County",54107,34.8,29958,"2289 of 3141"
"Wayne County",54099,34.9,14332,"2319 of 3141"
"Kanawha County",54039,34.9,65628,"2339 of 3141"
"Jackson County",54035,35.0,10189,"2359 of 3141"
"Mason County",54053,35.0,9453,"2371 of 3141"
"Fayette County",54019,35.0,15632,"2386 of 3141"
"Braxton County",54007,35.3,5060,"2466 of 3141"
"Roane County",54087,35.3,5063,"2469 of 3141"
"Greenbrier County",54025,35.3,12538,"2471 of 3141"
"Monroe County",54063,35.3,4778,"2484 of 3141"
"Putnam County",54079,35.4,20057,"2513 of 3141"
"Mingo County",54059,35.5,8920,"2536 of 3141"
"Nicholas County",54067,35.6,9068,"2569 of 3141"
"Jefferson County",54037,35.7,19867,"2600 of 3141"
"Marshall County",54051,35.7,11422,"2601 of 3141"
"Summers County",54089,35.7,4721,"2624 of 3141"
"Pocahontas County",54075,35.9,3074,"2660 of 3141"
"Wyoming County",54109,35.9,7945,"2675 of 3141"
"Taylor County",54091,36.0,6115,"2710 of 3141"
"Brooke County",54009,36.0,8312,"2718 of 3141"
"Lincoln County",54043,36.0,7656,"2723 of 3141"
"McDowell County",54047,36.2,7128,"2753 of 3141"
"Hardy County",54031,36.2,4996,"2754 of 3141"
"Boone County",54005,36.3,8438,"2788 of 3141"
"Ritchie County",54085,36.3,3635,"2794 of 3141"
"Doddridge County",54017,36.6,3133,"2834 of 3141"
"Webster County",54101,36.6,3159,"2838 of 3141"
"Tyler County",54095,36.6,3279,"2852 of 3141"
"Clay County",54015,36.8,3278,"2888 of 3141"
"Pleasants County",54073,37.0,2782,"2915 of 3141"
"Logan County",54045,37.1,12775,"2938 of 3141"
"Tucker County",54093,37.3,2627,"2970 of 3141"
"Pendleton County",54071,37.4,2668,"2972 of 3141"
"Morgan County",54065,37.5,6558,"2982 of 3141"
"Hampshire County",54027,37.8,8854,"3018 of 3141"
"Hancock County",54029,37.8,11316,"3019 of 3141"
"Wirt County",54105,37.8,2195,"3022 of 3141"
"Calhoun County",54013,38.0,2833,"3035 of 3141"

Created by statecancerprofiles.cancer.gov on 03/29/2020 6:21 pm.
Source: Demographic data provided by the Census Bureau (http://www.census.gov/) & the American Community Survey (http://www.census.gov/acs/www/).
"For more information about Population: Age 40-64, see the dictionary at http://statecancerprofiles.cancer.gov/dictionary.php#population."
"Health Service Areas are a single county or cluster of contiguous counties which are relatively self-contained with respect to hospital care. For more detailed information, please see the Health Service Area information page at http://statecancerprofiles.cancer.gov/hsa.php ."
Data for United States does not include Puerto Rico.
