------------
DL METADATA
 > URL: https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=54&areatype=county&topic=pop&demo=00026&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1
 > Details: {'stateFIPS': '54', 'areatype': 'county', 'topic': 'pop', 'demo': '00026', 'race': '00', 'sex': '0', 'age': '001', 'type': 'manyareacensus', 'file_name': 'demographics_023.csv', 'source_url': 'https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=54&areatype=county&topic=pop&demo=00026&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1'}
------------
Demographic Data Report for West Virginia by County
Population: Hispanic
"All Ages, Both Sexes"
2013-2017 American Community Survey 5-Year Data
Sorted by Value

County, FIPS,Value (Percent),People (Hispanic),Rank within US
"West Virginia",54000,1.5,27021,"52 of 52"
"United States",00000,17.6,56510571,"N/A"
"Webster County",54101,0.0,0,"3133 of 3141"
"Mingo County",54059,0.0,5,"3129 of 3141"
"Wyoming County",54109,0.3,56,"3112 of 3141"
"Tyler County",54095,0.3,23,"3111 of 3141"
"Clay County",54015,0.3,24,"3109 of 3141"
"Ritchie County",54085,0.3,34,"3092 of 3141"
"Jackson County",54035,0.4,125,"3080 of 3141"
"Doddridge County",54017,0.4,37,"3078 of 3141"
"Taylor County",54091,0.4,76,"3076 of 3141"
"Wetzel County",54103,0.5,77,"3072 of 3141"
"Boone County",54005,0.6,133,"3050 of 3141"
"Nicholas County",54067,0.6,146,"3049 of 3141"
"Lincoln County",54043,0.6,129,"3040 of 3141"
"Wayne County",54099,0.6,258,"3038 of 3141"
"Mason County",54053,0.6,175,"3032 of 3141"
"Tucker County",54093,0.7,48,"3028 of 3141"
"Pleasants County",54073,0.7,56,"3008 of 3141"
"Logan County",54045,0.8,289,"2985 of 3141"
"Randolph County",54083,0.9,252,"2977 of 3141"
"Mineral County",54057,0.9,238,"2974 of 3141"
"Barbour County",54001,0.9,149,"2966 of 3141"
"Brooke County",54009,0.9,205,"2965 of 3141"
"Wirt County",54105,0.9,52,"2959 of 3141"
"Grant County",54023,1.0,113,"2944 of 3141"
"Roane County",54087,1.0,142,"2935 of 3141"
"Marshall County",54051,1.0,317,"2934 of 3141"
"Braxton County",54007,1.0,144,"2931 of 3141"
"Ohio County",54069,1.0,447,"2920 of 3141"
"Kanawha County",54039,1.1,1982,"2915 of 3141"
"Mercer County",54055,1.1,645,"2914 of 3141"
"Wood County",54107,1.1,913,"2913 of 3141"
"Fayette County",54019,1.1,482,"2909 of 3141"
"Pendleton County",54071,1.1,78,"2905 of 3141"
"Putnam County",54079,1.1,629,"2894 of 3141"
"Marion County",54049,1.2,680,"2860 of 3141"
"Upshur County",54097,1.2,307,"2840 of 3141"
"Summers County",54089,1.2,165,"2839 of 3141"
"Monroe County",54063,1.3,169,"2837 of 3141"
"Calhoun County",54013,1.3,94,"2830 of 3141"
"Lewis County",54041,1.3,208,"2824 of 3141"
"Hampshire County",54027,1.3,311,"2787 of 3141"
"Cabell County",54011,1.4,1325,"2765 of 3141"
"Morgan County",54065,1.4,250,"2733 of 3141"
"Hancock County",54029,1.4,428,"2732 of 3141"
"Pocahontas County",54075,1.6,133,"2645 of 3141"
"Harrison County",54033,1.6,1063,"2643 of 3141"
"McDowell County",54047,1.6,308,"2630 of 3141"
"Raleigh County",54081,1.6,1210,"2624 of 3141"
"Greenbrier County",54025,1.7,616,"2530 of 3141"
"Monongalia County",54061,2.1,2161,"2340 of 3141"
"Preston County",54077,2.1,725,"2303 of 3141"
"Berkeley County",54003,4.0,4486,"1557 of 3141"
"Gilmer County",54021,4.1,344,"1524 of 3141"
"Hardy County",54031,4.2,587,"1485 of 3141"
"Jefferson County",54037,5.3,2972,"1252 of 3141"

Created by statecancerprofiles.cancer.gov on 03/29/2020 6:21 pm.
Source: Demographic data provided by the Census Bureau (http://www.census.gov/) & the American Community Survey (http://www.census.gov/acs/www/).
"For more information about Population: Hispanic, see the dictionary at http://statecancerprofiles.cancer.gov/dictionary.php#population."
"Health Service Areas are a single county or cluster of contiguous counties which are relatively self-contained with respect to hospital care. For more detailed information, please see the Health Service Area information page at http://statecancerprofiles.cancer.gov/hsa.php ."
Data for United States does not include Puerto Rico.
