------------
DL METADATA
 > URL: https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=54&areatype=county&topic=mob&demo=00019&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1
 > Details: {'stateFIPS': '54', 'areatype': 'county', 'topic': 'mob', 'demo': '00019', 'race': '00', 'sex': '0', 'age': '001', 'type': 'manyareacensus', 'file_name': 'demographics_010.csv', 'source_url': 'https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=54&areatype=county&topic=mob&demo=00019&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1'}
------------
Demographic Data Report for West Virginia by County
"Mobility: Moved, different county this state (in past year)"
"All Ages, All Races (includes Hispanic), Both Sexes"
2013-2017 American Community Survey 5-Year Data
Sorted by Value

County, FIPS,Value (Percent),People (Moved From Different County In Same State),Rank within US
"West Virginia",54000,2.6,47747,"15 of 51"
"United States",00000,3.2,10247779,"N/A"
"Mineral County",54057,0.8,218,"26 of 3140"
"Nicholas County",54067,1.2,300,"72 of 3140"
"Morgan County",54065,1.2,211,"78 of 3140"
"Mingo County",54059,1.3,331,"106 of 3140"
"Fayette County",54019,1.3,590,"112 of 3140"
"Wyoming County",54109,1.4,297,"113 of 3140"
"Mercer County",54055,1.5,927,"156 of 3140"
"Wetzel County",54103,1.5,240,"158 of 3140"
"Pendleton County",54071,1.6,111,"171 of 3140"
"Wood County",54107,1.6,1373,"186 of 3140"
"Berkeley County",54003,1.6,1813,"198 of 3140"
"Ritchie County",54085,1.8,180,"250 of 3140"
"Grant County",54023,1.8,211,"257 of 3140"
"Tyler County",54095,1.9,166,"273 of 3140"
"Marshall County",54051,1.9,602,"284 of 3140"
"Jefferson County",54037,1.9,1064,"303 of 3140"
"Jackson County",54035,2.1,597,"367 of 3140"
"Hardy County",54031,2.1,283,"373 of 3140"
"Hancock County",54029,2.1,628,"396 of 3140"
"Logan County",54045,2.1,721,"397 of 3140"
"Kanawha County",54039,2.1,3945,"398 of 3140"
"Ohio County",54069,2.1,904,"400 of 3140"
"Hampshire County",54027,2.2,500,"417 of 3140"
"Putnam County",54079,2.2,1212,"423 of 3140"
"McDowell County",54047,2.2,435,"464 of 3140"
"Lincoln County",54043,2.3,492,"523 of 3140"
"Harrison County",54033,2.4,1654,"579 of 3140"
"Clay County",54015,2.6,229,"690 of 3140"
"Boone County",54005,2.6,596,"691 of 3140"
"Monroe County",54063,2.6,352,"712 of 3140"
"Wayne County",54099,2.7,1081,"744 of 3140"
"Brooke County",54009,2.7,610,"750 of 3140"
"Wirt County",54105,2.7,153,"754 of 3140"
"Greenbrier County",54025,2.7,955,"782 of 3140"
"Calhoun County",54013,2.8,205,"823 of 3140"
"Mason County",54053,2.8,743,"829 of 3140"
"Preston County",54077,3.0,991,"955 of 3140"
"Webster County",54101,3.0,258,"987 of 3140"
"Tucker County",54093,3.1,214,"1016 of 3140"
"Barbour County",54001,3.1,520,"1078 of 3140"
"Upshur County",54097,3.2,770,"1102 of 3140"
"Raleigh County",54081,3.5,2713,"1383 of 3140"
"Pocahontas County",54075,3.6,304,"1414 of 3140"
"Braxton County",54007,3.9,556,"1659 of 3140"
"Gilmer County",54021,4.0,333,"1724 of 3140"
"Marion County",54049,4.1,2296,"1757 of 3140"
"Monongalia County",54061,4.1,4241,"1772 of 3140"
"Cabell County",54011,4.2,3948,"1788 of 3140"
"Randolph County",54083,4.2,1209,"1809 of 3140"
"Summers County",54089,4.2,556,"1853 of 3140"
"Roane County",54087,5.1,722,"2295 of 3140"
"Taylor County",54091,5.2,876,"2367 of 3140"
"Lewis County",54041,5.6,896,"2502 of 3140"
"Pleasants County",54073,7.9,593,"2939 of 3140"
"Doddridge County",54017,9.7,822,"3049 of 3140"

Created by statecancerprofiles.cancer.gov on 03/29/2020 6:21 pm.
Source: Demographic data provided by the Census Bureau (http://www.census.gov/) & the American Community Survey (http://www.census.gov/acs/www/).
"For more information about Mobility: Moved, different county this state (in past year), see the dictionary at http://statecancerprofiles.cancer.gov/dictionary.php#mobility."
"Health Service Areas are a single county or cluster of contiguous counties which are relatively self-contained with respect to hospital care. For more detailed information, please see the Health Service Area information page at http://statecancerprofiles.cancer.gov/hsa.php ."
Data for United States does not include Puerto Rico.
