------------
DL METADATA
 > URL: https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=54&areatype=county&topic=pop&demo=00024&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1
 > Details: {'stateFIPS': '54', 'areatype': 'county', 'topic': 'pop', 'demo': '00024', 'race': '00', 'sex': '0', 'age': '001', 'type': 'manyareacensus', 'file_name': 'demographics_020.csv', 'source_url': 'https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=54&areatype=county&topic=pop&demo=00024&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1'}
------------
Demographic Data Report for West Virginia by County
Population: Asian / Pacific Islander
"All Ages, Both Sexes"
2013-2017 American Community Survey 5-Year Data
Sorted by Value

County, FIPS,Value (Percent),People (API),Rank within US
"West Virginia",54000,0.8,14637,"50 of 52"
"United States",00000,5.5,17756436,"N/A"
"Calhoun County",54013,0.0,0,"2927 of 3141"
"Grant County",54023,0.0,0,"2927 of 3141"
"McDowell County",54047,0.0,0,"2927 of 3141"
"Monroe County",54063,0.0,0,"2927 of 3141"
"Pleasants County",54073,0.0,0,"2927 of 3141"
"Pocahontas County",54075,0.0,0,"2927 of 3141"
"Ritchie County",54085,0.0,0,"2927 of 3141"
"Summers County",54089,0.0,0,"2927 of 3141"
"Wirt County",54105,0.0,0,"2927 of 3141"
"Pendleton County",54071,0.1,4,"2862 of 3141"
"Webster County",54101,0.1,6,"2836 of 3141"
"Mingo County",54059,0.1,19,"2829 of 3141"
"Roane County",54087,0.1,14,"2783 of 3141"
"Fayette County",54019,0.1,56,"2730 of 3141"
"Clay County",54015,0.1,12,"2708 of 3141"
"Mason County",54053,0.1,38,"2698 of 3141"
"Boone County",54005,0.2,40,"2645 of 3141"
"Preston County",54077,0.2,62,"2617 of 3141"
"Hampshire County",54027,0.2,44,"2607 of 3141"
"Braxton County",54007,0.2,29,"2574 of 3141"
"Wetzel County",54103,0.2,33,"2560 of 3141"
"Wayne County",54099,0.2,89,"2548 of 3141"
"Greenbrier County",54025,0.2,80,"2531 of 3141"
"Lincoln County",54043,0.2,49,"2525 of 3141"
"Upshur County",54097,0.3,74,"2388 of 3141"
"Nicholas County",54067,0.3,78,"2381 of 3141"
"Wyoming County",54109,0.3,68,"2372 of 3141"
"Jackson County",54035,0.3,90,"2367 of 3141"
"Doddridge County",54017,0.3,29,"2302 of 3141"
"Marshall County",54051,0.3,110,"2286 of 3141"
"Mineral County",54057,0.4,101,"2234 of 3141"
"Morgan County",54065,0.4,68,"2180 of 3141"
"Logan County",54045,0.4,137,"2158 of 3141"
"Gilmer County",54021,0.4,34,"2130 of 3141"
"Lewis County",54041,0.4,68,"2106 of 3141"
"Hancock County",54029,0.5,148,"1897 of 3141"
"Randolph County",54083,0.5,150,"1849 of 3141"
"Tucker County",54093,0.5,37,"1821 of 3141"
"Tyler County",54095,0.6,50,"1744 of 3141"
"Wood County",54107,0.6,510,"1681 of 3141"
"Putnam County",54079,0.6,336,"1680 of 3141"
"Brooke County",54009,0.6,141,"1644 of 3141"
"Harrison County",54033,0.6,425,"1616 of 3141"
"Marion County",54049,0.7,377,"1527 of 3141"
"Barbour County",54001,0.7,114,"1510 of 3141"
"Mercer County",54055,0.7,422,"1484 of 3141"
"Ohio County",54069,0.7,321,"1365 of 3141"
"Kanawha County",54039,1.1,1984,"1015 of 3141"
"Raleigh County",54081,1.2,891,"931 of 3141"
"Taylor County",54091,1.2,201,"911 of 3141"
"Berkeley County",54003,1.2,1322,"910 of 3141"
"Cabell County",54011,1.3,1253,"814 of 3141"
"Jefferson County",54037,1.5,830,"717 of 3141"
"Hardy County",54031,1.9,260,"576 of 3141"
"Monongalia County",54061,3.3,3433,"291 of 3141"

Created by statecancerprofiles.cancer.gov on 03/29/2020 6:21 pm.
Source: Demographic data provided by the Census Bureau (http://www.census.gov/) & the American Community Survey (http://www.census.gov/acs/www/).
"For more information about Population: Asian / Pacific Islander, see the dictionary at http://statecancerprofiles.cancer.gov/dictionary.php#population."
"Health Service Areas are a single county or cluster of contiguous counties which are relatively self-contained with respect to hospital care. For more detailed information, please see the Health Service Area information page at http://statecancerprofiles.cancer.gov/hsa.php ."
Data for United States does not include Puerto Rico.
