------------
DL METADATA
 > URL: https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=54&areatype=county&topic=ins&demo=00043&race=00&sex=0&age=006&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1
 > Details: {'stateFIPS': '54', 'areatype': 'county', 'topic': 'ins', 'demo': '00043', 'race': '00', 'sex': '0', 'age': '006', 'type': 'manyareacensus', 'file_name': 'demographics_006.csv', 'source_url': 'https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=54&areatype=county&topic=ins&demo=00043&race=00&sex=0&age=006&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1'}
------------
Demographic Data Report for West Virginia by County
"Insurance: Percent uninsured in demographic group, people at or below 138% of poverty"
"Ages <65, All Races (includes Hispanic), Both Sexes"
2017 Small Area Health Insurance Estimates Data
Sorted by Value

County, FIPS,Value (Percent),People (Uninsured),Rank within US
"West Virginia",54000,11.0,40953,"12 of 51"
"Kanawha County",54039,9.6,3457,"368 of 3139"
"Mercer County",54055,9.6,1420,"368 of 3139"
"Boone County",54005,9.9,561,"446 of 3139"
"Marion County",54049,9.9,1063,"446 of 3139"
"Raleigh County",54081,9.9,1578,"446 of 3139"
"Brooke County",54009,10.0,359,"475 of 3139"
"Mingo County",54059,10.0,750,"475 of 3139"
"Ohio County",54069,10.0,708,"475 of 3139"
"Wood County",54107,10.0,1714,"475 of 3139"
"Logan County",54045,10.1,865,"497 of 3139"
"Webster County",54101,10.1,252,"497 of 3139"
"Wyoming County",54109,10.1,572,"497 of 3139"
"Clay County",54015,10.2,264,"519 of 3139"
"Mason County",54053,10.2,634,"519 of 3139"
"Lewis County",54041,10.3,366,"539 of 3139"
"Fayette County",54019,10.4,1053,"561 of 3139"
"Braxton County",54007,10.5,352,"580 of 3139"
"Lincoln County",54043,10.5,613,"580 of 3139"
"Summers County",54089,10.5,296,"580 of 3139"
"Hancock County",54029,10.6,582,"596 of 3139"
"Upshur County",54097,10.6,554,"596 of 3139"
"Wayne County",54099,10.6,972,"596 of 3139"
"Nicholas County",54067,10.7,583,"614 of 3139"
"Pleasants County",54073,10.8,126,"631 of 3139"
"Barbour County",54001,10.9,415,"657 of 3139"
"Jackson County",54035,10.9,615,"657 of 3139"
"Mineral County",54057,10.9,550,"657 of 3139"
"Randolph County",54083,10.9,638,"657 of 3139"
"Calhoun County",54013,11.0,193,"684 of 3139"
"Roane County",54087,11.0,393,"684 of 3139"
"Greenbrier County",54025,11.1,833,"697 of 3139"
"Wetzel County",54103,11.1,373,"697 of 3139"
"Berkeley County",54003,11.2,2152,"718 of 3139"
"McDowell County",54047,11.2,747,"718 of 3139"
"Gilmer County",54021,11.4,172,"756 of 3139"
"Harrison County",54033,11.5,1437,"770 of 3139"
"Taylor County",54091,11.6,379,"789 of 3139"
"Wirt County",54105,11.7,153,"806 of 3139"
"Grant County",54023,11.8,274,"825 of 3139"
"Tucker County",54093,11.9,146,"840 of 3139"
"Putnam County",54079,12.0,842,"859 of 3139"
"Pocahontas County",54075,12.1,216,"878 of 3139"
"Ritchie County",54085,12.2,263,"898 of 3139"
"Marshall County",54051,12.4,735,"922 of 3139"
"Doddridge County",54017,12.5,194,"933 of 3139"
"Pendleton County",54071,12.5,169,"933 of 3139"
"Preston County",54077,12.5,720,"933 of 3139"
"Monroe County",54063,12.6,348,"954 of 3139"
"Cabell County",54011,12.7,2896,"966 of 3139"
"Hampshire County",54027,12.7,615,"966 of 3139"
"Tyler County",54095,12.7,213,"966 of 3139"
"Monongalia County",54061,13.0,2792,"1003 of 3139"
"Morgan County",54065,13.4,421,"1067 of 3139"
"Jefferson County",54037,13.5,966,"1080 of 3139"
"Hardy County",54031,13.7,399,"1101 of 3139"

Created by statecancerprofiles.cancer.gov on 03/29/2020 6:21 pm.
Source: Demographic data provided by the Census Bureau (http://www.census.gov/) & Small Area Health Insurance Estimates (https://www.census.gov/programs-surveys/sahie.html).
"For more information about Insurance: Percent uninsured in demographic group, people at or below 138% of poverty, see the dictionary at http://statecancerprofiles.cancer.gov/dictionary.php#insurance."
"Health Service Areas are a single county or cluster of contiguous counties which are relatively self-contained with respect to hospital care. For more detailed information, please see the Health Service Area information page at http://statecancerprofiles.cancer.gov/hsa.php ."
Data for United States does not include Puerto Rico.
