------------
DL METADATA
 > URL: https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=54&areatype=county&topic=mob&demo=00021&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1
 > Details: {'stateFIPS': '54', 'areatype': 'county', 'topic': 'mob', 'demo': '00021', 'race': '00', 'sex': '0', 'age': '001', 'type': 'manyareacensus', 'file_name': 'demographics_012.csv', 'source_url': 'https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=54&areatype=county&topic=mob&demo=00021&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1'}
------------
Demographic Data Report for West Virginia by County
Mobility: Moved from outside US (in past year)
"All Ages, All Races (includes Hispanic), Both Sexes"
2013-2017 American Community Survey 5-Year Data
Sorted by Value

County, FIPS,Value (Percent),People (Moved From Outside US),Rank within US
"West Virginia",54000,0.2,3512,"1 of 51"
"United States",00000,0.7,2074097,"N/A"
"Calhoun County",54013,0.0,0,"1 of 3140"
"Doddridge County",54017,0.0,0,"1 of 3140"
"Nicholas County",54067,0.0,0,"1 of 3140"
"Pendleton County",54071,0.0,0,"1 of 3140"
"Pleasants County",54073,0.0,0,"1 of 3140"
"Tucker County",54093,0.0,0,"1 of 3140"
"Webster County",54101,0.0,0,"1 of 3140"
"Wirt County",54105,0.0,0,"1 of 3140"
"Wyoming County",54109,0.0,0,"1 of 3140"
"Mason County",54053,0.0,1,"357 of 3140"
"Ritchie County",54085,0.0,1,"376 of 3140"
"Mineral County",54057,0.0,5,"412 of 3140"
"Logan County",54045,0.0,8,"433 of 3140"
"Wetzel County",54103,0.0,4,"441 of 3140"
"Barbour County",54001,0.0,5,"465 of 3140"
"Randolph County",54083,0.0,9,"469 of 3140"
"Mingo County",54059,0.0,8,"475 of 3140"
"Wayne County",54099,0.0,15,"505 of 3140"
"Morgan County",54065,0.1,9,"590 of 3140"
"Hampshire County",54027,0.1,13,"610 of 3140"
"Lewis County",54041,0.1,12,"746 of 3140"
"Tyler County",54095,0.1,7,"783 of 3140"
"Boone County",54005,0.1,19,"812 of 3140"
"Brooke County",54009,0.1,21,"876 of 3140"
"Jackson County",54035,0.1,28,"903 of 3140"
"Harrison County",54033,0.1,72,"960 of 3140"
"Marion County",54049,0.1,62,"996 of 3140"
"Raleigh County",54081,0.1,85,"997 of 3140"
"Wood County",54107,0.1,112,"1156 of 3140"
"Roane County",54087,0.1,19,"1170 of 3140"
"Lincoln County",54043,0.1,29,"1190 of 3140"
"Cabell County",54011,0.1,134,"1206 of 3140"
"Pocahontas County",54075,0.1,12,"1210 of 3140"
"Clay County",54015,0.2,14,"1314 of 3140"
"Putnam County",54079,0.2,93,"1370 of 3140"
"Berkeley County",54003,0.2,190,"1412 of 3140"
"Kanawha County",54039,0.2,323,"1424 of 3140"
"Fayette County",54019,0.2,77,"1432 of 3140"
"Taylor County",54091,0.2,33,"1561 of 3140"
"Marshall County",54051,0.2,65,"1596 of 3140"
"Upshur County",54097,0.2,50,"1607 of 3140"
"Ohio County",54069,0.2,90,"1628 of 3140"
"McDowell County",54047,0.2,42,"1653 of 3140"
"Mercer County",54055,0.2,142,"1745 of 3140"
"Grant County",54023,0.3,29,"1823 of 3140"
"Preston County",54077,0.3,86,"1845 of 3140"
"Braxton County",54007,0.3,37,"1861 of 3140"
"Greenbrier County",54025,0.3,93,"1877 of 3140"
"Summers County",54089,0.3,41,"2057 of 3140"
"Gilmer County",54021,0.4,29,"2188 of 3140"
"Monroe County",54063,0.4,59,"2393 of 3140"
"Hardy County",54031,0.4,61,"2411 of 3140"
"Jefferson County",54037,0.5,256,"2442 of 3140"
"Hancock County",54029,0.5,148,"2498 of 3140"
"Monongalia County",54061,0.8,864,"2889 of 3140"

Created by statecancerprofiles.cancer.gov on 03/29/2020 6:21 pm.
Source: Demographic data provided by the Census Bureau (http://www.census.gov/) & the American Community Survey (http://www.census.gov/acs/www/).
"For more information about Mobility: Moved from outside US (in past year), see the dictionary at http://statecancerprofiles.cancer.gov/dictionary.php#mobility."
"Health Service Areas are a single county or cluster of contiguous counties which are relatively self-contained with respect to hospital care. For more detailed information, please see the Health Service Area information page at http://statecancerprofiles.cancer.gov/hsa.php ."
Data for United States does not include Puerto Rico.
