------------
DL METADATA
 > URL: https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=20&areatype=county&topic=ed&demo=00004&race=00&sex=0&age=081&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1
 > Details: {'stateFIPS': '20', 'areatype': 'county', 'topic': 'ed', 'demo': '00004', 'race': '00', 'sex': '0', 'age': '081', 'type': 'manyareacensus', 'file_name': 'demographics_001.csv', 'source_url': 'https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=20&areatype=county&topic=ed&demo=00004&race=00&sex=0&age=081&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1'}
------------
Demographic Data Report for Kansas by County
Education: Less than 9th grade
Population Ages 25+
"All Races (includes Hispanic), Both Sexes"
2013-2017 American Community Survey 5-Year Data
Sorted by Value

County, FIPS,Value (Percent),People (Education: Less Than 9th Grade),Rank within US
"Kansas",20000,3.7,69770,"20 of 52"
"United States",00000,5.4,11759554,"N/A"
"Jackson County",20085,1.2,109,"72 of 3141"
"Pottawatomie County",20149,1.2,180,"75 of 3141"
"Ottawa County",20143,1.3,52,"84 of 3141"
"Douglas County",20045,1.3,860,"86 of 3141"
"Riley County",20161,1.3,495,"94 of 3141"
"Clark County",20025,1.3,19,"96 of 3141"
"Republic County",20157,1.5,52,"123 of 3141"
"Jewell County",20089,1.6,36,"177 of 3141"
"Mitchell County",20123,1.7,71,"200 of 3141"
"Thomas County",20193,1.7,87,"216 of 3141"
"Johnson County",20091,1.8,6868,"230 of 3141"
"Butler County",20015,1.8,769,"231 of 3141"
"Jefferson County",20087,1.8,235,"238 of 3141"
"Trego County",20195,1.8,38,"240 of 3141"
"Lane County",20101,1.8,21,"243 of 3141"
"Rooks County",20163,1.8,66,"253 of 3141"
"Woodson County",20207,1.9,44,"268 of 3141"
"Miami County",20121,1.9,432,"290 of 3141"
"Phillips County",20147,1.9,73,"291 of 3141"
"Pawnee County",20145,1.9,98,"294 of 3141"
"Geary County",20061,2.0,376,"302 of 3141"
"Sumner County",20191,2.0,309,"311 of 3141"
"Clay County",20027,2.0,114,"319 of 3141"
"Franklin County",20059,2.0,346,"339 of 3141"
"Leavenworth County",20103,2.1,1119,"368 of 3141"
"Barber County",20007,2.1,72,"380 of 3141"
"Brown County",20013,2.1,140,"392 of 3141"
"Kingman County",20095,2.2,116,"418 of 3141"
"Sherman County",20181,2.2,89,"429 of 3141"
"Wabaunsee County",20197,2.2,104,"430 of 3141"
"Comanche County",20033,2.3,28,"467 of 3141"
"Ellis County",20051,2.3,398,"483 of 3141"
"Atchison County",20005,2.3,235,"486 of 3141"
"Osborne County",20141,2.3,62,"497 of 3141"
"Smith County",20183,2.4,66,"523 of 3141"
"Ellsworth County",20053,2.5,115,"567 of 3141"
"Neosho County",20133,2.5,273,"589 of 3141"
"Decatur County",20039,2.6,57,"648 of 3141"
"Allen County",20001,2.7,232,"686 of 3141"
"Coffey County",20031,2.7,160,"713 of 3141"
"Shawnee County",20177,2.7,3278,"716 of 3141"
"Rawlins County",20153,2.8,52,"742 of 3141"
"Lincoln County",20105,2.8,62,"770 of 3141"
"Cheyenne County",20023,2.9,54,"798 of 3141"
"Osage County",20139,2.9,314,"803 of 3141"
"Rush County",20165,3.0,68,"871 of 3141"
"Gove County",20063,3.0,58,"893 of 3141"
"Harper County",20077,3.0,120,"904 of 3141"
"Marshall County",20117,3.0,209,"912 of 3141"
"Ness County",20135,3.0,66,"913 of 3141"
"Wilson County",20205,3.1,189,"937 of 3141"
"Logan County",20109,3.1,60,"968 of 3141"
"Graham County",20065,3.2,61,"983 of 3141"
"Cowley County",20035,3.2,741,"1001 of 3141"
"Scott County",20171,3.2,107,"1024 of 3141"
"Nemaha County",20131,3.3,217,"1040 of 3141"
"Chase County",20017,3.3,62,"1091 of 3141"
"Washington County",20201,3.3,131,"1094 of 3141"
"Hodgeman County",20083,3.4,45,"1103 of 3141"
"Sheridan County",20179,3.4,61,"1108 of 3141"
"Crawford County",20037,3.4,794,"1120 of 3141"
"Dickinson County",20041,3.4,451,"1137 of 3141"
"Anderson County",20003,3.5,185,"1150 of 3141"
"Doniphan County",20043,3.5,178,"1166 of 3141"
"Linn County",20107,3.5,240,"1196 of 3141"
"Pratt County",20151,3.5,222,"1200 of 3141"
"Cloud County",20029,3.6,220,"1208 of 3141"
"Montgomery County",20125,3.6,805,"1217 of 3141"
"Harvey County",20079,3.6,821,"1232 of 3141"
"Norton County",20137,3.6,143,"1233 of 3141"
"Greenwood County",20073,3.7,166,"1269 of 3141"
"Saline County",20169,3.7,1371,"1286 of 3141"
"Kiowa County",20097,3.7,61,"1296 of 3141"
"Rice County",20159,3.7,238,"1306 of 3141"
"Bourbon County",20011,3.8,366,"1362 of 3141"
"Morris County",20127,3.9,160,"1390 of 3141"
"Sedgwick County",20173,3.9,12828,"1391 of 3141"
"Cherokee County",20021,4.0,560,"1431 of 3141"
"Russell County",20167,4.0,207,"1450 of 3141"
"Reno County",20155,4.1,1759,"1465 of 3141"
"McPherson County",20113,4.2,807,"1513 of 3141"
"Marion County",20115,4.3,362,"1600 of 3141"
"Stafford County",20185,4.4,130,"1629 of 3141"
"Barton County",20009,4.5,825,"1671 of 3141"
"Labette County",20099,4.5,635,"1678 of 3141"
"Elk County",20049,4.7,91,"1755 of 3141"
"Chautauqua County",20019,4.9,123,"1848 of 3141"
"Wallace County",20199,5.9,64,"2167 of 3141"
"Lyon County",20111,5.9,1177,"2173 of 3141"
"Morton County",20129,6.5,120,"2345 of 3141"
"Greeley County",20071,7.1,59,"2490 of 3141"
"Edwards County",20047,7.4,153,"2562 of 3141"
"Kearny County",20093,8.2,201,"2676 of 3141"
"Wichita County",20203,8.6,126,"2734 of 3141"
"Wyandotte County",20209,9.4,9705,"2819 of 3141"
"Hamilton County",20075,9.6,155,"2840 of 3141"
"Stanton County",20187,10.7,146,"2916 of 3141"
"Stevens County",20189,10.7,380,"2917 of 3141"
"Meade County",20119,11.3,310,"2946 of 3141"
"Grant County",20067,13.0,601,"3019 of 3141"
"Gray County",20069,15.1,567,"3063 of 3141"
"Finney County",20055,15.6,3366,"3068 of 3141"
"Ford County",20057,18.7,3814,"3104 of 3141"
"Seward County",20175,19.4,2575,"3107 of 3141"
"Haskell County",20081,21.3,532,"3120 of 3141"

Created by statecancerprofiles.cancer.gov on 03/29/2020 4:59 pm.
Source: Demographic data provided by the Census Bureau (http://www.census.gov/) & the American Community Survey (http://www.census.gov/acs/www/).
"For more information about Education: Less than 9th grade, see the dictionary at http://statecancerprofiles.cancer.gov/dictionary.php#education."
"Health Service Areas are a single county or cluster of contiguous counties which are relatively self-contained with respect to hospital care. For more detailed information, please see the Health Service Area information page at http://statecancerprofiles.cancer.gov/hsa.php ."
Data for United States does not include Puerto Rico.
