------------
DL METADATA
 > URL: https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=20&areatype=county&topic=lang&demo=00015&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1
 > Details: {'stateFIPS': '20', 'areatype': 'county', 'topic': 'lang', 'demo': '00015', 'race': '00', 'sex': '0', 'age': '001', 'type': 'manyareacensus', 'file_name': 'demographics_007.csv', 'source_url': 'https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=20&areatype=county&topic=lang&demo=00015&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1'}
------------
Demographic Data Report for Kansas by County
Non-English Language: Language isolation
"All Ages, All Races (includes Hispanic), Both Sexes"
2013-2017 American Community Survey 5-Year Data
Sorted by Value

County, FIPS,Value (Percent),Households (language Isolation),Rank within US
"Kansas",20000,2.5,27691,"30 of 51"
"United States",00000,4.5,5305440,"N/A"
"Bourbon County",20011,0.0,0,"1 of 3140"
"Comanche County",20033,0.0,0,"1 of 3140"
"Doniphan County",20043,0.0,0,"1 of 3140"
"Graham County",20065,0.0,0,"1 of 3140"
"Jewell County",20089,0.0,0,"1 of 3140"
"Linn County",20107,0.0,0,"1 of 3140"
"Logan County",20109,0.0,0,"1 of 3140"
"Miami County",20121,0.0,0,"1 of 3140"
"Nemaha County",20131,0.0,0,"1 of 3140"
"Osborne County",20141,0.0,0,"1 of 3140"
"Ottawa County",20143,0.0,0,"1 of 3140"
"Rooks County",20163,0.0,0,"1 of 3140"
"Smith County",20183,0.0,0,"1 of 3140"
"Trego County",20195,0.0,0,"1 of 3140"
"Wabaunsee County",20197,0.0,0,"1 of 3140"
"Allen County",20001,0.0,2,"316 of 3140"
"Marshall County",20117,0.0,2,"325 of 3140"
"Jackson County",20085,0.1,3,"339 of 3140"
"Kingman County",20095,0.1,2,"353 of 3140"
"McPherson County",20113,0.1,8,"360 of 3140"
"Coffey County",20031,0.1,4,"417 of 3140"
"Atchison County",20005,0.1,7,"429 of 3140"
"Ellsworth County",20053,0.1,3,"434 of 3140"
"Brown County",20013,0.1,5,"446 of 3140"
"Mitchell County",20123,0.1,4,"484 of 3140"
"Cherokee County",20021,0.2,12,"494 of 3140"
"Dickinson County",20041,0.2,14,"554 of 3140"
"Jefferson County",20087,0.2,15,"579 of 3140"
"Osage County",20139,0.2,13,"580 of 3140"
"Chautauqua County",20019,0.2,3,"603 of 3140"
"Anderson County",20003,0.2,7,"623 of 3140"
"Wilson County",20205,0.2,9,"653 of 3140"
"Greenwood County",20073,0.3,7,"697 of 3140"
"Chase County",20017,0.3,3,"734 of 3140"
"Rush County",20165,0.3,4,"744 of 3140"
"Sumner County",20191,0.3,28,"794 of 3140"
"Norton County",20137,0.3,6,"806 of 3140"
"Labette County",20099,0.3,27,"842 of 3140"
"Sherman County",20181,0.4,10,"911 of 3140"
"Butler County",20015,0.4,95,"953 of 3140"
"Cloud County",20029,0.4,16,"996 of 3140"
"Gove County",20063,0.4,5,"1011 of 3140"
"Republic County",20157,0.4,10,"1036 of 3140"
"Clark County",20025,0.4,4,"1050 of 3140"
"Sheridan County",20179,0.5,6,"1162 of 3140"
"Russell County",20167,0.6,19,"1288 of 3140"
"Neosho County",20133,0.6,41,"1320 of 3140"
"Marion County",20115,0.6,31,"1335 of 3140"
"Franklin County",20059,0.7,65,"1357 of 3140"
"Decatur County",20039,0.7,10,"1407 of 3140"
"Lane County",20101,0.7,6,"1437 of 3140"
"Phillips County",20147,0.8,18,"1502 of 3140"
"Elk County",20049,0.9,10,"1597 of 3140"
"Thomas County",20193,0.9,29,"1617 of 3140"
"Kiowa County",20097,0.9,9,"1625 of 3140"
"Morris County",20127,0.9,21,"1635 of 3140"
"Woodson County",20207,0.9,14,"1647 of 3140"
"Reno County",20155,1.0,249,"1713 of 3140"
"Clay County",20027,1.0,34,"1717 of 3140"
"Barber County",20007,1.0,20,"1734 of 3140"
"Pottawatomie County",20149,1.1,92,"1791 of 3140"
"Scott County",20171,1.1,24,"1836 of 3140"
"Crawford County",20037,1.3,192,"1947 of 3140"
"Montgomery County",20125,1.3,175,"1948 of 3140"
"Cheyenne County",20023,1.4,17,"1994 of 3140"
"Rawlins County",20153,1.4,16,"2000 of 3140"
"Shawnee County",20177,1.4,1004,"2021 of 3140"
"Douglas County",20045,1.5,664,"2066 of 3140"
"Leavenworth County",20103,1.5,408,"2076 of 3140"
"Saline County",20169,1.5,340,"2087 of 3140"
"Harper County",20077,1.5,36,"2093 of 3140"
"Washington County",20201,1.5,36,"2110 of 3140"
"Lincoln County",20105,1.6,20,"2137 of 3140"
"Pawnee County",20145,1.6,42,"2172 of 3140"
"Hodgeman County",20083,1.7,13,"2188 of 3140"
