------------
DL METADATA
 > URL: https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=20&areatype=county&topic=mob&demo=00017&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1
 > Details: {'stateFIPS': '20', 'areatype': 'county', 'topic': 'mob', 'demo': '00017', 'race': '00', 'sex': '0', 'age': '001', 'type': 'manyareacensus', 'file_name': 'demographics_008.csv', 'source_url': 'https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=20&areatype=county&topic=mob&demo=00017&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1'}
------------
Demographic Data Report for Kansas by County
Mobility: Haven't moved (in past year)
"All Ages, All Races (includes Hispanic), Both Sexes"
2013-2017 American Community Survey 5-Year Data
Sorted by Value

County, FIPS,Value (Percent),People (Haven't Moved),Rank within US
"Kansas",20000,83.7,2398963,"38 of 51"
"United States",00000,85.4,270854872,"N/A"
"Geary County",20061,70.6,24519,"3125 of 3140"
"Riley County",20161,72.1,53806,"3116 of 3140"
"Douglas County",20045,73.2,85238,"3107 of 3140"
"Pawnee County",20145,73.9,4979,"3102 of 3140"
"Ellis County",20051,76.0,21736,"3075 of 3140"
"Lyon County",20111,76.1,25057,"3074 of 3140"
"Crawford County",20037,79.3,30611,"2973 of 3140"
"Russell County",20167,79.5,5473,"2965 of 3140"
"Scott County",20171,79.8,3927,"2945 of 3140"
"Norton County",20137,80.0,4375,"2937 of 3140"
"Sherman County",20181,80.2,4739,"2924 of 3140"
"Leavenworth County",20103,80.4,63021,"2902 of 3140"
"Cloud County",20029,80.6,7295,"2888 of 3140"
"Cowley County",20035,81.3,28639,"2823 of 3140"
"Barton County",20009,81.8,21902,"2783 of 3140"
"Rice County",20159,81.9,7996,"2771 of 3140"
"Hamilton County",20075,81.9,2118,"2770 of 3140"
"Bourbon County",20011,82.4,11950,"2711 of 3140"
"Seward County",20175,82.6,18666,"2680 of 3140"
"Reno County",20155,83.5,52387,"2539 of 3140"
"Johnson County",20091,83.7,478507,"2497 of 3140"
"Montgomery County",20125,84.1,27769,"2419 of 3140"
"Saline County",20169,84.1,45676,"2417 of 3140"
"Clay County",20027,84.3,6850,"2376 of 3140"
"Ford County",20057,84.5,28871,"2331 of 3140"
"Shawnee County",20177,84.6,149261,"2315 of 3140"
"Sedgwick County",20173,84.6,425787,"2302 of 3140"
"Wilson County",20205,84.8,7413,"2265 of 3140"
"Ellsworth County",20053,84.8,5324,"2262 of 3140"
"Pottawatomie County",20149,85.0,19481,"2224 of 3140"
"Clark County",20025,85.3,1765,"2133 of 3140"
"Labette County",20099,85.5,17310,"2084 of 3140"
"Wyandotte County",20209,85.5,137440,"2071 of 3140"
"Coffey County",20031,85.7,7048,"2044 of 3140"
"Doniphan County",20043,85.8,6584,"2026 of 3140"
"Hodgeman County",20083,85.8,1600,"2014 of 3140"
"McPherson County",20113,85.8,24476,"2000 of 3140"
"Butler County",20015,85.9,56307,"1996 of 3140"
"Atchison County",20005,85.9,13941,"1974 of 3140"
"Neosho County",20133,85.9,13683,"1963 of 3140"
"Decatur County",20039,86.0,2456,"1957 of 3140"
"Marshall County",20117,86.0,8382,"1936 of 3140"
"Allen County",20001,86.2,10836,"1897 of 3140"
"Mitchell County",20123,86.3,5319,"1854 of 3140"
"Finney County",20055,86.3,31503,"1850 of 3140"
"Gray County",20069,86.4,5126,"1816 of 3140"
"Greeley County",20071,86.5,1037,"1796 of 3140"
"Harvey County",20079,86.5,29606,"1791 of 3140"
"Trego County",20195,86.5,2503,"1784 of 3140"
"Thomas County",20193,86.7,6734,"1701 of 3140"
"Morris County",20127,86.8,4811,"1679 of 3140"
"Chase County",20017,87.0,2302,"1614 of 3140"
"Meade County",20119,87.1,3684,"1598 of 3140"
"Osborne County",20141,87.2,3174,"1550 of 3140"
"Jackson County",20085,87.3,11466,"1528 of 3140"
"Pratt County",20151,87.3,8350,"1520 of 3140"
"Woodson County",20207,87.4,2743,"1470 of 3140"
"Anderson County",20003,87.5,6775,"1446 of 3140"
"Dickinson County",20041,87.9,16639,"1301 of 3140"
"Sumner County",20191,88.0,20236,"1274 of 3140"
"Kearny County",20093,88.5,3445,"1115 of 3140"
"Cherokee County",20021,88.5,18005,"1110 of 3140"
"Stevens County",20189,88.7,5052,"1028 of 3140"
"Grant County",20067,88.8,6837,"986 of 3140"
"Miami County",20121,88.9,28946,"963 of 3140"
"Rooks County",20163,88.9,4528,"962 of 3140"
"Brown County",20013,88.9,8543,"953 of 3140"
"Jefferson County",20087,89.0,16614,"896 of 3140"
"Nemaha County",20131,89.1,8864,"878 of 3140"
"Franklin County",20059,89.1,22538,"872 of 3140"
"Lincoln County",20105,89.2,2757,"864 of 3140"
"Graham County",20065,89.2,2252,"855 of 3140"
"Wabaunsee County",20197,89.2,6109,"842 of 3140"
"Logan County",20109,89.5,2458,"779 of 3140"
"Greenwood County",20073,89.5,5515,"763 of 3140"
"Elk County",20049,89.6,2300,"754 of 3140"
"Harper County",20077,89.8,5102,"686 of 3140"
"Marion County",20115,89.8,10749,"673 of 3140"
"Barber County",20007,89.9,4363,"664 of 3140"
"Jewell County",20089,89.9,2625,"653 of 3140"
"Wallace County",20199,90.0,1416,"644 of 3140"
"Osage County",20139,90.0,14160,"641 of 3140"
"Rawlins County",20153,90.1,2240,"604 of 3140"
"Haskell County",20081,90.2,3624,"579 of 3140"
"Stanton County",20187,90.2,1878,"578 of 3140"
"Stafford County",20185,90.3,3803,"558 of 3140"
"Ottawa County",20143,90.3,5372,"545 of 3140"
"Wichita County",20203,90.4,1933,"531 of 3140"
"Republic County",20157,90.4,4208,"530 of 3140"
"Sheridan County",20179,90.5,2206,"519 of 3140"
"Rush County",20165,90.8,2804,"461 of 3140"
"Kingman County",20095,91.0,6849,"407 of 3140"
"Smith County",20183,91.2,3336,"372 of 3140"
"Lane County",20101,91.3,1514,"363 of 3140"
"Chautauqua County",20019,91.3,3107,"357 of 3140"
"Linn County",20107,91.4,8710,"331 of 3140"
"Phillips County",20147,91.6,4925,"286 of 3140"
"Kiowa County",20097,91.8,2304,"264 of 3140"
"Gove County",20063,91.9,2387,"241 of 3140"
"Washington County",20201,92.1,5075,"218 of 3140"
"Edwards County",20047,92.6,2717,"178 of 3140"
"Cheyenne County",20023,92.7,2437,"174 of 3140"
"Ness County",20135,93.3,2730,"122 of 3140"
