------------
DL METADATA
 > URL: https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=20&areatype=county&topic=pov&demo=00007&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1
 > Details: {'stateFIPS': '20', 'areatype': 'county', 'topic': 'pov', 'demo': '00007', 'race': '00', 'sex': '0', 'age': '001', 'type': 'manyareacensus', 'file_name': 'demographics_028.csv', 'source_url': 'https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=20&areatype=county&topic=pov&demo=00007&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1'}
------------
Demographic Data Report for Kansas by County
Poverty: Families below poverty
"All Ages, All Races (includes Hispanic), Both Sexes"
2013-2017 American Community Survey 5-Year Data
Sorted by Value

County, FIPS,Value (Percent),Families (Below Poverty),Rank within US
"Kansas",20000,8.5,62760,"21 of 52"
"United States",00000,10.5,8253388,"N/A"
"Rush County",20165,2.0,17,"19 of 3141"
"Scott County",20171,2.2,32,"27 of 3141"
"Wichita County",20203,2.9,18,"46 of 3141"
"Trego County",20195,3.2,28,"61 of 3141"
"Sheridan County",20179,3.6,28,"88 of 3141"
"Kiowa County",20097,3.6,23,"92 of 3141"
"Grant County",20067,3.7,71,"93 of 3141"
"Johnson County",20091,3.8,5813,"105 of 3141"
"Pawnee County",20145,4.0,65,"133 of 3141"
"Hamilton County",20075,4.2,24,"149 of 3141"
"Morris County",20127,4.3,67,"156 of 3141"
"Wabaunsee County",20197,4.3,83,"162 of 3141"
"McPherson County",20113,4.6,373,"196 of 3141"
"Hodgeman County",20083,4.9,28,"231 of 3141"
"Miami County",20121,5.0,441,"234 of 3141"
"Comanche County",20033,5.0,24,"247 of 3141"
"Ottawa County",20143,5.2,87,"267 of 3141"
"Jefferson County",20087,5.2,287,"278 of 3141"
"Washington County",20201,5.4,83,"299 of 3141"
"Lane County",20101,5.4,26,"302 of 3141"
"Morton County",20129,5.7,42,"352 of 3141"
"Rawlins County",20153,5.7,43,"361 of 3141"
"Gray County",20069,5.8,94,"380 of 3141"
"Russell County",20167,5.9,119,"387 of 3141"
"Kingman County",20095,6.0,122,"409 of 3141"
"Cloud County",20029,6.1,148,"448 of 3141"
"Republic County",20157,6.2,81,"458 of 3141"
"Pratt County",20151,6.2,147,"460 of 3141"
"Ness County",20135,6.2,56,"461 of 3141"
"Smith County",20183,6.2,66,"462 of 3141"
"Leavenworth County",20103,6.2,1218,"463 of 3141"
"Phillips County",20147,6.2,93,"468 of 3141"
"Thomas County",20193,6.3,141,"481 of 3141"
"Marshall County",20117,6.4,177,"496 of 3141"
"Coffey County",20031,6.4,161,"503 of 3141"
"Mitchell County",20123,6.5,105,"521 of 3141"
"Stanton County",20187,6.5,35,"524 of 3141"
"Clay County",20027,6.6,160,"539 of 3141"
"Norton County",20137,6.6,88,"540 of 3141"
"Jackson County",20085,6.8,258,"570 of 3141"
"Clark County",20025,6.8,38,"580 of 3141"
"Franklin County",20059,6.8,455,"584 of 3141"
"Gove County",20063,6.9,57,"597 of 3141"
"Greeley County",20071,6.9,23,"614 of 3141"
"Marion County",20115,7.2,240,"699 of 3141"
"Lincoln County",20105,7.4,58,"731 of 3141"
"Wallace County",20199,7.4,28,"735 of 3141"
"Nemaha County",20131,7.4,206,"741 of 3141"
"Pottawatomie County",20149,7.5,461,"753 of 3141"
"Butler County",20015,7.5,1307,"754 of 3141"
"Riley County",20161,7.5,1088,"756 of 3141"
"Harvey County",20079,7.6,703,"782 of 3141"
"Dickinson County",20041,7.8,403,"836 of 3141"
"Chase County",20017,7.8,52,"845 of 3141"
"Ellsworth County",20053,7.8,124,"847 of 3141"
"Douglas County",20045,7.9,1924,"863 of 3141"
"Jewell County",20089,7.9,66,"870 of 3141"
"Edwards County",20047,8.0,66,"885 of 3141"
"Logan County",20109,8.2,62,"940 of 3141"
"Ellis County",20051,8.3,539,"954 of 3141"
"Rooks County",20163,8.3,115,"958 of 3141"
"Cheyenne County",20023,8.4,63,"994 of 3141"
"Allen County",20001,8.5,273,"1028 of 3141"
"Osage County",20139,8.6,391,"1053 of 3141"
"Saline County",20169,8.6,1206,"1059 of 3141"
"Shawnee County",20177,8.8,3923,"1096 of 3141"
"Sumner County",20191,8.8,525,"1111 of 3141"
"Greenwood County",20073,8.8,158,"1112 of 3141"
"Reno County",20155,8.9,1442,"1122 of 3141"
