------------
DL METADATA
 > URL: https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=20&areatype=county&topic=ed&demo=00006&race=00&sex=0&age=081&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1
 > Details: {'stateFIPS': '20', 'areatype': 'county', 'topic': 'ed', 'demo': '00006', 'race': '00', 'sex': '0', 'age': '081', 'type': 'manyareacensus', 'file_name': 'demographics_003.csv', 'source_url': 'https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=20&areatype=county&topic=ed&demo=00006&race=00&sex=0&age=081&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1'}
------------
Demographic Data Report for Kansas by County
Education: At least bachelors degree
Population Ages 25+
"All Races (includes Hispanic), Both Sexes"
2013-2017 American Community Survey 5-Year Data
Sorted by Value

County, FIPS,Value (Percent),People (Education: At Least Bachelors Degree),Rank within US
"United States",00000,30.9,66887603,"N/A"
"Kansas",20000,32.3,610346,"17 of 52"
"Seward County",20175,12.1,1607,"2818 of 3141"
"Morton County",20129,13.1,243,"2640 of 3141"
"Kearny County",20093,13.4,328,"2602 of 3141"
"Woodson County",20207,13.7,321,"2556 of 3141"
"Linn County",20107,14.1,959,"2474 of 3141"
"Wilson County",20205,15.5,956,"2203 of 3141"
"Elk County",20049,15.8,305,"2160 of 3141"
"Jewell County",20089,15.9,353,"2122 of 3141"
"Norton County",20137,16.1,638,"2097 of 3141"
"Grant County",20067,16.2,747,"2073 of 3141"
"Stevens County",20189,16.2,576,"2070 of 3141"
"Chautauqua County",20019,16.6,414,"1997 of 3141"
"Wyandotte County",20209,16.7,17192,"1985 of 3141"
"Barton County",20009,16.9,3086,"1951 of 3141"
"Doniphan County",20043,17.0,869,"1937 of 3141"
"Finney County",20055,17.3,3741,"1889 of 3141"
"Harper County",20077,17.5,699,"1836 of 3141"
"Haskell County",20081,17.6,440,"1829 of 3141"
"Labette County",20099,17.6,2469,"1820 of 3141"
"Hamilton County",20075,17.8,288,"1785 of 3141"
"Morris County",20127,18.1,743,"1731 of 3141"
"Sherman County",20181,18.2,740,"1721 of 3141"
"Pawnee County",20145,18.2,919,"1715 of 3141"
"Ford County",20057,18.3,3739,"1700 of 3141"
"Comanche County",20033,18.5,227,"1672 of 3141"
"Marshall County",20117,18.6,1286,"1651 of 3141"
"Anderson County",20003,18.6,998,"1644 of 3141"
"Montgomery County",20125,18.7,4205,"1631 of 3141"
"Edwards County",20047,18.8,387,"1617 of 3141"
"Greenwood County",20073,18.9,855,"1592 of 3141"
"Cherokee County",20021,19.0,2658,"1580 of 3141"
"Ness County",20135,19.0,416,"1565 of 3141"
"Logan County",20109,19.1,366,"1562 of 3141"
"Washington County",20201,19.1,746,"1559 of 3141"
"Bourbon County",20011,19.1,1831,"1546 of 3141"
"Allen County",20001,19.2,1659,"1528 of 3141"
"Neosho County",20133,19.4,2089,"1507 of 3141"
"Jackson County",20085,19.9,1775,"1419 of 3141"
"Barber County",20007,19.9,680,"1411 of 3141"
"Lincoln County",20105,19.9,440,"1410 of 3141"
"Reno County",20155,20.0,8656,"1403 of 3141"
"Smith County",20183,20.1,550,"1388 of 3141"
"Cowley County",20035,20.3,4723,"1342 of 3141"
"Ellsworth County",20053,20.3,937,"1341 of 3141"
"Franklin County",20059,20.3,3452,"1338 of 3141"
"Wichita County",20203,20.3,297,"1337 of 3141"
"Osage County",20139,20.7,2273,"1286 of 3141"
"Meade County",20119,20.7,570,"1284 of 3141"
"Atchison County",20005,20.7,2101,"1270 of 3141"
"Dickinson County",20041,20.8,2746,"1257 of 3141"
"Sumner County",20191,20.9,3263,"1252 of 3141"
"Coffey County",20031,20.9,1226,"1243 of 3141"
"Gray County",20069,21.0,785,"1231 of 3141"
"Brown County",20013,21.2,1390,"1207 of 3141"
"Cloud County",20029,21.2,1313,"1205 of 3141"
"Jefferson County",20087,21.2,2793,"1204 of 3141"
"Geary County",20061,21.4,4098,"1194 of 3141"
"Phillips County",20147,21.5,811,"1170 of 3141"
"Decatur County",20039,21.9,474,"1126 of 3141"
"Ottawa County",20143,22.2,914,"1080 of 3141"
"Osborne County",20141,22.3,588,"1077 of 3141"
"Rice County",20159,22.5,1431,"1052 of 3141"
"Stanton County",20187,22.6,309,"1041 of 3141"
"Stafford County",20185,22.6,665,"1035 of 3141"
"Wabaunsee County",20197,22.7,1077,"1011 of 3141"
"Gove County",20063,23.1,447,"967 of 3141"
"Rush County",20165,23.1,531,"965 of 3141"
"Kingman County",20095,23.3,1242,"952 of 3141"
"Republic County",20157,23.3,820,"950 of 3141"
"Trego County",20195,23.3,495,"946 of 3141"
"Nemaha County",20131,23.7,1580,"903 of 3141"
"Clay County",20027,23.9,1368,"891 of 3141"
"Marion County",20115,23.9,1990,"889 of 3141"
"Lane County",20101,23.9,278,"886 of 3141"
"Mitchell County",20123,24.1,1019,"862 of 3141"
"Russell County",20167,24.2,1241,"858 of 3141"
"Hodgeman County",20083,24.4,327,"840 of 3141"
"Sheridan County",20179,24.6,444,"830 of 3141"
"Saline County",20169,25.0,9281,"800 of 3141"
"Chase County",20017,25.1,465,"797 of 3141"
"Rooks County",20163,25.7,926,"753 of 3141"
"Cheyenne County",20023,25.8,488,"744 of 3141"
"Miami County",20121,25.9,5776,"736 of 3141"
"Wallace County",20199,26.4,287,"701 of 3141"
"Pratt County",20151,26.4,1657,"700 of 3141"
"Thomas County",20193,26.5,1335,"688 of 3141"
"Scott County",20171,26.7,880,"680 of 3141"
"Rawlins County",20153,26.7,500,"672 of 3141"
"Lyon County",20111,27.1,5391,"642 of 3141"
"Graham County",20065,27.4,530,"623 of 3141"
"Kiowa County",20097,27.6,454,"607 of 3141"
"McPherson County",20113,28.6,5558,"554 of 3141"
"Crawford County",20037,28.9,6756,"541 of 3141"
"Butler County",20015,29.3,12676,"525 of 3141"
"Harvey County",20079,30.0,6833,"490 of 3141"
"Greeley County",20071,30.3,252,"464 of 3141"
"Shawnee County",20177,30.4,36483,"462 of 3141"
"Sedgwick County",20173,30.7,100690,"444 of 3141"
"Leavenworth County",20103,31.0,16619,"425 of 3141"
"Clark County",20025,33.1,475,"333 of 3141"
"Pottawatomie County",20149,33.5,4922,"320 of 3141"
"Ellis County",20051,35.6,6127,"247 of 3141"
"Riley County",20161,45.5,17136,"89 of 3141"
"Douglas County",20045,50.0,33552,"49 of 3141"
"Johnson County",20091,54.6,212083,"21 of 3141"

Created by statecancerprofiles.cancer.gov on 03/29/2020 4:59 pm.
Source: Demographic data provided by the Census Bureau (http://www.census.gov/) & the American Community Survey (http://www.census.gov/acs/www/).
"For more information about Education: At least bachelors degree, see the dictionary at http://statecancerprofiles.cancer.gov/dictionary.php#education."
"Health Service Areas are a single county or cluster of contiguous counties which are relatively self-contained with respect to hospital care. For more detailed information, please see the Health Service Area information page at http://statecancerprofiles.cancer.gov/hsa.php ."
Data for United States does not include Puerto Rico.
