------------
DL METADATA
 > URL: https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=20&areatype=county&topic=pop&demo=00105&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1
 > Details: {'stateFIPS': '20', 'areatype': 'county', 'topic': 'pop', 'demo': '00105', 'race': '00', 'sex': '0', 'age': '001', 'type': 'manyareacensus', 'file_name': 'demographics_026.csv', 'source_url': 'https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=20&areatype=county&topic=pop&demo=00105&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1'}
------------
Demographic Data Report for Kansas by County
Population: Sex - Female
"All Ages, All Races (includes Hispanic), Both Sexes"
2013-2017 American Community Survey 5-Year Data
Sorted by Value

County, FIPS,Value (Percent),People (Female),Rank within US
"Kansas",20000,50.2,1457840,"13 of 52"
"United States",00000,50.8,162985654,"N/A"
"Pawnee County",20145,43.3,2934,"76 of 3141"
"Norton County",20137,43.4,2400,"80 of 3141"
"Ellsworth County",20053,43.5,2755,"81 of 3141"
"Leavenworth County",20103,46.3,36778,"181 of 3141"
"Riley County",20161,46.6,35286,"208 of 3141"
"Geary County",20061,46.9,16771,"230 of 3141"
"Grant County",20067,47.3,3650,"271 of 3141"
"Hamilton County",20075,47.3,1240,"272 of 3141"
"Ottawa County",20143,47.7,2839,"306 of 3141"
"Morton County",20129,47.7,1397,"308 of 3141"
"Chautauqua County",20019,48.1,1647,"384 of 3141"
"Ford County",20057,48.3,16725,"412 of 3141"
"Edwards County",20047,48.4,1426,"441 of 3141"
"Rawlins County",20153,48.4,1220,"443 of 3141"
"Barber County",20007,48.5,2380,"467 of 3141"
"Clark County",20025,48.6,1016,"491 of 3141"
"Mitchell County",20123,48.7,3031,"494 of 3141"
"Sheridan County",20179,48.7,1215,"496 of 3141"
"Stevens County",20189,48.8,2799,"522 of 3141"
"Seward County",20175,48.8,11196,"534 of 3141"
"Washington County",20201,48.9,2726,"578 of 3141"
"Finney County",20055,49.0,18184,"611 of 3141"
"Harper County",20077,49.0,2818,"617 of 3141"
"Russell County",20167,49.1,3429,"627 of 3141"
"Ness County",20135,49.1,1474,"641 of 3141"
"Lane County",20101,49.2,838,"677 of 3141"
"Doniphan County",20043,49.3,3838,"694 of 3141"
"Jefferson County",20087,49.3,9300,"721 of 3141"
"Kingman County",20095,49.4,3741,"764 of 3141"
"Trego County",20195,49.5,1434,"802 of 3141"
"Gove County",20063,49.5,1302,"805 of 3141"
"Rice County",20159,49.5,4885,"816 of 3141"
"Butler County",20015,49.5,32811,"826 of 3141"
"Wabaunsee County",20197,49.5,3426,"830 of 3141"
"Chase County",20017,49.5,1320,"834 of 3141"
"Reno County",20155,49.6,31416,"853 of 3141"
"Wallace County",20199,49.6,789,"861 of 3141"
"Coffey County",20031,49.6,4131,"873 of 3141"
"Stafford County",20185,49.6,2109,"880 of 3141"
"Meade County",20119,49.6,2132,"901 of 3141"
"Nemaha County",20131,49.6,5012,"909 of 3141"
"Cowley County",20035,49.7,17759,"947 of 3141"
"Pratt County",20151,49.7,4810,"977 of 3141"
"Pottawatomie County",20149,49.8,11542,"1005 of 3141"
"Jewell County",20089,49.8,1475,"1013 of 3141"
"Sherman County",20181,49.8,2990,"1065 of 3141"
"Greenwood County",20073,49.9,3106,"1101 of 3141"
"Ellis County",20051,49.9,14408,"1108 of 3141"
"Marshall County",20117,49.9,4922,"1140 of 3141"
"Crawford County",20037,49.9,19528,"1153 of 3141"
"Logan County",20109,50.0,1394,"1164 of 3141"
"Gray County",20069,50.0,3000,"1167 of 3141"
"Sumner County",20191,50.0,11678,"1236 of 3141"
"Dickinson County",20041,50.0,9590,"1239 of 3141"
"Decatur County",20039,50.1,1447,"1242 of 3141"
"Linn County",20107,50.1,4809,"1270 of 3141"
"Hodgeman County",20083,50.1,940,"1323 of 3141"
"Jackson County",20085,50.2,6681,"1337 of 3141"
"Osborne County",20141,50.2,1848,"1347 of 3141"
"Lincoln County",20105,50.2,1566,"1357 of 3141"
"Osage County",20139,50.2,7979,"1373 of 3141"
"Barton County",20009,50.3,13622,"1503 of 3141"
"Marion County",20115,50.4,6090,"1559 of 3141"
"Graham County",20065,50.4,1291,"1580 of 3141"
"Bourbon County",20011,50.4,7442,"1599 of 3141"
"Montgomery County",20125,50.5,16883,"1624 of 3141"
"Allen County",20001,50.5,6434,"1627 of 3141"
"Cloud County",20029,50.5,4638,"1637 of 3141"
"Douglas County",20045,50.5,59458,"1648 of 3141"
"Woodson County",20207,50.5,1604,"1652 of 3141"
"Cheyenne County",20023,50.5,1353,"1730 of 3141"
"McPherson County",20113,50.5,14554,"1739 of 3141"
"Sedgwick County",20173,50.6,258085,"1750 of 3141"
"Saline County",20169,50.6,28003,"1808 of 3141"
"Clay County",20027,50.6,4152,"1822 of 3141"
"Haskell County",20081,50.6,2066,"1841 of 3141"
"Rush County",20165,50.6,1579,"1842 of 3141"
"Labette County",20099,50.7,10411,"1890 of 3141"
"Wyandotte County",20209,50.7,82682,"1892 of 3141"
"Elk County",20049,50.8,1310,"2006 of 3141"
"Wilson County",20205,50.8,4496,"2008 of 3141"
"Cherokee County",20021,50.8,10414,"2049 of 3141"
"Thomas County",20193,50.9,3991,"2117 of 3141"
"Smith County",20183,50.9,1879,"2137 of 3141"
"Morris County",20127,50.9,2853,"2154 of 3141"
"Anderson County",20003,50.9,3991,"2162 of 3141"
"Harvey County",20079,50.9,17667,"2191 of 3141"
"Miami County",20121,51.0,16816,"2244 of 3141"
"Johnson County",20091,51.0,295293,"2263 of 3141"
"Neosho County",20133,51.0,8274,"2288 of 3141"
"Franklin County",20059,51.2,13094,"2403 of 3141"
"Phillips County",20147,51.2,2788,"2442 of 3141"
"Kearny County",20093,51.2,2013,"2454 of 3141"
"Kiowa County",20097,51.3,1294,"2501 of 3141"
"Republic County",20157,51.3,2415,"2545 of 3141"
"Lyon County",20111,51.5,17137,"2631 of 3141"
"Shawnee County",20177,51.5,91905,"2664 of 3141"
"Rooks County",20163,51.5,2653,"2677 of 3141"
