------------
DL METADATA
 > URL: https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=20&areatype=county&topic=pop&demo=00014&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1
 > Details: {'stateFIPS': '20', 'areatype': 'county', 'topic': 'pop', 'demo': '00014', 'race': '00', 'sex': '0', 'age': '001', 'type': 'manyareacensus', 'file_name': 'demographics_022.csv', 'source_url': 'https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=20&areatype=county&topic=pop&demo=00014&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1'}
------------
Demographic Data Report for Kansas by County
Population: Foreign born
"All Ages, All Races (includes Hispanic), Both Sexes"
2013-2017 American Community Survey 5-Year Data
Sorted by Value

County, FIPS,Value (Percent),People (Foreign Born),Rank within US
"Kansas",20000,7.0,203780,"26 of 51"
"United States",00000,13.4,43028127,"N/A"
"Smith County",20183,0.3,11,"3070 of 3140"
"Ottawa County",20143,0.3,18,"3069 of 3140"
"Chautauqua County",20019,0.4,13,"3043 of 3140"
"Linn County",20107,0.4,39,"3037 of 3140"
"Osage County",20139,0.5,82,"2986 of 3140"
"Jefferson County",20087,0.5,98,"2984 of 3140"
"Greenwood County",20073,0.5,34,"2968 of 3140"
"Jackson County",20085,0.6,74,"2958 of 3140"
"Labette County",20099,0.7,152,"2834 of 3140"
"Osborne County",20141,0.8,28,"2816 of 3140"
"Anderson County",20003,0.8,62,"2801 of 3140"
"Wabaunsee County",20197,0.8,56,"2783 of 3140"
"Brown County",20013,0.9,84,"2747 of 3140"
"Doniphan County",20043,0.9,70,"2725 of 3140"
"Coffey County",20031,1.0,80,"2676 of 3140"
"Allen County",20001,1.0,129,"2639 of 3140"
"Woodson County",20207,1.0,33,"2617 of 3140"
"Graham County",20065,1.1,27,"2603 of 3140"
"Sumner County",20191,1.1,250,"2593 of 3140"
"Russell County",20167,1.1,79,"2549 of 3140"
"McPherson County",20113,1.1,331,"2536 of 3140"
"Marshall County",20117,1.2,114,"2531 of 3140"
"Atchison County",20005,1.2,195,"2497 of 3140"
"Miami County",20121,1.2,391,"2494 of 3140"
"Kingman County",20095,1.2,90,"2493 of 3140"
"Cherokee County",20021,1.2,249,"2466 of 3140"
"Nemaha County",20131,1.3,127,"2427 of 3140"
"Lincoln County",20105,1.3,40,"2402 of 3140"
"Franklin County",20059,1.4,371,"2287 of 3140"
"Republic County",20157,1.5,69,"2273 of 3140"
"Ellsworth County",20053,1.5,94,"2263 of 3140"
"Chase County",20017,1.5,41,"2220 of 3140"
"Marion County",20115,1.5,186,"2219 of 3140"
"Jewell County",20089,1.6,46,"2209 of 3140"
"Rooks County",20163,1.6,84,"2154 of 3140"
"Phillips County",20147,1.7,90,"2141 of 3140"
"Morris County",20127,1.7,93,"2136 of 3140"
"Barber County",20007,1.7,82,"2127 of 3140"
"Lane County",20101,1.7,29,"2109 of 3140"
"Rush County",20165,1.7,54,"2080 of 3140"
"Elk County",20049,1.7,45,"2071 of 3140"
"Decatur County",20039,1.8,53,"2024 of 3140"
"Wilson County",20205,1.9,164,"2015 of 3140"
