------------
DL METADATA
 > URL: https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=20&areatype=county&topic=mob&demo=00018&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1
 > Details: {'stateFIPS': '20', 'areatype': 'county', 'topic': 'mob', 'demo': '00018', 'race': '00', 'sex': '0', 'age': '001', 'type': 'manyareacensus', 'file_name': 'demographics_009.csv', 'source_url': 'https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=20&areatype=county&topic=mob&demo=00018&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1'}
------------
Demographic Data Report for Kansas by County
"Mobility: Moved, same county (in past year)"
"All Ages, All Races (includes Hispanic), Both Sexes"
2013-2017 American Community Survey 5-Year Data
Sorted by Value

County, FIPS,Value (Percent),People (Moved Within County),Rank within US
"United States",00000,8.4,26717038,"N/A"
"Kansas",20000,9.2,264899,"37 of 51"
"Kearny County",20093,1.4,56,"51 of 3140"
"Sheridan County",20179,1.6,39,"64 of 3140"
"Morton County",20129,1.8,51,"73 of 3140"
"Wabaunsee County",20197,1.9,127,"85 of 3140"
"Stanton County",20187,2.7,56,"186 of 3140"
"Gove County",20063,2.7,70,"189 of 3140"
"Comanche County",20033,2.7,47,"191 of 3140"
"Edwards County",20047,3.0,87,"254 of 3140"
"Washington County",20201,3.1,168,"271 of 3140"
"Chautauqua County",20019,3.3,112,"317 of 3140"
"Kiowa County",20097,3.5,87,"359 of 3140"
"Lincoln County",20105,3.5,108,"367 of 3140"
"Cheyenne County",20023,3.5,92,"373 of 3140"
"Stevens County",20189,3.5,202,"387 of 3140"
"Rush County",20165,3.6,111,"398 of 3140"
"Linn County",20107,3.6,345,"403 of 3140"
"Ness County",20135,3.7,107,"418 of 3140"
"Nemaha County",20131,3.8,382,"475 of 3140"
"Rawlins County",20153,4.1,101,"553 of 3140"
"Ottawa County",20143,4.2,248,"578 of 3140"
"Phillips County",20147,4.2,225,"584 of 3140"
"Osage County",20139,4.4,691,"660 of 3140"
"Anderson County",20003,4.5,345,"684 of 3140"
"Barber County",20007,4.5,220,"718 of 3140"
"Dickinson County",20041,4.7,891,"781 of 3140"
"Kingman County",20095,4.7,355,"786 of 3140"
"Osborne County",20141,4.7,172,"792 of 3140"
"Haskell County",20081,4.7,190,"795 of 3140"
"Miami County",20121,4.7,1541,"797 of 3140"
"Marion County",20115,4.8,571,"813 of 3140"
"Republic County",20157,4.8,223,"822 of 3140"
"Clark County",20025,4.9,101,"862 of 3140"
"Elk County",20049,5.1,130,"948 of 3140"
"Lane County",20101,5.1,84,"949 of 3140"
"Smith County",20183,5.1,188,"984 of 3140"
"Clay County",20027,5.2,420,"995 of 3140"
"Wallace County",20199,5.2,82,"1022 of 3140"
"Ellsworth County",20053,5.2,328,"1032 of 3140"
"Harper County",20077,5.2,298,"1040 of 3140"
"Stafford County",20185,5.3,222,"1055 of 3140"
"Brown County",20013,5.3,508,"1062 of 3140"
"Jefferson County",20087,5.3,988,"1066 of 3140"
"Doniphan County",20043,5.3,407,"1070 of 3140"
"Franklin County",20059,5.3,1342,"1073 of 3140"
"Mitchell County",20123,5.5,340,"1170 of 3140"
"Decatur County",20039,5.5,158,"1174 of 3140"
"Pottawatomie County",20149,5.5,1270,"1178 of 3140"
"Jewell County",20089,5.6,164,"1220 of 3140"
