------------
DL METADATA
 > URL: https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=20&areatype=county&topic=inc&demo=00011&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1
 > Details: {'stateFIPS': '20', 'areatype': 'county', 'topic': 'inc', 'demo': '00011', 'race': '00', 'sex': '0', 'age': '001', 'type': 'manyareacensus', 'file_name': 'demographics_005.csv', 'source_url': 'https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=20&areatype=county&topic=inc&demo=00011&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1'}
------------
Demographic Data Report for Kansas by County
Income: Median household income
"All Ages, All Races (includes Hispanic), Both Sexes"
2013-2017 American Community Survey 5-Year Data
Sorted by Value

County, FIPS,Value (Dollars),Rank within US
"Kansas",20000,55477.000000000,"28 of 52"
"United States",00000,57652.000000000,"N/A"
"Woodson County",20207,36493.000000000,"2761 of 3141"
"Crawford County",20037,38017.000000000,"2635 of 3141"
"Bourbon County",20011,39379.000000000,"2522 of 3141"
"Elk County",20049,39405.000000000,"2520 of 3141"
"Chautauqua County",20019,39531.000000000,"2504 of 3141"
"Anderson County",20003,40986.000000000,"2377 of 3141"
"Cherokee County",20021,41101.000000000,"2362 of 3141"
"Decatur County",20039,41230.000000000,"2337 of 3141"
"Greenwood County",20073,41648.000000000,"2285 of 3141"
"Osborne County",20141,42173.000000000,"2225 of 3141"
"Stanton County",20187,42222.000000000,"2217 of 3141"
"Chase County",20017,42772.000000000,"2164 of 3141"
"Wyandotte County",20209,42783.000000000,"2162 of 3141"
"Lyon County",20111,42992.000000000,"2146 of 3141"
"Allen County",20001,43031.000000000,"2141 of 3141"
"Jewell County",20089,43125.000000000,"2132 of 3141"
"Graham County",20065,43427.000000000,"2099 of 3141"
"Republic County",20157,43489.000000000,"2090 of 3141"
"Rush County",20165,43594.000000000,"2076 of 3141"
"Morton County",20129,43813.000000000,"2058 of 3141"
"Montgomery County",20125,43977.000000000,"2042 of 3141"
"Cloud County",20029,44199.000000000,"2017 of 3141"
"Neosho County",20133,44402.000000000,"2001 of 3141"
"Wilson County",20205,44468.000000000,"1997 of 3141"
"Mitchell County",20123,44591.000000000,"1980 of 3141"
"Smith County",20183,45357.000000000,"1889 of 3141"
"Labette County",20099,45706.000000000,"1843 of 3141"
"Barton County",20009,46070.000000000,"1807 of 3141"
"Clark County",20025,46094.000000000,"1805 of 3141"
"Geary County",20061,46096.000000000,"1802 of 3141"
"Pawnee County",20145,46224.000000000,"1784 of 3141"
"Linn County",20107,46576.000000000,"1734 of 3141"
