------------
DL METADATA
 > URL: https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=20&areatype=county&topic=pop&demo=00025&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1
 > Details: {'stateFIPS': '20', 'areatype': 'county', 'topic': 'pop', 'demo': '00025', 'race': '00', 'sex': '0', 'age': '001', 'type': 'manyareacensus', 'file_name': 'demographics_025.csv', 'source_url': 'https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=20&areatype=county&topic=pop&demo=00025&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1'}
------------
Demographic Data Report for Kansas by County
Population: White
"All Ages, Both Sexes"
2013-2017 American Community Survey 5-Year Data
Sorted by Value

County, FIPS,Value (Percent),People (White),Rank within US
"United States",00000,73.0,234370202,"N/A"
"Kansas",20000,84.9,2465518,"14 of 52"
"Wyandotte County",20209,60.4,98530,"2813 of 3141"
"Seward County",20175,60.4,13862,"2812 of 3141"
"Geary County",20061,69.7,24965,"2568 of 3141"
"Finney County",20055,76.6,28429,"2364 of 3141"
"Sedgwick County",20173,79.1,403703,"2251 of 3141"
"Riley County",20161,82.3,62321,"2108 of 3141"
"Shawnee County",20177,82.9,147861,"2080 of 3141"
"Leavenworth County",20103,82.9,65828,"2073 of 3141"
"Douglas County",20045,83.0,97758,"2070 of 3141"
"Grant County",20067,83.6,6449,"2038 of 3141"
"Stanton County",20187,84.2,1774,"2011 of 3141"
"Montgomery County",20125,85.1,28487,"1970 of 3141"
"Brown County",20013,85.8,8350,"1933 of 3141"
"Hamilton County",20075,86.3,2261,"1892 of 3141"
"Kearny County",20093,86.5,3400,"1878 of 3141"
"Johnson County",20091,86.5,500737,"1877 of 3141"
"Jackson County",20085,86.9,11583,"1843 of 3141"
"Saline County",20169,87.2,48233,"1830 of 3141"
"Meade County",20119,87.3,3750,"1823 of 3141"
"Greeley County",20071,88.1,1066,"1748 of 3141"
"Cowley County",20035,88.2,31510,"1733 of 3141"
"Stevens County",20189,88.5,5078,"1697 of 3141"
"Haskell County",20081,88.5,3611,"1693 of 3141"
"Lyon County",20111,88.5,29484,"1689 of 3141"
"Labette County",20099,88.9,18279,"1651 of 3141"
"Ford County",20057,89.1,30893,"1634 of 3141"
"Ellsworth County",20053,89.5,5664,"1606 of 3141"
"Pawnee County",20145,89.9,6093,"1564 of 3141"
"Chautauqua County",20019,90.0,3084,"1556 of 3141"
"Wichita County",20203,90.3,1948,"1529 of 3141"
"Cherokee County",20021,90.6,18566,"1506 of 3141"
"Atchison County",20005,90.6,14922,"1500 of 3141"
"Morton County",20129,90.7,2658,"1495 of 3141"
"Crawford County",20037,91.6,35822,"1375 of 3141"
"Norton County",20137,91.6,5064,"1374 of 3141"
