------------
DL METADATA
 > URL: https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=20&areatype=county&topic=pov&demo=00008&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1
 > Details: {'stateFIPS': '20', 'areatype': 'county', 'topic': 'pov', 'demo': '00008', 'race': '00', 'sex': '0', 'age': '001', 'type': 'manyareacensus', 'file_name': 'demographics_029.csv', 'source_url': 'https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=20&areatype=county&topic=pov&demo=00008&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1'}
------------
Demographic Data Report for Kansas by County
Poverty: Persons below poverty
"All Ages, All Races (includes Hispanic), Both Sexes"
2013-2017 American Community Survey 5-Year Data
Sorted by Value

County, FIPS,Value (Percent),People (Below Poverty),Rank within US
"Kansas",20000,12.8,361285,"20 of 52"
"United States",00000,14.6,45650345,"N/A"
"Scott County",20171,4.3,210,"17 of 3141"
"Wichita County",20203,4.4,94,"18 of 3141"
"Sheridan County",20179,4.8,119,"32 of 3141"
"Trego County",20195,4.8,136,"33 of 3141"
"Johnson County",20091,5.6,32267,"66 of 3141"
"Wabaunsee County",20197,6.1,414,"92 of 3141"
"Rush County",20165,6.7,204,"123 of 3141"
"McPherson County",20113,7.6,2083,"194 of 3141"
"Kingman County",20095,7.6,568,"197 of 3141"
"Miami County",20121,7.7,2492,"208 of 3141"
"Pawnee County",20145,7.8,443,"213 of 3141"
"Morton County",20129,8.0,227,"232 of 3141"
"Comanche County",20033,8.1,134,"244 of 3141"
"Phillips County",20147,8.1,432,"250 of 3141"
"Jefferson County",20087,8.3,1536,"270 of 3141"
"Hodgeman County",20083,8.4,154,"277 of 3141"
"Lincoln County",20105,8.4,250,"277 of 3141"
"Gray County",20069,8.5,502,"293 of 3141"
"Rawlins County",20153,8.7,213,"308 of 3141"
"Kiowa County",20097,8.7,204,"314 of 3141"
"Clark County",20025,8.9,180,"328 of 3141"
"Ness County",20135,8.9,260,"329 of 3141"
"Marshall County",20117,8.9,860,"341 of 3141"
"Logan County",20109,8.9,246,"346 of 3141"
"Gove County",20063,9.0,232,"353 of 3141"
"Leavenworth County",20103,9.0,6635,"363 of 3141"
"Hamilton County",20075,9.3,245,"415 of 3141"
"Clay County",20027,9.4,757,"426 of 3141"
"Pottawatomie County",20149,9.7,2207,"465 of 3141"
"Washington County",20201,9.7,523,"470 of 3141"
"Ottawa County",20143,9.7,567,"477 of 3141"
"Morris County",20127,9.8,538,"490 of 3141"
"Jackson County",20085,9.9,1295,"511 of 3141"
"Grant County",20067,10.0,765,"543 of 3141"
"Edwards County",20047,10.2,289,"570 of 3141"
"Wallace County",20199,10.6,166,"633 of 3141"
"Marion County",20115,10.7,1211,"662 of 3141"
"Lane County",20101,10.7,181,"663 of 3141"
"Nemaha County",20131,10.8,1053,"673 of 3141"
"Butler County",20015,10.8,6845,"676 of 3141"
"Stanton County",20187,10.8,225,"681 of 3141"
"Pratt County",20151,10.9,1008,"685 of 3141"
"Thomas County",20193,11.1,827,"723 of 3141"
"Cheyenne County",20023,11.2,297,"757 of 3141"
"Harvey County",20079,11.2,3746,"758 of 3141"
"Rooks County",20163,11.3,557,"765 of 3141"
"Coffey County",20031,11.3,925,"767 of 3141"
"Ellsworth County",20053,11.4,618,"797 of 3141"
"Greeley County",20071,11.5,136,"820 of 3141"
"Norton County",20137,11.6,544,"830 of 3141"
"Dickinson County",20041,11.6,2183,"850 of 3141"
"Republic County",20157,11.7,537,"856 of 3141"
"Sumner County",20191,11.8,2691,"887 of 3141"
"Cloud County",20029,11.9,1041,"902 of 3141"
"Meade County",20119,12.2,507,"947 of 3141"
"Graham County",20065,12.3,308,"966 of 3141"
"Greenwood County",20073,12.4,760,"1000 of 3141"
"Franklin County",20059,12.5,3098,"1006 of 3141"
"Chase County",20017,12.6,323,"1021 of 3141"
"Saline County",20169,12.6,6799,"1034 of 3141"
"Osage County",20139,12.8,2005,"1062 of 3141"
"Kearny County",20093,13.2,498,"1154 of 3141"
"Shawnee County",20177,13.2,22898,"1158 of 3141"
"Brown County",20013,13.2,1275,"1172 of 3141"
"Haskell County",20081,13.3,537,"1193 of 3141"
"Smith County",20183,13.3,483,"1202 of 3141"
"Elk County",20049,13.5,343,"1235 of 3141"
"Anderson County",20003,13.6,1049,"1250 of 3141"
"Cherokee County",20021,13.7,2759,"1265 of 3141"
"Doniphan County",20043,13.7,975,"1277 of 3141"
"Russell County",20167,13.8,945,"1296 of 3141"
"Reno County",20155,14.0,8470,"1342 of 3141"
"Allen County",20001,14.2,1733,"1370 of 3141"
"Jewell County",20089,14.2,412,"1379 of 3141"
"Chautauqua County",20019,14.3,481,"1404 of 3141"
"Stafford County",20185,14.5,591,"1430 of 3141"
"Sedgwick County",20173,14.7,73900,"1465 of 3141"
"Mitchell County",20123,14.8,882,"1495 of 3141"
"Geary County",20061,14.9,5192,"1517 of 3141"
"Osborne County",20141,15.5,553,"1627 of 3141"
"Barton County",20009,15.7,4154,"1667 of 3141"
"Barber County",20007,15.9,772,"1732 of 3141"
"Cowley County",20035,16.0,5382,"1750 of 3141"
"Finney County",20055,16.2,5914,"1771 of 3141"
"Ford County",20057,16.2,5501,"1776 of 3141"
"Rice County",20159,16.4,1501,"1804 of 3141"
"Sherman County",20181,16.5,969,"1829 of 3141"
"Ellis County",20051,16.7,4631,"1885 of 3141"
"Wilson County",20205,16.8,1441,"1893 of 3141"
"Harper County",20077,16.8,936,"1895 of 3141"
"Stevens County",20189,16.8,950,"1912 of 3141"
"Linn County",20107,17.4,1654,"2020 of 3141"
"Decatur County",20039,17.5,490,"2036 of 3141"
"Montgomery County",20125,17.5,5686,"2040 of 3141"
"Bourbon County",20011,17.6,2505,"2054 of 3141"
"Labette County",20099,17.8,3581,"2105 of 3141"
"Atchison County",20005,18.5,2808,"2233 of 3141"
"Lyon County",20111,18.7,5921,"2252 of 3141"
"Douglas County",20045,18.7,20437,"2261 of 3141"
"Seward County",20175,18.8,4205,"2271 of 3141"
"Woodson County",20207,20.6,642,"2495 of 3141"
"Crawford County",20037,21.1,7849,"2550 of 3141"
"Neosho County",20133,21.4,3356,"2591 of 3141"
"Wyandotte County",20209,21.4,34641,"2595 of 3141"
"Riley County",20161,22.0,14511,"2654 of 3141"

Created by statecancerprofiles.cancer.gov on 03/29/2020 4:59 pm.
Source: Demographic data provided by the Census Bureau (http://www.census.gov/) & the American Community Survey (http://www.census.gov/acs/www/).
"For more information about Poverty: Persons below poverty, see the dictionary at http://statecancerprofiles.cancer.gov/dictionary.php#poverty."
"Health Service Areas are a single county or cluster of contiguous counties which are relatively self-contained with respect to hospital care. For more detailed information, please see the Health Service Area information page at http://statecancerprofiles.cancer.gov/hsa.php ."
Data for United States does not include Puerto Rico.
