------------
DL METADATA
 > URL: https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=20&areatype=county&topic=pop&demo=00101&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1
 > Details: {'stateFIPS': '20', 'areatype': 'county', 'topic': 'pop', 'demo': '00101', 'race': '00', 'sex': '0', 'age': '001', 'type': 'manyareacensus', 'file_name': 'demographics_024.csv', 'source_url': 'https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=20&areatype=county&topic=pop&demo=00101&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1'}
------------
Demographic Data Report for Kansas by County
Population: Non-Hispanic (Origin Recode)
"All Ages, All Races (includes Hispanic), Both Sexes"
2013-2017 American Community Survey 5-Year Data
Sorted by Value

County, FIPS,Value (Percent),People (Non-Hispanic [Origin Recode]),Rank within US
"United States",00000,82.4,264493836,"N/A"
"Kansas",20000,88.5,2568960,"18 of 52"
"Seward County",20175,40.4,9266,"53 of 3141"
"Ford County",20057,46.1,15985,"80 of 3141"
"Finney County",20055,51.0,18937,"106 of 3141"
"Grant County",20067,53.2,4104,"114 of 3141"
"Stanton County",20187,62.6,1320,"170 of 3141"
"Stevens County",20189,64.8,3718,"181 of 3141"
"Hamilton County",20075,66.3,1737,"197 of 3141"
"Kearny County",20093,69.0,2714,"217 of 3141"
"Haskell County",20081,70.6,2881,"236 of 3141"
"Wyandotte County",20209,71.9,117436,"245 of 3141"
"Wichita County",20203,72.3,1559,"250 of 3141"
"Morton County",20129,77.4,2269,"329 of 3141"
"Greeley County",20071,77.9,943,"341 of 3141"
"Lyon County",20111,79.1,26349,"361 of 3141"
"Edwards County",20047,79.9,2354,"378 of 3141"
"Scott County",20171,82.2,4094,"435 of 3141"
"Meade County",20119,83.4,3580,"463 of 3141"
"Geary County",20061,84.4,30194,"490 of 3141"
"Gray County",20069,85.0,5104,"512 of 3141"
"Barton County",20009,85.5,23152,"531 of 3141"
"Sedgwick County",20173,85.9,438404,"548 of 3141"
"Stafford County",20185,86.7,3685,"567 of 3141"
"Shawnee County",20177,88.0,157063,"630 of 3141"
"Sherman County",20181,88.0,5282,"631 of 3141"
"Harvey County",20079,88.3,30631,"640 of 3141"
"Rice County",20159,88.8,8759,"660 of 3141"
"Saline County",20169,89.1,49296,"681 of 3141"
"Clark County",20025,89.3,1865,"688 of 3141"
"Ness County",20135,89.3,2680,"689 of 3141"
"Cowley County",20035,89.4,31952,"701 of 3141"
"Reno County",20155,90.9,57624,"806 of 3141"
"Comanche County",20033,91.6,1594,"855 of 3141"
"Riley County",20161,91.9,69567,"888 of 3141"
"Pawnee County",20145,92.3,6252,"911 of 3141"
"Hodgeman County",20083,92.3,1731,"916 of 3141"
"Johnson County",20091,92.6,535740,"947 of 3141"
"Pratt County",20151,92.8,8978,"980 of 3141"
"Leavenworth County",20103,93.2,73966,"1016 of 3141"
"Lane County",20101,93.4,1589,"1040 of 3141"
"Cheyenne County",20023,93.5,2504,"1063 of 3141"
"Kiowa County",20097,93.6,2363,"1076 of 3141"
"Harper County",20077,93.7,5382,"1081 of 3141"
"Montgomery County",20125,93.8,31387,"1098 of 3141"
"Ellsworth County",20053,94.0,5948,"1117 of 3141"
"Douglas County",20045,94.0,110697,"1121 of 3141"
"Rawlins County",20153,94.0,2369,"1131 of 3141"
"Ellis County",20051,94.4,27268,"1203 of 3141"
"Logan County",20109,94.4,2635,"1208 of 3141"
"Thomas County",20193,94.5,7414,"1216 of 3141"
"Pottawatomie County",20149,94.7,21954,"1256 of 3141"
"Sumner County",20191,94.7,22095,"1257 of 3141"
"Crawford County",20037,94.7,37034,"1260 of 3141"
"Wallace County",20199,94.9,1510,"1297 of 3141"
"Norton County",20137,94.9,5246,"1300 of 3141"
"Neosho County",20133,95.0,15405,"1327 of 3141"
"Butler County",20015,95.4,63244,"1415 of 3141"
"Dickinson County",20041,95.5,18299,"1426 of 3141"
"Morris County",20127,95.5,5353,"1427 of 3141"
"Chase County",20017,95.6,2547,"1445 of 3141"
"Jackson County",20085,95.6,12735,"1454 of 3141"
"Labette County",20099,95.6,19651,"1455 of 3141"
"Sheridan County",20179,95.6,2388,"1460 of 3141"
"Brown County",20013,95.8,9330,"1511 of 3141"
"Elk County",20049,95.9,2475,"1533 of 3141"
"Franklin County",20059,95.9,24555,"1544 of 3141"
"McPherson County",20113,96.0,27635,"1558 of 3141"
"Greenwood County",20073,96.3,5995,"1631 of 3141"
"Wabaunsee County",20197,96.6,6683,"1730 of 3141"
"Chautauqua County",20019,96.6,3309,"1736 of 3141"
"Allen County",20001,96.7,12325,"1744 of 3141"
"Marion County",20115,96.7,11687,"1753 of 3141"
"Washington County",20201,96.7,5389,"1759 of 3141"
"Graham County",20065,96.8,2479,"1798 of 3141"
"Phillips County",20147,96.8,5272,"1799 of 3141"
"Kingman County",20095,96.8,7334,"1800 of 3141"
"Cloud County",20029,96.8,8900,"1813 of 3141"
"Barber County",20007,96.8,4750,"1815 of 3141"
"Rush County",20165,96.9,3023,"1846 of 3141"
"Lincoln County",20105,97.0,3027,"1878 of 3141"
"Miami County",20121,97.0,31984,"1882 of 3141"
"Osage County",20139,97.0,15425,"1904 of 3141"
"Atchison County",20005,97.1,15988,"1917 of 3141"
"Wilson County",20205,97.1,8602,"1922 of 3141"
