------------
DL METADATA
 > URL: https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=20&areatype=county&topic=pov&demo=00009&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1
 > Details: {'stateFIPS': '20', 'areatype': 'county', 'topic': 'pov', 'demo': '00009', 'race': '00', 'sex': '0', 'age': '001', 'type': 'manyareacensus', 'file_name': 'demographics_030.csv', 'source_url': 'https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=20&areatype=county&topic=pov&demo=00009&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1'}
------------
Demographic Data Report for Kansas by County
Poverty: Persons below 150% of poverty
"All Ages, All Races (includes Hispanic), Both Sexes"
2013-2017 American Community Survey 5-Year Data
Sorted by Value

County, FIPS,Value (Percent),People (<150% Of Poverty),Rank within US
"Kansas",20000,21.6,610317,"22 of 52"
"United States",00000,23.7,74202606,"N/A"
"Johnson County",20091,10.1,57677,"44 of 3141"
"Wabaunsee County",20197,12.3,833,"108 of 3141"
"Trego County",20195,12.5,351,"118 of 3141"
"Hodgeman County",20083,14.4,265,"198 of 3141"
"Comanche County",20033,14.4,240,"200 of 3141"
"Miami County",20121,14.5,4664,"204 of 3141"
"Jefferson County",20087,14.6,2707,"213 of 3141"
"Kingman County",20095,14.7,1089,"217 of 3141"
"Leavenworth County",20103,14.8,10883,"225 of 3141"
"Wichita County",20203,15.3,325,"252 of 3141"
"Scott County",20171,15.7,767,"275 of 3141"
"Gray County",20069,15.7,929,"277 of 3141"
"Logan County",20109,16.1,442,"303 of 3141"
"McPherson County",20113,16.3,4469,"320 of 3141"
"Pottawatomie County",20149,16.6,3793,"352 of 3141"
"Wallace County",20199,17.5,275,"442 of 3141"
"Jackson County",20085,17.6,2307,"451 of 3141"
"Coffey County",20031,17.9,1467,"480 of 3141"
"Clay County",20027,18.1,1458,"501 of 3141"
"Grant County",20067,18.1,1385,"504 of 3141"
"Pratt County",20151,18.6,1724,"556 of 3141"
"Harvey County",20079,18.9,6306,"603 of 3141"
"Morris County",20127,19.1,1051,"618 of 3141"
"Butler County",20015,19.2,12194,"631 of 3141"
"Pawnee County",20145,19.3,1099,"638 of 3141"
"Rawlins County",20153,19.4,477,"652 of 3141"
"Nemaha County",20131,19.4,1896,"654 of 3141"
"Rush County",20165,19.5,593,"661 of 3141"
"Gove County",20063,19.5,504,"677 of 3141"
"Ottawa County",20143,19.9,1164,"738 of 3141"
"Thomas County",20193,20.2,1508,"770 of 3141"
"Washington County",20201,20.3,1098,"786 of 3141"
"Lincoln County",20105,20.4,608,"791 of 3141"
"Sumner County",20191,20.4,4641,"793 of 3141"
"Marion County",20115,20.5,2316,"808 of 3141"
"Franklin County",20059,20.6,5108,"821 of 3141"
"Ellsworth County",20053,20.6,1114,"825 of 3141"
"Marshall County",20117,20.6,1989,"829 of 3141"
"Norton County",20137,20.8,980,"853 of 3141"
"Osage County",20139,20.8,3260,"854 of 3141"
"Morton County",20129,20.8,593,"858 of 3141"
"Graham County",20065,20.9,523,"860 of 3141"
"Stanton County",20187,21.2,441,"907 of 3141"
"Shawnee County",20177,21.3,37001,"917 of 3141"
"Meade County",20119,21.5,895,"943 of 3141"
"Doniphan County",20043,21.5,1529,"944 of 3141"
"Sherman County",20181,21.6,1266,"955 of 3141"
"Kearny County",20093,21.6,817,"957 of 3141"
"Kiowa County",20097,21.6,505,"962 of 3141"
"Saline County",20169,21.6,11647,"967 of 3141"
"Lane County",20101,22.0,371,"1006 of 3141"
"Sheridan County",20179,22.1,546,"1022 of 3141"
"Dickinson County",20041,22.4,4205,"1064 of 3141"
"Mitchell County",20123,22.7,1348,"1097 of 3141"
"Chase County",20017,22.7,583,"1102 of 3141"
"Hamilton County",20075,22.8,598,"1120 of 3141"
"Brown County",20013,23.1,2227,"1158 of 3141"
"Greeley County",20071,23.1,273,"1161 of 3141"
"Phillips County",20147,23.4,1245,"1199 of 3141"
"Osborne County",20141,23.5,840,"1219 of 3141"
"Russell County",20167,23.6,1620,"1229 of 3141"
"Rooks County",20163,23.7,1172,"1242 of 3141"
"Edwards County",20047,23.9,678,"1271 of 3141"
"Ness County",20135,24.2,710,"1319 of 3141"
"Sedgwick County",20173,24.5,123187,"1357 of 3141"
"Clark County",20025,24.7,501,"1397 of 3141"
"Reno County",20155,24.7,14946,"1405 of 3141"
"Barber County",20007,24.9,1203,"1422 of 3141"
"Republic County",20157,24.9,1146,"1433 of 3141"
"Elk County",20049,24.9,633,"1436 of 3141"
"Harper County",20077,24.9,1393,"1439 of 3141"
"Rice County",20159,24.9,2284,"1441 of 3141"
"Allen County",20001,25.0,3062,"1448 of 3141"
"Stevens County",20189,25.1,1415,"1456 of 3141"
"Chautauqua County",20019,25.2,845,"1464 of 3141"
"Cheyenne County",20023,25.2,666,"1470 of 3141"
"Smith County",20183,25.4,921,"1504 of 3141"
"Haskell County",20081,25.7,1036,"1544 of 3141"
"Ellis County",20051,25.8,7150,"1557 of 3141"
"Stafford County",20185,26.2,1073,"1612 of 3141"
"Greenwood County",20073,26.5,1620,"1661 of 3141"
"Douglas County",20045,26.8,29266,"1709 of 3141"
"Decatur County",20039,26.9,754,"1720 of 3141"
"Cowley County",20035,27.1,9096,"1747 of 3141"
"Atchison County",20005,27.1,4107,"1750 of 3141"
"Geary County",20061,27.3,9513,"1784 of 3141"
"Barton County",20009,27.6,7320,"1820 of 3141"
"Linn County",20107,27.6,2626,"1825 of 3141"
"Cherokee County",20021,27.6,5581,"1827 of 3141"
"Montgomery County",20125,27.7,9002,"1835 of 3141"
"Labette County",20099,28.2,5681,"1910 of 3141"
