------------
DL METADATA
 > URL: https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=16&areatype=county&topic=lang&demo=00015&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1
 > Details: {'stateFIPS': '16', 'areatype': 'county', 'topic': 'lang', 'demo': '00015', 'race': '00', 'sex': '0', 'age': '001', 'type': 'manyareacensus', 'file_name': 'demographics_007.csv', 'source_url': 'https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=16&areatype=county&topic=lang&demo=00015&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1'}
------------
Demographic Data Report for Idaho by County
Non-English Language: Language isolation
"All Ages, All Races (includes Hispanic), Both Sexes"
2013-2017 American Community Survey 5-Year Data
Sorted by Value

County, FIPS,Value (Percent),Households (language Isolation),Rank within US
"Idaho",16000,2.0,12318,"22 of 51"
"United States",00000,4.5,5305440,"N/A"
"Benewah County",16009,0.1,2,"340 of 3140"
"Lewis County",16061,0.1,1,"349 of 3140"
"Butte County",16023,0.1,1,"394 of 3140"
"Bonner County",16017,0.2,42,"667 of 3140"
"Boise County",16015,0.3,8,"717 of 3140"
"Kootenai County",16055,0.3,166,"750 of 3140"
"Boundary County",16021,0.3,13,"763 of 3140"
"Clearwater County",16035,0.3,11,"779 of 3140"
"Idaho County",16049,0.4,26,"977 of 3140"
"Valley County",16085,0.5,17,"1099 of 3140"
"Bear Lake County",16007,0.6,13,"1220 of 3140"
"Adams County",16003,0.6,10,"1240 of 3140"
"Nez Perce County",16069,0.6,104,"1333 of 3140"
"Latah County",16057,0.7,101,"1354 of 3140"
"Shoshone County",16079,0.8,43,"1493 of 3140"
"Payette County",16075,0.8,70,"1549 of 3140"
"Lemhi County",16059,1.0,38,"1746 of 3140"
"Madison County",16065,1.0,111,"1766 of 3140"
"Bannock County",16005,1.3,410,"1981 of 3140"
"Ada County",16001,1.5,2458,"2074 of 3140"
"Bonneville County",16019,1.6,598,"2129 of 3140"
"Caribou County",16029,1.7,42,"2192 of 3140"
"Franklin County",16041,1.7,73,"2213 of 3140"
"Jefferson County",16051,2.0,173,"2344 of 3140"
"Camas County",16025,2.2,8,"2383 of 3140"
"Oneida County",16071,2.3,36,"2432 of 3140"
"Fremont County",16043,2.6,116,"2551 of 3140"
"Twin Falls County",16083,2.8,851,"2598 of 3140"
"Canyon County",16027,2.9,2044,"2625 of 3140"
"Gem County",16045,3.0,191,"2631 of 3140"
"Bingham County",16011,3.3,485,"2682 of 3140"
"Blaine County",16013,3.3,271,"2687 of 3140"
"Washington County",16087,3.5,140,"2719 of 3140"
"Custer County",16037,3.7,68,"2739 of 3140"
"Teton County",16081,4.2,159,"2792 of 3140"
"Elmore County",16039,4.3,437,"2810 of 3140"
"Power County",16077,6.0,153,"2914 of 3140"
"Gooding County",16047,6.9,385,"2967 of 3140"
"Lincoln County",16063,7.1,114,"2972 of 3140"
"Cassia County",16031,7.2,563,"2975 of 3140"
"Owyhee County",16073,7.5,314,"2985 of 3140"
"Minidoka County",16067,8.1,595,"3009 of 3140"
"Jerome County",16053,10.4,803,"3062 of 3140"
"Clark County",16033,17.3,54,"3119 of 3140"

Created by statecancerprofiles.cancer.gov on 03/29/2020 6:15 pm.
Source: Demographic data provided by the Census Bureau (http://www.census.gov/) & the American Community Survey (http://www.census.gov/acs/www/).
"For more information about Non-English Language: Language isolation, see the dictionary at http://statecancerprofiles.cancer.gov/dictionary.php#non-english."
"Health Service Areas are a single county or cluster of contiguous counties which are relatively self-contained with respect to hospital care. For more detailed information, please see the Health Service Area information page at http://statecancerprofiles.cancer.gov/hsa.php ."
A "limited English speaking household" is one in which no member 14 years old and over (1) speaks only English or (2) speaks a non-English language and speaks English "very well."
Data for United States does not include Puerto Rico.
