------------
DL METADATA
 > URL: https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=16&areatype=county&topic=mob&demo=00019&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1
 > Details: {'stateFIPS': '16', 'areatype': 'county', 'topic': 'mob', 'demo': '00019', 'race': '00', 'sex': '0', 'age': '001', 'type': 'manyareacensus', 'file_name': 'demographics_010.csv', 'source_url': 'https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=16&areatype=county&topic=mob&demo=00019&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1'}
------------
Demographic Data Report for Idaho by County
"Mobility: Moved, different county this state (in past year)"
"All Ages, All Races (includes Hispanic), Both Sexes"
2013-2017 American Community Survey 5-Year Data
Sorted by Value

County, FIPS,Value (Percent),People (Moved From Different County In Same State),Rank within US
"United States",00000,3.2,10247779,"N/A"
"Idaho",16000,3.4,55113,"29 of 51"
"Camas County",16025,0.0,0,"1 of 3140"
"Oneida County",16071,0.4,17,"13 of 3140"
"Teton County",16081,1.3,135,"89 of 3140"
"Kootenai County",16055,1.6,2324,"167 of 3140"
"Caribou County",16029,1.7,117,"226 of 3140"
"Franklin County",16041,2.1,274,"391 of 3140"
"Ada County",16001,2.1,9260,"415 of 3140"
"Blaine County",16013,2.2,462,"427 of 3140"
"Benewah County",16009,2.3,206,"495 of 3140"
"Butte County",16023,2.5,66,"655 of 3140"
"Lemhi County",16059,2.6,199,"692 of 3140"
"Bear Lake County",16007,2.7,156,"740 of 3140"
"Nez Perce County",16069,2.7,1079,"797 of 3140"
"Elmore County",16039,2.8,712,"813 of 3140"
"Payette County",16075,2.9,655,"913 of 3140"
"Bonner County",16017,2.9,1213,"926 of 3140"
"Washington County",16087,3.0,299,"1005 of 3140"
"Bonneville County",16019,3.1,3402,"1067 of 3140"
"Bingham County",16011,3.5,1563,"1351 of 3140"
"Shoshone County",16079,3.6,440,"1415 of 3140"
"Custer County",16037,3.7,153,"1517 of 3140"
"Bannock County",16005,3.7,3092,"1526 of 3140"
"Gem County",16045,3.8,644,"1610 of 3140"
"Twin Falls County",16083,3.9,3190,"1673 of 3140"
"Jerome County",16053,4.5,1008,"1974 of 3140"
"Madison County",16065,4.5,1667,"1981 of 3140"
"Boundary County",16021,4.5,506,"2004 of 3140"
"Clark County",16033,4.6,47,"2031 of 3140"
"Canyon County",16027,4.6,9378,"2037 of 3140"
"Fremont County",16043,4.7,603,"2117 of 3140"
"Gooding County",16047,4.8,719,"2154 of 3140"
"Jefferson County",16051,4.8,1302,"2164 of 3140"
"Lincoln County",16063,5.0,262,"2263 of 3140"
"Minidoka County",16067,5.3,1065,"2386 of 3140"
"Power County",16077,5.6,423,"2519 of 3140"
"Lewis County",16061,5.7,216,"2551 of 3140"
"Adams County",16003,5.7,223,"2557 of 3140"
"Cassia County",16031,5.8,1336,"2582 of 3140"
"Owyhee County",16073,6.8,763,"2796 of 3140"
"Boise County",16015,6.9,480,"2819 of 3140"
"Clearwater County",16035,7.0,591,"2825 of 3140"
"Latah County",16057,7.5,2890,"2900 of 3140"
"Idaho County",16049,7.5,1212,"2903 of 3140"
"Valley County",16085,7.6,764,"2917 of 3140"

Created by statecancerprofiles.cancer.gov on 03/29/2020 6:15 pm.
Source: Demographic data provided by the Census Bureau (http://www.census.gov/) & the American Community Survey (http://www.census.gov/acs/www/).
"For more information about Mobility: Moved, different county this state (in past year), see the dictionary at http://statecancerprofiles.cancer.gov/dictionary.php#mobility."
"Health Service Areas are a single county or cluster of contiguous counties which are relatively self-contained with respect to hospital care. For more detailed information, please see the Health Service Area information page at http://statecancerprofiles.cancer.gov/hsa.php ."
Data for United States does not include Puerto Rico.
