------------
DL METADATA
 > URL: https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=16&areatype=county&topic=pop&demo=00105&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1
 > Details: {'stateFIPS': '16', 'areatype': 'county', 'topic': 'pop', 'demo': '00105', 'race': '00', 'sex': '0', 'age': '001', 'type': 'manyareacensus', 'file_name': 'demographics_026.csv', 'source_url': 'https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=16&areatype=county&topic=pop&demo=00105&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1'}
------------
Demographic Data Report for Idaho by County
Population: Sex - Female
"All Ages, All Races (includes Hispanic), Both Sexes"
2013-2017 American Community Survey 5-Year Data
Sorted by Value

County, FIPS,Value (Percent),People (Female),Rank within US
"Idaho",16000,49.9,826748,"10 of 52"
"United States",00000,50.8,162985654,"N/A"
"Clearwater County",16035,44.4,3791,"97 of 3141"
"Clark County",16033,46.4,489,"183 of 3141"
"Teton County",16081,47.2,5084,"259 of 3141"
"Boise County",16015,47.2,3290,"263 of 3141"
"Idaho County",16049,47.7,7766,"314 of 3141"
"Custer County",16037,47.7,1977,"315 of 3141"
"Elmore County",16039,48.0,12581,"356 of 3141"
"Fremont County",16043,48.1,6204,"392 of 3141"
"Butte County",16023,48.3,1263,"426 of 3141"
"Lincoln County",16063,48.4,2561,"433 of 3141"
"Power County",16077,48.5,3716,"450 of 3141"
"Adams County",16003,48.8,1925,"532 of 3141"
"Gooding County",16047,48.8,7373,"536 of 3141"
"Latah County",16057,48.8,18884,"537 of 3141"
"Blaine County",16013,48.8,10543,"553 of 3141"
"Owyhee County",16073,48.9,5567,"571 of 3141"
"Cassia County",16031,49.0,11506,"612 of 3141"
"Franklin County",16041,49.0,6434,"615 of 3141"
"Valley County",16085,49.0,4956,"620 of 3141"
"Caribou County",16029,49.2,3379,"680 of 3141"
"Jefferson County",16051,49.2,13499,"686 of 3141"
"Benewah County",16009,49.5,4482,"832 of 3141"
"Jerome County",16053,49.6,11420,"849 of 3141"
"Madison County",16065,49.6,18969,"874 of 3141"
"Minidoka County",16067,49.6,10144,"877 of 3141"
"Lemhi County",16059,49.6,3849,"892 of 3141"
"Lewis County",16061,49.8,1906,"1068 of 3141"
"Payette County",16075,49.9,11388,"1086 of 3141"
"Bonner County",16017,49.9,20875,"1098 of 3141"
"Bingham County",16011,49.9,22637,"1109 of 3141"
"Ada County",16001,49.9,217118,"1113 of 3141"
"Camas County",16025,50.0,443,"1192 of 3141"
"Shoshone County",16079,50.0,6245,"1192 of 3141"
"Boundary County",16021,50.1,5668,"1247 of 3141"
"Bonneville County",16019,50.1,55322,"1295 of 3141"
"Oneida County",16071,50.1,2148,"1332 of 3141"
"Bannock County",16005,50.2,42246,"1395 of 3141"
"Nez Perce County",16069,50.5,20203,"1673 of 3141"
"Canyon County",16027,50.5,104547,"1682 of 3141"
"Gem County",16045,50.6,8519,"1751 of 3141"
"Washington County",16087,50.6,5056,"1778 of 3141"
"Kootenai County",16055,50.6,75967,"1802 of 3141"
"Bear Lake County",16007,50.7,3014,"1968 of 3141"
"Twin Falls County",16083,50.8,41794,"2068 of 3141"

Created by statecancerprofiles.cancer.gov on 03/29/2020 6:15 pm.
Source: Demographic data provided by the Census Bureau (http://www.census.gov/) & the American Community Survey (http://www.census.gov/acs/www/).
"For more information about Population: Sex - Female, see the dictionary at http://statecancerprofiles.cancer.gov/dictionary.php#population."
"Health Service Areas are a single county or cluster of contiguous counties which are relatively self-contained with respect to hospital care. For more detailed information, please see the Health Service Area information page at http://statecancerprofiles.cancer.gov/hsa.php ."
Data for United States does not include Puerto Rico.
