------------
DL METADATA
 > URL: https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=16&areatype=county&topic=pov&demo=00007&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1
 > Details: {'stateFIPS': '16', 'areatype': 'county', 'topic': 'pov', 'demo': '00007', 'race': '00', 'sex': '0', 'age': '001', 'type': 'manyareacensus', 'file_name': 'demographics_028.csv', 'source_url': 'https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=16&areatype=county&topic=pov&demo=00007&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1'}
------------
Demographic Data Report for Idaho by County
Poverty: Families below poverty
"All Ages, All Races (includes Hispanic), Both Sexes"
2013-2017 American Community Survey 5-Year Data
Sorted by Value

County, FIPS,Value (Percent),Families (Below Poverty),Rank within US
"Idaho",16000,10.0,41407,"28 of 52"
"United States",00000,10.5,8253388,"N/A"
"Valley County",16085,4.2,99,"150 of 3141"
"Teton County",16081,5.9,144,"395 of 3141"
"Caribou County",16029,6.1,113,"435 of 3141"
"Jefferson County",16051,6.6,453,"552 of 3141"
"Boise County",16015,6.7,139,"555 of 3141"
"Lincoln County",16063,6.7,78,"566 of 3141"
"Idaho County",16049,7.0,301,"629 of 3141"
"Ada County",16001,7.1,7497,"672 of 3141"
"Adams County",16003,7.6,86,"791 of 3141"
"Oneida County",16071,7.7,88,"822 of 3141"
"Bonner County",16017,8.6,999,"1063 of 3141"
"Bonneville County",16019,8.7,2423,"1084 of 3141"
"Lewis County",16061,8.8,84,"1087 of 3141"
"Power County",16077,8.8,164,"1104 of 3141"
"Benewah County",16009,9.3,217,"1213 of 3141"
"Nez Perce County",16069,9.4,1017,"1244 of 3141"
"Lemhi County",16059,9.5,218,"1272 of 3141"
"Fremont County",16043,9.5,327,"1295 of 3141"
"Kootenai County",16055,9.7,3970,"1326 of 3141"
"Latah County",16057,9.8,834,"1351 of 3141"
"Twin Falls County",16083,10.5,2247,"1533 of 3141"
"Bingham County",16011,10.6,1177,"1544 of 3141"
"Gooding County",16047,11.0,421,"1675 of 3141"
"Clearwater County",16035,11.1,259,"1686 of 3141"
"Washington County",16087,11.3,291,"1725 of 3141"
"Elmore County",16039,11.4,799,"1774 of 3141"
"Canyon County",16027,11.5,5545,"1775 of 3141"
"Blaine County",16013,11.5,591,"1777 of 3141"
"Bear Lake County",16007,11.5,200,"1797 of 3141"
"Cassia County",16031,11.5,702,"1798 of 3141"
"Butte County",16023,11.7,83,"1821 of 3141"
"Payette County",16075,11.7,694,"1826 of 3141"
"Franklin County",16041,11.7,406,"1838 of 3141"
"Bannock County",16005,12.0,2449,"1879 of 3141"
"Shoshone County",16079,12.1,431,"1919 of 3141"
"Jerome County",16053,12.7,737,"2047 of 3141"
"Boundary County",16021,12.9,352,"2085 of 3141"
"Camas County",16025,13.6,30,"2223 of 3141"
"Minidoka County",16067,13.9,777,"2278 of 3141"
"Gem County",16045,14.9,652,"2431 of 3141"
"Custer County",16037,15.6,194,"2536 of 3141"
"Owyhee County",16073,19.1,549,"2843 of 3141"
"Clark County",16033,19.3,47,"2859 of 3141"
"Madison County",16065,29.3,2523,"3094 of 3141"

Created by statecancerprofiles.cancer.gov on 03/29/2020 6:15 pm.
Source: Demographic data provided by the Census Bureau (http://www.census.gov/) & the American Community Survey (http://www.census.gov/acs/www/).
"For more information about Poverty: Families below poverty, see the dictionary at http://statecancerprofiles.cancer.gov/dictionary.php#poverty."
"Health Service Areas are a single county or cluster of contiguous counties which are relatively self-contained with respect to hospital care. For more detailed information, please see the Health Service Area information page at http://statecancerprofiles.cancer.gov/hsa.php ."
Data for United States does not include Puerto Rico.
