------------
DL METADATA
 > URL: https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=16&areatype=county&topic=mob&demo=00020&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1
 > Details: {'stateFIPS': '16', 'areatype': 'county', 'topic': 'mob', 'demo': '00020', 'race': '00', 'sex': '0', 'age': '001', 'type': 'manyareacensus', 'file_name': 'demographics_011.csv', 'source_url': 'https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=16&areatype=county&topic=mob&demo=00020&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1'}
------------
Demographic Data Report for Idaho by County
"Mobility: Moved, different state (in past year)"
"All Ages, All Races (includes Hispanic), Both Sexes"
2013-2017 American Community Survey 5-Year Data
Sorted by Value

County, FIPS,Value (Percent),People (Moved From Different State),Rank within US
"United States",00000,2.3,7354769,"N/A"
"Idaho",16000,4.1,67299,"46 of 51"
"Jerome County",16053,1.3,285,"967 of 3140"
"Lincoln County",16063,1.3,67,"991 of 3140"
"Power County",16077,1.3,98,"1009 of 3140"
"Lewis County",16061,1.6,62,"1415 of 3140"
"Custer County",16037,1.7,69,"1466 of 3140"
"Shoshone County",16079,2.0,248,"1798 of 3140"
"Gooding County",16047,2.1,308,"1832 of 3140"
"Caribou County",16029,2.1,144,"1898 of 3140"
"Bingham County",16011,2.4,1049,"2064 of 3140"
"Washington County",16087,2.5,248,"2170 of 3140"
"Gem County",16045,2.5,423,"2180 of 3140"
"Minidoka County",16067,2.7,555,"2314 of 3140"
"Idaho County",16049,2.8,452,"2347 of 3140"
"Fremont County",16043,2.8,361,"2355 of 3140"
"Boise County",16015,2.9,204,"2424 of 3140"
"Jefferson County",16051,3.0,800,"2430 of 3140"
"Twin Falls County",16083,3.0,2397,"2431 of 3140"
"Cassia County",16031,3.0,704,"2469 of 3140"
"Benewah County",16009,3.1,278,"2492 of 3140"
"Bannock County",16005,3.3,2699,"2574 of 3140"
"Bear Lake County",16007,3.3,192,"2581 of 3140"
"Blaine County",16013,3.3,708,"2599 of 3140"
"Adams County",16003,3.4,132,"2625 of 3140"
"Canyon County",16027,3.4,6937,"2628 of 3140"
"Bonneville County",16019,3.5,3833,"2667 of 3140"
"Butte County",16023,3.7,97,"2730 of 3140"
"Clearwater County",16035,3.8,325,"2757 of 3140"
"Owyhee County",16073,4.0,453,"2808 of 3140"
"Ada County",16001,4.3,18415,"2856 of 3140"
"Nez Perce County",16069,4.3,1714,"2865 of 3140"
"Kootenai County",16055,4.6,6769,"2915 of 3140"
"Boundary County",16021,4.6,515,"2923 of 3140"
"Bonner County",16017,5.1,2097,"2972 of 3140"
"Lemhi County",16059,5.2,397,"2988 of 3140"
"Clark County",16033,5.8,60,"3038 of 3140"
"Camas County",16025,5.9,52,"3044 of 3140"
"Payette County",16075,5.9,1343,"3045 of 3140"
"Elmore County",16039,6.0,1558,"3050 of 3140"
"Franklin County",16041,6.6,855,"3068 of 3140"
"Valley County",16085,7.0,695,"3086 of 3140"
"Latah County",16057,7.2,2750,"3091 of 3140"
"Oneida County",16071,7.7,324,"3106 of 3140"
"Teton County",16081,8.5,896,"3123 of 3140"
"Madison County",16065,12.7,4731,"3136 of 3140"

Created by statecancerprofiles.cancer.gov on 03/29/2020 6:15 pm.
Source: Demographic data provided by the Census Bureau (http://www.census.gov/) & the American Community Survey (http://www.census.gov/acs/www/).
"For more information about Mobility: Moved, different state (in past year), see the dictionary at http://statecancerprofiles.cancer.gov/dictionary.php#mobility."
"Health Service Areas are a single county or cluster of contiguous counties which are relatively self-contained with respect to hospital care. For more detailed information, please see the Health Service Area information page at http://statecancerprofiles.cancer.gov/hsa.php ."
Data for United States does not include Puerto Rico.
