------------
DL METADATA
 > URL: https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=16&areatype=county&topic=pop&demo=00026&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1
 > Details: {'stateFIPS': '16', 'areatype': 'county', 'topic': 'pop', 'demo': '00026', 'race': '00', 'sex': '0', 'age': '001', 'type': 'manyareacensus', 'file_name': 'demographics_023.csv', 'source_url': 'https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=16&areatype=county&topic=pop&demo=00026&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1'}
------------
Demographic Data Report for Idaho by County
Population: Hispanic
"All Ages, Both Sexes"
2013-2017 American Community Survey 5-Year Data
Sorted by Value

County, FIPS,Value (Percent),People (Hispanic),Rank within US
"Idaho",16000,12.2,201978,"17 of 52"
"United States",00000,17.6,56510571,"N/A"
"Butte County",16023,2.5,66,"2103 of 3141"
"Bonner County",16017,2.9,1210,"1921 of 3141"
"Idaho County",16049,3.2,523,"1792 of 3141"
"Lemhi County",16059,3.2,250,"1786 of 3141"
"Adams County",16003,3.3,131,"1749 of 3141"
"Benewah County",16009,3.4,311,"1720 of 3141"
"Shoshone County",16079,3.4,430,"1718 of 3141"
"Nez Perce County",16069,3.7,1486,"1635 of 3141"
"Clearwater County",16035,3.9,332,"1591 of 3141"
"Custer County",16037,4.0,164,"1573 of 3141"
"Boise County",16015,4.1,286,"1534 of 3141"
"Bear Lake County",16007,4.1,245,"1528 of 3141"
"Oneida County",16071,4.2,178,"1518 of 3141"
"Latah County",16057,4.2,1612,"1514 of 3141"
"Lewis County",16061,4.3,166,"1463 of 3141"
"Kootenai County",16055,4.4,6560,"1458 of 3141"
"Valley County",16085,4.4,448,"1444 of 3141"
"Boundary County",16021,4.6,526,"1394 of 3141"
"Caribou County",16029,5.4,371,"1238 of 3141"
"Franklin County",16041,6.7,881,"1028 of 3141"
"Madison County",16065,7.1,2722,"987 of 3141"
"Ada County",16001,7.9,34228,"899 of 3141"
"Bannock County",16005,8.3,6954,"875 of 3141"
"Gem County",16045,8.3,1398,"872 of 3141"
"Camas County",16025,9.3,82,"788 of 3141"
"Jefferson County",16051,10.4,2858,"707 of 3141"
"Fremont County",16043,12.5,1605,"601 of 3141"
"Bonneville County",16019,12.7,13987,"589 of 3141"
"Twin Falls County",16083,15.6,12863,"491 of 3141"
"Elmore County",16039,16.4,4300,"468 of 3141"
"Teton County",16081,17.0,1832,"455 of 3141"
"Payette County",16075,17.0,3885,"454 of 3141"
"Washington County",16087,17.2,1715,"452 of 3141"
"Bingham County",16011,17.9,8121,"432 of 3141"
"Blaine County",16013,21.0,4535,"360 of 3141"
"Canyon County",16027,24.9,51487,"293 of 3141"
"Owyhee County",16073,26.6,3023,"269 of 3141"
"Cassia County",16031,27.0,6337,"262 of 3141"
"Gooding County",16047,28.8,4354,"240 of 3141"
"Lincoln County",16063,29.8,1577,"230 of 3141"
"Power County",16077,32.9,2523,"204 of 3141"
"Minidoka County",16067,34.4,7029,"190 of 3141"
"Jerome County",16053,34.5,7944,"189 of 3141"
"Clark County",16033,42.0,443,"140 of 3141"

Created by statecancerprofiles.cancer.gov on 03/29/2020 6:15 pm.
Source: Demographic data provided by the Census Bureau (http://www.census.gov/) & the American Community Survey (http://www.census.gov/acs/www/).
"For more information about Population: Hispanic, see the dictionary at http://statecancerprofiles.cancer.gov/dictionary.php#population."
"Health Service Areas are a single county or cluster of contiguous counties which are relatively self-contained with respect to hospital care. For more detailed information, please see the Health Service Area information page at http://statecancerprofiles.cancer.gov/hsa.php ."
Data for United States does not include Puerto Rico.
