------------
DL METADATA
 > URL: https://www.statecancerprofiles.cancer.gov/deathrates/index.php?stateFIPS=06&areatype=county&cancer=058&race=00&sex=2&age=001&type=death&sortVariableName=rate&sortOrder=desc&output=1
 > Details: {'stateFIPS': '06', 'areatype': 'county', 'cancer': '058', 'race': '00', 'sex': '2', 'age': '001', 'type': 'death', 'file_name': 'deathrates_021.csv', 'source_url': 'https://www.statecancerprofiles.cancer.gov/deathrates/index.php?stateFIPS=06&areatype=county&cancer=058&race=00&sex=2&age=001&type=death&sortVariableName=rate&sortOrder=desc&output=1'}
------------
Death Rate Report for California by County

"Uterus (Corpus & Uterus, NOS), 2012-2016"

"All Races (includes Hispanic), Female, All Ages"

Sorted by Rate

County, FIPS,Met Healthy People Objective of ***?,"Age-Adjusted Death Rate(†) - deaths per 100,000","Lower 95% Confidence Interval","Upper 95% Confidence Interval",Average Annual Count,Recent Trend,"Recent 5-Year Trend (‡) in Death Rates","Lower 95% Confidence Interval","Upper 95% Confidence Interval"
"California",06000,***,4.7 ,4.6, 4.9,1073,rising,2.3 ,1.5, 3.0
"United States",00000,***,4.7 ,4.7, 4.8,9758,rising,2.3 ,1.9, 2.6
"Humboldt County",06023,***,5.9 ,3.8, 8.9,5,*,*,*,*
"Sonoma County",06097,***,5.9 ,4.8, 7.2,22,stable,1.1 ,-0.2, 2.4
"Butte County",06007,***,5.6 ,4.1, 7.6,9,stable,1.5 ,-0.5, 3.5
"Sacramento County",06067,***,5.4 ,4.7, 6.2,46,rising,1.9 ,0.8, 2.9
"Solano County",06095,***,5.3 ,4.1, 6.7,14,stable,0.2 ,-1.4, 1.9
"Merced County",06047,***,5.3 ,3.6, 7.5,7,*,*,*,*
"San Bernardino County",06071,***,5.2 ,4.6, 5.9,55,stable,0.9 ,-0.1, 1.8
"Shasta County",06089,***,5.2 ,3.7, 7.2,8,stable,1.7 ,-0.5, 4.0
"Ventura County",06111,***,5.2 ,4.3, 6.1,27,stable,1.0 ,-0.4, 2.5
"San Mateo County",06081,***,5.2 ,4.3, 6.2,26,rising,1.6 ,0.2, 2.9
"Los Angeles County",06037,***,5.1 ,4.9, 5.4,294,rising,0.8 ,0.5, 1.2
"Alameda County",06001,***,5 ,4.4, 5.7,47,stable,0.9 ,-0.2, 2.1
"Placer County",06061,***,5 ,3.9, 6.3,14,stable,1.9 ,-0.3, 4.0
"Contra Costa County",06013,***,4.9 ,4.2, 5.7,36,stable,14.5 ,-1.2, 32.8
"Monterey County",06053,***,4.8 ,3.6, 6.3,11,stable,0.4 ,-1.5, 2.3
"San Francisco County",06075,***,4.7 ,3.9, 5.6,26,stable,0.2 ,-0.8, 1.3
"Madera County",06039,***,4.7 ,2.8, 7.3,4,*,*,*,*
"San Diego County",06073,***,4.6 ,4.2, 5.1,86,rising,1.0 ,0.3, 1.7
"Yolo County",06113,***,4.5 ,2.8, 6.8,5,stable,2.1 ,-0.3, 4.5
"Marin County",06041,***,4.5 ,3.3, 6,10,stable,-0.7 ,-2.4, 1.2
"Riverside County",06065,***,4.4 ,3.9, 4.9,57,stable,0.7 ,-0.1, 1.6
"Orange County",06059,***,4.3 ,3.9, 4.8,82,stable,0.6 ,0.0, 1.3
"San Joaquin County",06077,***,4.3 ,3.4, 5.3,17,stable,1.5 ,-0.1, 3.1
"Fresno County",06019,***,4.2 ,3.4, 5.1,21,stable,1.0 ,-0.2, 2.1
"Stanislaus County",06099,***,4.2 ,3.2, 5.4,12,stable,0.8 ,-0.8, 2.4
"Santa Cruz County",06087,***,4.2 ,2.9, 5.9,7,stable,0.3 ,-1.2, 1.8
"El Dorado County",06017,***,4.2 ,2.7, 6.2,5,*,*,*,*
"Santa Clara County",06085,***,4 ,3.5, 4.6,44,stable,0.3 ,-0.5, 1.1
"Kern County",06029,***,4 ,3.2, 5,16,stable,0.7 ,-0.9, 2.4
"Tulare County",06107,***,3.8 ,2.7, 5.2,8,stable,0.4 ,-1.0, 1.8
"Santa Barbara County",06083,***,3.7 ,2.8, 5,10,stable,-0.4 ,-2.0, 1.3
"San Luis Obispo County",06079,***,3.6 ,2.5, 5.1,8,stable,0.8 ,-1.5, 3.3
"Alpine County",06003,***,* ,*, *,3 or fewer,*,*,*,*
"Amador County",06005,***,* ,*, *,3 or fewer,*,*,*,*
"Calaveras County",06009,***,* ,*, *,3 or fewer,*,*,*,*
"Colusa County",06011,***,* ,*, *,3 or fewer,*,*,*,*
"Del Norte County",06015,***,* ,*, *,3 or fewer,*,*,*,*
"Glenn County",06021,***,* ,*, *,3 or fewer,*,*,*,*
"Imperial County",06025,***,* ,*, *,3 or fewer,*,*,*,*
"Inyo County",06027,***,* ,*, *,3 or fewer,*,*,*,*
"Kings County",06031,***,* ,*, *,3 or fewer,*,*,*,*
"Lake County",06033,***,* ,*, *,3 or fewer,*,*,*,*
"Lassen County",06035,***,* ,*, *,3 or fewer,*,*,*,*
"Mariposa County",06043,***,* ,*, *,3 or fewer,*,*,*,*
"Mendocino County",06045,***,* ,*, *,3 or fewer,*,*,*,*
"Modoc County",06049,***,* ,*, *,3 or fewer,*,*,*,*
"Mono County",06051,***,* ,*, *,3 or fewer,*,*,*,*
"Napa County",06055,***,* ,*, *,3 or fewer,*,*,*,*
"Nevada County",06057,***,* ,*, *,3 or fewer,*,*,*,*
"Plumas County",06063,***,* ,*, *,3 or fewer,*,*,*,*
"San Benito County",06069,***,* ,*, *,3 or fewer,*,*,*,*
"Sierra County",06091,***,* ,*, *,3 or fewer,*,*,*,*
"Siskiyou County",06093,***,* ,*, *,3 or fewer,*,*,*,*
"Sutter County",06101,***,* ,*, *,3 or fewer,*,*,*,*
"Tehama County",06103,***,* ,*, *,3 or fewer,*,*,*,*
"Trinity County",06105,***,* ,*, *,3 or fewer,*,*,*,*
"Tuolumne County",06109,***,* ,*, *,3 or fewer,*,*,*,*
"Yuba County",06115,***,* ,*, *,3 or fewer,*,*,*,*

Created by statecancerprofiles.cancer.gov on 03/29/2020 6:15 pm.

*** No Healthy People 2020 Objective for this cancer.
State Cancer Registries may provide more current or more local data.


Trend
   Rising when 95% confidence interval of average annual percent change is above 0.
   Stable when 95% confidence interval of average annual percent change includes 0.
   Falling when 95% confidence interval of average annual percent change is below 0.

