------------
DL METADATA
 > URL: https://www.statecancerprofiles.cancer.gov/deathrates/index.php?stateFIPS=06&areatype=county&cancer=017&race=00&sex=0&age=001&type=death&sortVariableName=rate&sortOrder=desc&output=1
 > Details: {'stateFIPS': '06', 'areatype': 'county', 'cancer': '017', 'race': '00', 'sex': '0', 'age': '001', 'type': 'death', 'file_name': 'deathrates_008.csv', 'source_url': 'https://www.statecancerprofiles.cancer.gov/deathrates/index.php?stateFIPS=06&areatype=county&cancer=017&race=00&sex=0&age=001&type=death&sortVariableName=rate&sortOrder=desc&output=1'}
------------
Death Rate Report for California by County

"Esophagus, 2012-2016"

"All Races (includes Hispanic), Both Sexes, All Ages"

Sorted by Rate

County, FIPS,Met Healthy People Objective of ***?,"Age-Adjusted Death Rate(†) - deaths per 100,000","Lower 95% Confidence Interval","Upper 95% Confidence Interval",Average Annual Count,Recent Trend,"Recent 5-Year Trend (‡) in Death Rates","Lower 95% Confidence Interval","Upper 95% Confidence Interval"
"California",06000,***,3.3 ,3.2, 3.3,1326,falling,-1.4 ,-1.7, -1.1
"United States",00000,***,4 ,4, 4,14989,falling,-1.0 ,-1.1, -0.8
"Lake County",06033,***,6.6 ,4.5, 9.5,7,*,*,*,*
"Amador County",06005,***,6.5 ,3.9, 10.7,4,*,*,*,*
"Calaveras County",06009,***,6 ,3.9, 9.3,5,*,*,*,*
"Yuba County",06115,***,5.8 ,3.4, 9.1,4,stable,0.2 ,-2.2, 2.6
"Shasta County",06089,***,5.8 ,4.5, 7.3,15,stable,1.4 ,-0.2, 3.0
"Siskiyou County",06093,***,5.7 ,3.5, 9.1,4,*,*,*,*
"Butte County",06007,***,5.6 ,4.4, 7,16,rising,1.9 ,0.5, 3.3
"Humboldt County",06023,***,5.4 ,3.9, 7.3,9,stable,-0.2 ,-2.3, 1.9
"Tuolumne County",06109,***,5.2 ,3.2, 8.1,5,*,*,*,*
"Nevada County",06057,***,5.1 ,3.7, 7,9,stable,-1.1 ,-3.2, 1.0
"Tehama County",06103,***,5 ,3.1, 7.7,4,stable,-0.4 ,-2.6, 1.8
"Placer County",06061,***,4.5 ,3.7, 5.4,22,stable,0.4 ,-0.6, 1.5
"El Dorado County",06017,***,4.1 ,3.1, 5.5,11,stable,-1.2 ,-3.0, 0.7
"Stanislaus County",06099,***,4 ,3.3, 4.9,21,stable,-8.8 ,-21.0, 5.5
"San Luis Obispo County",06079,***,4 ,3.1, 5.1,15,stable,0.2 ,-1.6, 2.0
