------------
DL METADATA
 > URL: https://www.statecancerprofiles.cancer.gov/incidencerates/index.php?stateFIPS=22&areatype=county&cancer=090&race=00&sex=0&age=001&type=incd&sortVariableName=rate&sortOrder=desc&output=1
 > Details: {'stateFIPS': '22', 'areatype': 'county', 'cancer': '090', 'race': '00', 'sex': '0', 'age': '001', 'type': 'incd', 'file_name': 'incidencerates_011.csv', 'source_url': 'https://www.statecancerprofiles.cancer.gov/incidencerates/index.php?stateFIPS=22&areatype=county&cancer=090&race=00&sex=0&age=001&type=incd&sortVariableName=rate&sortOrder=desc&output=1'}
------------
Incidence Rate Report for Louisiana by Parish

"Leukemia (All Stages^), 2012-2016"

"All Races (includes Hispanic), Both Sexes, All Ages"

Sorted by Rate

Parish, FIPS,Met Healthy People Objective of ***?,"Age-Adjusted Incidence Rate(†) - cases per 100,000","Lower 95% Confidence Interval","Upper 95% Confidence Interval",Average Annual Count,Recent Trend,"Recent 5-Year Trend (‡) in Incidence Rates","Lower 95% Confidence Interval","Upper 95% Confidence Interval"
"Louisiana(7,8)",22000,***,14.2 ,13.7, 14.7,703,stable,0.6 ,0.0, 1.2
"US (SEER+NPCR)(1,10)",00000,***,14.1 ,14.1, 14.2,50013,stable,-2.1 ,-5.0, 0.9
"Concordia Parish(7)",22029,***,21.6 ,13.7, 32.5,5,*,*,*,*
"Bienville Parish(7)",22013,***,19.4 ,11, 32,3,*,*,*,*
"Washington Parish(7,8)",22117,***,18.2 ,13.4, 24.2,10,stable,-1.2 ,-4.8, 2.6
"Terrebonne Parish(7,8)",22109,***,18.1 ,14.6, 22,20,rising,3.7 ,1.3, 6.1
"Avoyelles Parish(7,8)",22009,***,17.3 ,12.3, 23.7,8,stable,-0.4 ,-3.8, 3.1
"Webster Parish(7,8)",22119,***,17.3 ,12.5, 23.4,9,stable,0.8 ,-3.6, 5.5
"East Feliciana Parish(7)",22037,***,17.2 ,10, 27.7,4,*,*,*,*
"Ouachita Parish(7,8)",22073,***,17 ,14.3, 20.2,28,stable,1.4 ,-1.1, 3.9
"Franklin Parish(7)",22041,***,16.7 ,10.1, 26.1,4,*,*,*,*
"St. Tammany Parish(7,8)",22103,***,16.5 ,14.4, 18.9,45,stable,1.1 ,-1.3, 3.5
"Acadia Parish(7,8)",22001,***,16.3 ,12.3, 21.3,11,stable,2.6 ,-1.3, 6.6
"Livingston Parish(7,8)",22063,***,16 ,12.9, 19.5,20,rising,7.0 ,2.3, 12.0
"Calcasieu Parish(7,8)",22019,***,16 ,13.6, 18.6,34,stable,0.9 ,-1.8, 3.6
"Rapides Parish(7,8)",22079,***,15.9 ,13.1, 19.1,24,stable,0.7 ,-1.3, 2.8
"Vermilion Parish(7,8)",22113,***,15.6 ,11.5, 20.6,10,stable,1.1 ,-1.9, 4.1
"Bossier Parish(7,8)",22015,***,15.2 ,12.3, 18.6,19,stable,-1.5 ,-3.5, 0.5
"Beauregard Parish(7,8)",22011,***,15.2 ,10.3, 21.8,6,stable,1.3 ,-4.6, 7.6
"Richland Parish(7)",22083,***,15.1 ,8.9, 24.2,4,*,*,*,*
"St. Landry Parish(7,8)",22097,***,15 ,11.5, 19.1,13,stable,0.5 ,-2.4, 3.5
"LaFourche Parish(7,8)",22057,***,14.9 ,11.8, 18.6,16,stable,3.0 ,-29.4, 50.1
"Allen Parish(7,8)",22003,***,14.8 ,9.1, 22.8,4,stable,1.5 ,-4.3, 7.7
"Plaquemines Parish(7)",22075,***,14.7 ,8.4, 23.9,3,*,*,*,*
"St. Mary Parish(7,8)",22101,***,14.7 ,10.5, 20,8,stable,1.7 ,-2.4, 6.0
"Sabine Parish(7,8)",22085,***,14.5 ,9, 22.3,5,stable,0.1 ,-4.0, 4.3
"Union Parish(7)",22111,***,14.4 ,8.9, 22.4,4,*,*,*,*
"Caddo Parish(7,8)",22017,***,14.4 ,12.5, 16.6,42,stable,-0.2 ,-1.4, 1.1
"East Baton Rouge Parish(7,8)",22033,***,14.3 ,12.8, 16.1,64,stable,0.7 ,-1.4, 2.8
"Vernon Parish(7,8)",22115,***,14.3 ,9.8, 20.2,7,stable,-3.8 ,-8.9, 1.7
"Morehouse Parish(7,8)",22067,***,14.1 ,9, 21.3,5,stable,1.7 ,-2.5, 6.1
"Evangeline Parish(7,8)",22039,***,13.8 ,9.1, 20.3,5,rising,11.9 ,2.2, 22.5
"Assumption Parish(7,8)",22007,***,13.8 ,7.8, 22.5,3,stable,-0.7 ,-7.2, 6.3
