------------
DL METADATA
 > URL: https://www.statecancerprofiles.cancer.gov/incidencerates/index.php?stateFIPS=22&areatype=county&cancer=020&race=00&sex=0&age=001&type=incd&sortVariableName=rate&sortOrder=desc&output=1
 > Details: {'stateFIPS': '22', 'areatype': 'county', 'cancer': '020', 'race': '00', 'sex': '0', 'age': '001', 'type': 'incd', 'file_name': 'incidencerates_008.csv', 'source_url': 'https://www.statecancerprofiles.cancer.gov/incidencerates/index.php?stateFIPS=22&areatype=county&cancer=020&race=00&sex=0&age=001&type=incd&sortVariableName=rate&sortOrder=desc&output=1'}
------------
Incidence Rate Report for Louisiana by Parish

"Colon & Rectum (All Stages^), 2012-2016"

"All Races (includes Hispanic), Both Sexes, All Ages"

Sorted by Rate

Parish, FIPS,Met Healthy People Objective of 39.9?,"Age-Adjusted Incidence Rate(†) - cases per 100,000","Lower 95% Confidence Interval","Upper 95% Confidence Interval",Average Annual Count,Recent Trend,"Recent 5-Year Trend (‡) in Incidence Rates","Lower 95% Confidence Interval","Upper 95% Confidence Interval"
"Louisiana(7,8)",22000,No,45.8 ,45, 46.7,2364,falling,-2.0 ,-2.2, -1.8
"US (SEER+NPCR)(1,10)",00000,Yes,38.7 ,38.6, 38.8,140982,falling,-1.3 ,-2.1, -0.6
"East Carroll Parish(7,8)",22035,No,75.9 ,51.1, 108.8,6,stable,1.4 ,-2.1, 5.1
"St. Landry Parish(7,8)",22097,No,69.5 ,62, 77.6,67,stable,1.0 ,-0.7, 2.7
"Evangeline Parish(7,8)",22039,No,66.1 ,54.7, 79.2,24,stable,0.5 ,-1.8, 2.8
"East Feliciana Parish(7,8)",22037,No,65.6 ,51.7, 82.4,16,stable,0.9 ,-2.3, 4.1
"Morehouse Parish(7,8)",22067,No,61 ,49.3, 74.7,21,stable,-1.3 ,-4.5, 1.9
"Winn Parish(7,8)",22127,No,59.3 ,44.3, 78,11,stable,-1.8 ,-4.8, 1.3
"Assumption Parish(7,8)",22007,No,59.1 ,46.6, 74,16,stable,-0.8 ,-3.1, 1.6
"Allen Parish(7,8)",22003,No,57.2 ,45.5, 71,17,stable,0.5 ,-1.8, 2.9
"St. Martin Parish(7,8)",22099,No,57.1 ,48.6, 66.8,33,stable,0.2 ,-1.7, 2.2
"Avoyelles Parish(7,8)",22009,No,56.3 ,47.3, 66.7,28,stable,-2.1 ,-4.2, 0.0
"De Soto Parish(7,8)",22031,No,55.7 ,44.5, 69,18,stable,14.6 ,-5.3, 38.5
"Acadia Parish(7,8)",22001,No,55.7 ,48, 64.3,39,falling,-1.6 ,-2.8, -0.4
"Catahoula Parish(7,8)",22025,No,55.5 ,37.6, 79.1,7,stable,-1.5 ,-5.3, 2.5
"Franklin Parish(7,8)",22041,No,55.2 ,43, 70,15,stable,0.5 ,-1.9, 2.9
"Madison Parish(7,8)",22065,No,54.8 ,37.7, 77,7,stable,1.9 ,-2.7, 6.8
"Jefferson Davis Parish(7,8)",22053,No,53.9 ,43.6, 66,20,stable,0.5 ,-1.7, 2.7
"West Carroll Parish(7,8)",22123,No,53.4 ,37.3, 74.4,8,stable,0.8 ,-2.5, 4.3
"La Salle Parish(7,8)",22059,No,51.9 ,37.8, 69.6,9,stable,-2.0 ,-5.1, 1.3
"Terrebonne Parish(7,8)",22109,No,51.1 ,45.4, 57.2,62,falling,-1.7 ,-2.9, -0.4
"St. Mary Parish(7,8)",22101,No,50.9 ,43.2, 59.7,32,falling,-2.2 ,-3.9, -0.5
"Iberia Parish(7,8)",22045,No,50.9 ,44, 58.5,41,stable,-0.5 ,-2.4, 1.4
"St. Bernard Parish(7,8)",22087,No,50.8 ,40.8, 62.4,19,stable,-1.6 ,-4.4, 1.3
"Natchitoches Parish(7,8)",22069,No,50.6 ,41.3, 61.5,22,stable,-0.9 ,-3.0, 1.3
"Rapides Parish(7,8)",22079,No,50.3 ,45.3, 55.7,76,falling,-2.3 ,-3.6, -1.0
"Vermilion Parish(7,8)",22113,No,50.3 ,42.9, 58.5,34,stable,-0.9 ,-2.5, 0.8
"Caldwell Parish(7,8)",22021,No,50.2 ,33.7, 72.3,6,stable,-2.1 ,-5.5, 1.4
"Calcasieu Parish(7,8)",22019,No,49.6 ,45.4, 54,109,falling,-1.4 ,-2.4, -0.4
"Iberville Parish(7,8)",22047,No,49.6 ,39.8, 61,19,falling,-21.9 ,-36.7, -3.5
"Lafayette Parish(7,8)",22055,No,49.6 ,45.5, 53.8,117,falling,-1.5 ,-2.6, -0.3
"Jackson Parish(7,8)",22049,No,49 ,36.1, 65.4,10,stable,-1.4 ,-3.4, 0.7
"Vernon Parish(7,8)",22115,No,49 ,40.1, 59.2,22,stable,0.9 ,-4.0, 6.0
"Pointe Coupee Parish(7,8)",22077,No,48.6 ,37.7, 61.9,14,stable,-1.6 ,-3.9, 0.7
"Claiborne Parish(7,8)",22027,No,47 ,34.7, 62.5,10,stable,-2.1 ,-5.4, 1.4
"Cameron Parish(7)",22023,No,46.9 ,28.3, 74.1,4,*,*,*,*
"Washington Parish(7,8)",22117,No,46.9 ,39.1, 55.8,27,falling,-2.7 ,-5.0, -0.2
"Tensas Parish(7)",22107,No,46.8 ,26.4, 78.9,3,*,*,*,*
"Ouachita Parish(7,8)",22073,No,46.4 ,41.8, 51.3,78,stable,-1.5 ,-3.0, 0.0
"St. James Parish(7,8)",22093,No,46.4 ,34.8, 60.6,12,stable,-2.5 ,-5.4, 0.6
"Caddo Parish(7,8)",22017,No,46.3 ,42.8, 50,134,falling,-2.2 ,-3.2, -1.2
"Webster Parish(7,8)",22119,No,46.1 ,38.3, 55.2,26,falling,-3.7 ,-5.7, -1.6
"Concordia Parish(7,8)",22029,No,45.5 ,33.8, 60,11,stable,0.0 ,-3.7, 3.9
"Richland Parish(7,8)",22083,No,45 ,33.3, 59.4,11,stable,-0.3 ,-4.3, 3.8
"LaFourche Parish(7,8)",22057,No,44.5 ,39, 50.6,49,stable,-0.5 ,-2.2, 1.2
"St. Tammany Parish(7,8)",22103,No,43.1 ,39.7, 46.7,123,falling,-2.9 ,-3.7, -2.0
"St. John the Baptist Parish(7,8)",22095,No,42.7 ,34.6, 52.2,21,falling,-2.3 ,-4.2, -0.4
"West Baton Rouge Parish(7,8)",22121,No,42.6 ,32.2, 55.4,12,falling,-4.4 ,-7.8, -1.0
