------------
DL METADATA
 > URL: https://www.statecancerprofiles.cancer.gov/incidencerates/index.php?stateFIPS=22&areatype=county&cancer=001&race=05&sex=0&age=001&type=incd&sortVariableName=rate&sortOrder=desc&output=1
 > Details: {'stateFIPS': '22', 'areatype': 'county', 'cancer': '001', 'race': '05', 'sex': '0', 'age': '001', 'type': 'incd', 'file_name': 'incidencerates_028.csv', 'source_url': 'https://www.statecancerprofiles.cancer.gov/incidencerates/index.php?stateFIPS=22&areatype=county&cancer=001&race=05&sex=0&age=001&type=incd&sortVariableName=rate&sortOrder=desc&output=1'}
------------
Incidence Rate Report for Louisiana by Parish

"All Cancer Sites (All Stages^), 2012-2016"

"Hispanic (any race), Both Sexes, All Ages"

Sorted by Rate

Parish, FIPS,Met Healthy People Objective of ***?,"Age-Adjusted Incidence Rate(†) - cases per 100,000","Lower 95% Confidence Interval","Upper 95% Confidence Interval",Average Annual Count,Recent Trend,"Recent 5-Year Trend (‡) in Incidence Rates","Lower 95% Confidence Interval","Upper 95% Confidence Interval"
"Louisiana(7,8)",22000,***,313.4 ,300.4, 326.9,473,falling,-2.1 ,-2.8, -1.3
"US (SEER+NPCR) &sect; (1,10)",00000,***,346.5 ,345.6, 347.4,127249,falling,-1.2 ,-2.2, -0.2
"St. Mary Parish(7,8)",22101,***,569.8 ,413.2, 760.6,11,stable,-2.3 ,-5.7, 1.3
"St. Charles Parish(7,8)",22089,***,467 ,328.7, 638.9,8,stable,-1.4 ,-6.2, 3.7
"St. Bernard Parish(7,8)",22087,***,444.7 ,352, 553.6,16,falling,-3.4 ,-6.0, -0.8
"Orleans Parish(7,8)",22071,***,414.1 ,368.5, 463.6,64,stable,-1.3 ,-2.7, 0.2
"Vernon Parish(7)",22115,***,413.2 ,279.4, 583.9,8,*,*,*,*
"Jefferson Parish(7,8)",22051,***,386.1 ,361.3, 412.1,188,falling,-1.7 ,-2.8, -0.6
"Bossier Parish(7,8)",22015,***,350.3 ,264.9, 452.2,14,falling,-3.5 ,-6.7, -0.3
"Lafayette Parish(7,8)",22055,***,339 ,267.2, 422.2,18,stable,2.2 ,-3.0, 7.7
"St. Landry Parish(7)",22097,***,330.4 ,190.1, 527,3,*,*,*,*
"Livingston Parish(7)",22063,***,305.3 ,211.4, 423.6,8,*,*,*,*
"Terrebonne Parish(7,8)",22109,***,291.6 ,194.3, 415.6,8,stable,-1.5 ,-6.6, 3.8
"East Baton Rouge Parish(7,8)",22033,***,263.3 ,216.7, 316.1,26,stable,-1.6 ,-4.2, 0.9
"Tangipahoa Parish(7)",22105,***,250.1 ,163, 362.5,6,*,*,*,*
"LaFourche Parish(7)",22057,***,244 ,155.8, 360.5,6,*,*,*,*
"Ascension Parish(7,8)",22005,***,243.3 ,162, 347.1,7,stable,1.4 ,-3.3, 6.4
"Calcasieu Parish(7,8)",22019,***,227.2 ,161.5, 309,9,stable,-3.0 ,-6.3, 0.4
"St. Tammany Parish(7,8)",22103,***,227.2 ,185.8, 274.7,23,falling,-4.2 ,-7.4, -0.8
