------------
DL METADATA
 > URL: https://www.statecancerprofiles.cancer.gov/incidencerates/index.php?stateFIPS=22&areatype=county&cancer=053&race=00&sex=0&age=001&type=incd&sortVariableName=rate&sortOrder=desc&output=1
 > Details: {'stateFIPS': '22', 'areatype': 'county', 'cancer': '053', 'race': '00', 'sex': '0', 'age': '001', 'type': 'incd', 'file_name': 'incidencerates_014.csv', 'source_url': 'https://www.statecancerprofiles.cancer.gov/incidencerates/index.php?stateFIPS=22&areatype=county&cancer=053&race=00&sex=0&age=001&type=incd&sortVariableName=rate&sortOrder=desc&output=1'}
------------
Incidence Rate Report for Louisiana by Parish

"Melanoma of the Skin (All Stages^), 2012-2016"

"All Races (includes Hispanic), Both Sexes, All Ages"

Sorted by Rate

Parish, FIPS,Met Healthy People Objective of ***?,"Age-Adjusted Incidence Rate(†) - cases per 100,000","Lower 95% Confidence Interval","Upper 95% Confidence Interval",Average Annual Count,Recent Trend,"Recent 5-Year Trend (‡) in Incidence Rates","Lower 95% Confidence Interval","Upper 95% Confidence Interval"
"Louisiana(7,8)",22000,***,17.3 ,16.8, 17.8,861,rising,3.5 ,2.7, 4.3
"US (SEER+NPCR)(1,10)",00000,***,21.8 ,21.7, 21.8,77698,rising,2.2 ,0.3, 4.1
"Catahoula Parish(7)",22025,***,30.1 ,17.1, 49.3,3,*,*,*,*
"St. Tammany Parish(7,8)",22103,***,28.6 ,25.8, 31.6,80,rising,4.0 ,2.2, 5.8
"Livingston Parish(7,8)",22063,***,27.3 ,23.5, 31.6,38,rising,3.4 ,0.8, 5.9
"Winn Parish(7)",22127,***,27.1 ,17, 41.3,5,*,*,*,*
"West Carroll Parish(7)",22123,***,25.3 ,14.4, 41.4,3,*,*,*,*
"East Feliciana Parish(7)",22037,***,23.7 ,15.4, 35,5,*,*,*,*
"Ouachita Parish(7,8)",22073,***,23.6 ,20.3, 27.3,38,stable,1.7 ,-0.6, 4.1
"Ascension Parish(7,8)",22005,***,23.2 ,19.1, 27.9,25,rising,4.1 ,1.0, 7.3
"St. Charles Parish(7,8)",22089,***,22.3 ,16.8, 29,12,rising,4.6 ,0.9, 8.4
"West Baton Rouge Parish(7)",22121,***,22.3 ,14.8, 32.2,6,*,*,*,*
"East Baton Rouge Parish(7,8)",22033,***,21.5 ,19.6, 23.6,96,rising,4.1 ,2.7, 5.6
"La Salle Parish(7)",22059,***,21.3 ,12.5, 34,4,*,*,*,*
"Grant Parish(7,8)",22043,***,20.9 ,13.3, 31.3,5,stable,3.1 ,-1.1, 7.4
"Richland Parish(7)",22083,***,20.6 ,13.2, 30.8,5,*,*,*,*
"Union Parish(7,8)",22111,***,20.5 ,13.8, 29.6,6,stable,-0.5 ,-6.4, 5.7
"De Soto Parish(7,8)",22031,***,20.5 ,13.6, 29.6,6,stable,3.6 ,-2.0, 9.5
"Vernon Parish(7,8)",22115,***,20.3 ,14.8, 27.2,9,stable,5.2 ,-0.2, 10.8
"Vermilion Parish(7,8)",22113,***,19.8 ,15.1, 25.5,12,stable,2.9 ,-1.3, 7.3
"Plaquemines Parish(7)",22075,***,18.8 ,11.8, 28.4,5,*,*,*,*
"Bossier Parish(7,8)",22015,***,18.7 ,15.4, 22.4,23,stable,0.9 ,-1.9, 3.7
"Terrebonne Parish(7,8)",22109,***,18.6 ,15.1, 22.7,20,rising,5.7 ,1.7, 9.9
"Washington Parish(7,8)",22117,***,18.6 ,13.8, 24.6,11,stable,2.8 ,-0.3, 6.0
"Morehouse Parish(7,8)",22067,***,18.1 ,12.2, 26.1,6,stable,2.6 ,-1.2, 6.5
"Beauregard Parish(7)",22011,***,17.8 ,12.4, 24.9,7,*,*,*,*
"Pointe Coupee Parish(7)",22077,***,17.6 ,11, 26.7,5,*,*,*,*
"Natchitoches Parish(7,8)",22069,***,17.3 ,11.8, 24.4,7,rising,5.7 ,1.0, 10.7
"Rapides Parish(7,8)",22079,***,17 ,14, 20.4,24,rising,4.0 ,1.5, 6.5
"Tangipahoa Parish(7,8)",22105,***,16.9 ,13.7, 20.5,21,stable,2.8 ,-0.5, 6.2
"Acadia Parish(7)",22001,***,16.6 ,12.4, 21.8,11,*,*,*,*
"Iberia Parish(7,8)",22045,***,16.1 ,12.3, 20.8,12,stable,3.8 ,-2.4, 10.3
"Lafayette Parish(7,8)",22055,***,15.7 ,13.4, 18.2,37,stable,1.0 ,-1.1, 3.1
"Jefferson Parish(7,8)",22051,***,15.2 ,13.7, 16.9,78,rising,3.0 ,0.3, 5.8
"Calcasieu Parish(7,8)",22019,***,14.9 ,12.7, 17.5,32,stable,0.8 ,-1.6, 3.3
"Assumption Parish(7)",22007,***,14.4 ,8.6, 22.9,4,*,*,*,*
"Webster Parish(7,8)",22119,***,14.3 ,10, 20.1,7,stable,-1.9 ,-5.4, 1.7
"St. Landry Parish(7,8)",22097,***,14.2 ,10.8, 18.3,13,rising,4.6 ,0.7, 8.8
"Jefferson Davis Parish(7,8)",22053,***,14.1 ,8.9, 21.3,5,stable,0.4 ,-5.9, 7.1
"LaFourche Parish(7,8)",22057,***,13.7 ,10.7, 17.3,15,rising,4.9 ,0.6, 9.4
