------------
DL METADATA
 > URL: https://www.statecancerprofiles.cancer.gov/incidencerates/index.php?stateFIPS=22&areatype=county&cancer=058&race=00&sex=2&age=001&type=incd&sortVariableName=rate&sortOrder=desc&output=1
 > Details: {'stateFIPS': '22', 'areatype': 'county', 'cancer': '058', 'race': '00', 'sex': '2', 'age': '001', 'type': 'incd', 'file_name': 'incidencerates_022.csv', 'source_url': 'https://www.statecancerprofiles.cancer.gov/incidencerates/index.php?stateFIPS=22&areatype=county&cancer=058&race=00&sex=2&age=001&type=incd&sortVariableName=rate&sortOrder=desc&output=1'}
------------
Incidence Rate Report for Louisiana by Parish

"Uterus (Corpus & Uterus, NOS) (All Stages^), 2012-2016"

"All Races (includes Hispanic), Female, All Ages"

Sorted by Rate

Parish, FIPS,Met Healthy People Objective of ***?,"Age-Adjusted Incidence Rate(†) - cases per 100,000","Lower 95% Confidence Interval","Upper 95% Confidence Interval",Average Annual Count,Recent Trend,"Recent 5-Year Trend (‡) in Incidence Rates","Lower 95% Confidence Interval","Upper 95% Confidence Interval"
"Louisiana(7,8)",22000,***,20 ,19.2, 20.8,568,rising,1.2 ,0.5, 1.8
"US (SEER+NPCR)(1,10)",00000,***,26.6 ,26.5, 26.7,53371,rising,1.4 ,1.0, 1.9
"St. Mary Parish(7,8)",22101,***,26.2 ,18.4, 36.1,8,stable,1.8 ,-1.8, 5.5
"Jackson Parish(7)",22049,***,26.2 ,14.8, 44.3,3,*,*,*,*
"Jefferson Davis Parish(7,8)",22053,***,26.2 ,17, 38.7,5,stable,3.4 ,-0.9, 7.8
"St. Martin Parish(7,8)",22099,***,26.1 ,18.4, 35.9,8,stable,-0.4 ,-4.5, 3.7
"Sabine Parish(7)",22085,***,25.6 ,15.2, 40.8,4,*,*,*,*
"West Baton Rouge Parish(7)",22121,***,25.4 ,15.1, 40.3,4,*,*,*,*
"Webster Parish(7,8)",22119,***,24.5 ,16.7, 35,7,rising,6.1 ,0.9, 11.6
"Caddo Parish(7,8)",22017,***,23.9 ,20.6, 27.6,40,stable,1.7 ,-0.1, 3.4
"St. John the Baptist Parish(7)",22095,***,23.8 ,16, 34.2,6,*,*,*,*
"Beauregard Parish(7,8)",22011,***,22.3 ,14.1, 33.7,5,stable,0.5 ,-3.1, 4.3
"Vernon Parish(7)",22115,***,22 ,14.4, 32.2,5,*,*,*,*
"Jefferson Parish(7,8)",22051,***,22 ,19.6, 24.7,64,rising,2.4 ,1.0, 3.9
"Washington Parish(7,8)",22117,***,21.8 ,14.9, 31.2,7,stable,3.1 ,-0.8, 7.2
"Assumption Parish(7)",22007,***,21.8 ,12.4, 36.1,3,*,*,*,*
"Evangeline Parish(7)",22039,***,21.1 ,13.1, 32.5,4,*,*,*,*
"Terrebonne Parish(7,8)",22109,***,21.1 ,16.2, 27.1,13,stable,2.0 ,-1.7, 5.9
"Orleans Parish(7,8)",22071,***,21.1 ,18.4, 24,49,rising,2.5 ,0.8, 4.2
"Union Parish(7)",22111,***,20.9 ,11.8, 34.8,3,*,*,*,*
"Lafayette Parish(7,8)",22055,***,20.5 ,17.1, 24.4,27,stable,1.2 ,-1.0, 3.5
"Lincoln Parish(7,8)",22061,***,20.5 ,13, 30.8,5,stable,-2.2 ,-5.6, 1.3
"St. Landry Parish(7,8)",22097,***,20.4 ,15.1, 27,11,stable,4.1 ,-0.3, 8.6
"Tangipahoa Parish(7,8)",22105,***,20.2 ,15.8, 25.5,15,stable,2.0 ,-0.4, 4.5
"St. Charles Parish(7)",22089,***,20 ,13.5, 28.7,6,*,*,*,*
"Livingston Parish(7,8)",22063,***,19.9 ,15.5, 25.1,15,stable,1.0 ,-1.5, 3.7
"Calcasieu Parish(7,8)",22019,***,19.7 ,16.2, 23.8,23,stable,1.2 ,-0.8, 3.2
"De Soto Parish(7)",22031,***,19.6 ,11.4, 31.9,4,*,*,*,*
"St. Bernard Parish(7,8)",22087,***,19.3 ,11.9, 29.6,4,stable,-0.2 ,-2.7, 2.5
"Iberia Parish(7,8)",22045,***,19.1 ,13.6, 26.1,8,stable,0.4 ,-1.9, 2.7
"East Baton Rouge Parish(7,8)",22033,***,18.8 ,16.5, 21.4,49,stable,0.7 ,-1.4, 2.7
"Ouachita Parish(7,8)",22073,***,18.6 ,14.8, 23,18,stable,-0.5 ,-2.5, 1.7
"St. Tammany Parish(7,8)",22103,***,17.7 ,14.9, 21,29,stable,0.2 ,-2.1, 2.5
"Natchitoches Parish(7,8)",22069,***,17.7 ,11.1, 27.1,5,stable,-2.3 ,-6.2, 1.7
"LaFourche Parish(7,8)",22057,***,17.6 ,13, 23.3,10,stable,-0.4 ,-3.0, 2.2
"Rapides Parish(7,8)",22079,***,17.6 ,13.7, 22.2,15,stable,1.1 ,-1.2, 3.5
"Ascension Parish(7)",22005,***,17 ,12.6, 22.3,11,*,*,*,*
"Bossier Parish(7,8)",22015,***,16.2 ,12.3, 21.1,12,stable,-0.4 ,-4.3, 3.7
"Vermilion Parish(7,8)",22113,***,16.1 ,10.6, 23.5,6,stable,-0.2 ,-4.5, 4.3
"Avoyelles Parish(7)",22009,***,15.6 ,9.3, 24.6,4,*,*,*,*
"Iberville Parish(7,8)",22047,***,14.9 ,8.4, 24.9,3,stable,-1.7 ,-6.0, 2.9
"Acadia Parish(7,8)",22001,***,14.7 ,9.7, 21.3,6,stable,-2.8 ,-6.0, 0.6
"Allen Parish(7)",22003,***,* ,*, *,3 or fewer,*,*,*,*
"Bienville Parish(7)",22013,***,* ,*, *,3 or fewer,*,*,*,*
"Caldwell Parish(7)",22021,***,* ,*, *,3 or fewer,*,*,*,*
"Cameron Parish(7)",22023,***,* ,*, *,3 or fewer,*,*,*,*
"Catahoula Parish(7)",22025,***,* ,*, *,3 or fewer,*,*,*,*
