------------
DL METADATA
 > URL: https://www.statecancerprofiles.cancer.gov/incidencerates/index.php?stateFIPS=22&areatype=county&cancer=076&stage=211&race=00&sex=0&age=001&type=incd&sortVariableName=rate&sortOrder=desc&output=1
 > Details: {'stateFIPS': '22', 'areatype': 'county', 'cancer': '076', 'stage': '211', 'race': '00', 'sex': '0', 'age': '001', 'type': 'incd', 'file_name': 'incidencerates_041.csv', 'source_url': 'https://www.statecancerprofiles.cancer.gov/incidencerates/index.php?stateFIPS=22&areatype=county&cancer=076&stage=211&race=00&sex=0&age=001&type=incd&sortVariableName=rate&sortOrder=desc&output=1'}
------------
Incidence Rate Report for Louisiana by Parish

"Brain & ONS (Late Stage^), 2012-2016"

"All Races (includes Hispanic), Both Sexes, All Ages"

Sorted by Rate

Parish, FIPS,Met Healthy People Objective of ***?,"Age-Adjusted Incidence Rate(†) - cases per 100,000","Lower 95% Confidence Interval","Upper 95% Confidence Interval",Average Annual Count,Percent of Cases with Late Stage
"Louisiana(3)",22000,***,0.8 ,0.7, 1,41,13.8
"US (SEER+NPCR)(1)",00000,***,1 ,1, 1,3410,15.2
"Caddo Parish(7)",22017,***,1.7 ,1.1, 2.6,5,27.1
"East Baton Rouge Parish(7)",22033,***,1 ,0.6, 1.5,4,15.0
"Acadia Parish(7)",22001,***,* ,*, *,3 or fewer,*
"Allen Parish(7)",22003,***,* ,*, *,3 or fewer,*
"Ascension Parish(7)",22005,***,* ,*, *,3 or fewer,*
"Assumption Parish(7)",22007,***,* ,*, *,3 or fewer,*
"Avoyelles Parish(7)",22009,***,* ,*, *,3 or fewer,*
"Beauregard Parish(7)",22011,***,* ,*, *,3 or fewer,*
"Bienville Parish(7)",22013,***,* ,*, *,3 or fewer,*
"Bossier Parish(7)",22015,***,* ,*, *,3 or fewer,*
"Calcasieu Parish(7)",22019,***,* ,*, *,3 or fewer,*
"Caldwell Parish(7)",22021,***,* ,*, *,3 or fewer,*
"Cameron Parish(7)",22023,***,* ,*, *,3 or fewer,*
"Catahoula Parish(7)",22025,***,* ,*, *,3 or fewer,*
"Claiborne Parish(7)",22027,***,* ,*, *,3 or fewer,*
"Concordia Parish(7)",22029,***,* ,*, *,3 or fewer,*
"De Soto Parish(7)",22031,***,* ,*, *,3 or fewer,*
"East Carroll Parish(7)",22035,***,* ,*, *,3 or fewer,*
"East Feliciana Parish(7)",22037,***,* ,*, *,3 or fewer,*
"Evangeline Parish(7)",22039,***,* ,*, *,3 or fewer,*
"Franklin Parish(7)",22041,***,* ,*, *,3 or fewer,*
"Grant Parish(7)",22043,***,* ,*, *,3 or fewer,*
"Iberia Parish(7)",22045,***,* ,*, *,3 or fewer,*
"Iberville Parish(7)",22047,***,* ,*, *,3 or fewer,*
"Jackson Parish(7)",22049,***,* ,*, *,3 or fewer,*
"Jefferson Davis Parish(7)",22053,***,* ,*, *,3 or fewer,*
"Jefferson Parish(7)",22051,***,* ,*, *,3 or fewer,*
"La Salle Parish(7)",22059,***,* ,*, *,3 or fewer,*
"LaFourche Parish(7)",22057,***,* ,*, *,3 or fewer,*
"Lafayette Parish(7)",22055,***,* ,*, *,3 or fewer,*
"Lincoln Parish(7)",22061,***,* ,*, *,3 or fewer,*
"Livingston Parish(7)",22063,***,* ,*, *,3 or fewer,*
"Madison Parish(7)",22065,***,* ,*, *,3 or fewer,*
"Morehouse Parish(7)",22067,***,* ,*, *,3 or fewer,*
"Natchitoches Parish(7)",22069,***,* ,*, *,3 or fewer,*
"Orleans Parish(7)",22071,***,* ,*, *,3 or fewer,*
"Ouachita Parish(7)",22073,***,* ,*, *,3 or fewer,*
"Plaquemines Parish(7)",22075,***,* ,*, *,3 or fewer,*
"Pointe Coupee Parish(7)",22077,***,* ,*, *,3 or fewer,*
"Rapides Parish(7)",22079,***,* ,*, *,3 or fewer,*
"Red River Parish(7)",22081,***,* ,*, *,3 or fewer,*
"Richland Parish(7)",22083,***,* ,*, *,3 or fewer,*
"Sabine Parish(7)",22085,***,* ,*, *,3 or fewer,*
"St. Bernard Parish(7)",22087,***,* ,*, *,3 or fewer,*
"St. Charles Parish(7)",22089,***,* ,*, *,3 or fewer,*
"St. Helena Parish(7)",22091,***,* ,*, *,3 or fewer,*
"St. James Parish(7)",22093,***,* ,*, *,3 or fewer,*
"St. John the Baptist Parish(7)",22095,***,* ,*, *,3 or fewer,*
"St. Landry Parish(7)",22097,***,* ,*, *,3 or fewer,*
"St. Martin Parish(7)",22099,***,* ,*, *,3 or fewer,*
"St. Mary Parish(7)",22101,***,* ,*, *,3 or fewer,*
"St. Tammany Parish(7)",22103,***,* ,*, *,3 or fewer,*
"Tangipahoa Parish(7)",22105,***,* ,*, *,3 or fewer,*
"Tensas Parish(7)",22107,***,* ,*, *,3 or fewer,*
"Terrebonne Parish(7)",22109,***,* ,*, *,3 or fewer,*
"Union Parish(7)",22111,***,* ,*, *,3 or fewer,*
"Vermilion Parish(7)",22113,***,* ,*, *,3 or fewer,*
"Vernon Parish(7)",22115,***,* ,*, *,3 or fewer,*
"Washington Parish(7)",22117,***,* ,*, *,3 or fewer,*
"Webster Parish(7)",22119,***,* ,*, *,3 or fewer,*
"West Baton Rouge Parish(7)",22121,***,* ,*, *,3 or fewer,*
"West Carroll Parish(7)",22123,***,* ,*, *,3 or fewer,*
"West Feliciana Parish(7)",22125,***,* ,*, *,3 or fewer,*
"Winn Parish(7)",22127,***,* ,*, *,3 or fewer,*

Created by statecancerprofiles.cancer.gov on 03/29/2020 6:18 pm.

*** No Healthy People 2020 Objective for this cancer.

State Cancer Registries may provide more current or more local data.
