------------
DL METADATA
 > URL: https://www.statecancerprofiles.cancer.gov/incidencerates/index.php?stateFIPS=22&areatype=county&cancer=003&race=00&sex=0&age=001&type=incd&sortVariableName=rate&sortOrder=desc&output=1
 > Details: {'stateFIPS': '22', 'areatype': 'county', 'cancer': '003', 'race': '00', 'sex': '0', 'age': '001', 'type': 'incd', 'file_name': 'incidencerates_016.csv', 'source_url': 'https://www.statecancerprofiles.cancer.gov/incidencerates/index.php?stateFIPS=22&areatype=county&cancer=003&race=00&sex=0&age=001&type=incd&sortVariableName=rate&sortOrder=desc&output=1'}
------------
Incidence Rate Report for Louisiana by Parish

"Oral Cavity & Pharynx (All Stages^), 2012-2016"

"All Races (includes Hispanic), Both Sexes, All Ages"

Sorted by Rate

Parish, FIPS,Met Healthy People Objective of ***?,"Age-Adjusted Incidence Rate(†) - cases per 100,000","Lower 95% Confidence Interval","Upper 95% Confidence Interval",Average Annual Count,Recent Trend,"Recent 5-Year Trend (‡) in Incidence Rates","Lower 95% Confidence Interval","Upper 95% Confidence Interval"
"Louisiana(7,8)",22000,***,13 ,12.6, 13.5,691,rising,0.8 ,0.4, 1.2
"US (SEER+NPCR)(1,10)",00000,***,11.7 ,11.7, 11.8,43864,stable,0.5 ,-0.7, 1.6
"Washington Parish(7,8)",22117,***,21.6 ,16.5, 27.9,13,rising,5.1 ,0.8, 9.6
"Bienville Parish(7)",22013,***,20.4 ,12.3, 32.3,4,*,*,*,*
"Concordia Parish(7,8)",22029,***,19.1 ,12, 29,5,stable,4.1 ,-2.2, 10.8
"St. Bernard Parish(7,8)",22087,***,18.3 ,12.7, 25.4,8,rising,3.8 ,0.4, 7.3
"Morehouse Parish(7)",22067,***,17.5 ,11.4, 25.7,6,*,*,*,*
"Vernon Parish(7,8)",22115,***,17.2 ,12.1, 23.8,7,stable,-1.2 ,-4.4, 2.0
"Grant Parish(7,8)",22043,***,17.1 ,10.4, 26.6,4,rising,10.6 ,1.6, 20.4
"Pointe Coupee Parish(7,8)",22077,***,16.5 ,10.5, 25.1,5,stable,4.8 ,-2.6, 12.8
"Franklin Parish(7,8)",22041,***,16.1 ,9.8, 25.2,4,stable,2.0 ,-2.8, 7.1
"East Feliciana Parish(7,8)",22037,***,16 ,9.4, 25.7,4,stable,1.2 ,-3.4, 6.1
"Caddo Parish(7,8)",22017,***,15.9 ,13.9, 18.2,48,rising,2.4 ,0.6, 4.2
"LaFourche Parish(7,8)",22057,***,15.6 ,12.4, 19.3,17,rising,3.2 ,0.6, 5.9
"Terrebonne Parish(7,8)",22109,***,15.1 ,12.2, 18.6,19,stable,-10.0 ,-33.1, 21.2
"Rapides Parish(7,8)",22079,***,15 ,12.3, 18,24,rising,2.9 ,0.3, 5.4
"St. James Parish(7)",22093,***,14.8 ,8.6, 23.8,4,*,*,*,*
"St. Mary Parish(7,8)",22101,***,14.7 ,10.8, 19.8,9,stable,1.5 ,-2.2, 5.4
"St. Charles Parish(7,8)",22089,***,14.7 ,10.4, 20.3,8,stable,3.1 ,-1.4, 7.9
"West Baton Rouge Parish(7)",22121,***,14.5 ,8.8, 22.5,4,*,*,*,*
"St. Martin Parish(7,8)",22099,***,14.3 ,10.3, 19.5,9,rising,3.3 ,0.2, 6.6
"Jefferson Davis Parish(7)",22053,***,14.3 ,9.3, 21.1,5,*,*,*,*
"St. Tammany Parish(7,8)",22103,***,14.3 ,12.4, 16.4,44,rising,2.2 ,0.6, 3.8
"Bossier Parish(7,8)",22015,***,14.1 ,11.4, 17.3,19,stable,-1.2 ,-3.9, 1.5
"Plaquemines Parish(7)",22075,***,14.1 ,8, 23,3,*,*,*,*
"Sabine Parish(7)",22085,***,14 ,8.9, 21.5,5,*,*,*,*
"Livingston Parish(7,8)",22063,***,13.7 ,11, 16.8,19,stable,0.3 ,-2.9, 3.5
"De Soto Parish(7,8)",22031,***,13.7 ,8.6, 20.8,5,stable,0.2 ,-3.8, 4.3
"Iberville Parish(7,8)",22047,***,13.5 ,8.7, 20.1,5,stable,1.6 ,-3.7, 7.1
