------------
DL METADATA
 > URL: https://www.statecancerprofiles.cancer.gov/incidencerates/index.php?stateFIPS=22&areatype=county&cancer=071&race=00&sex=0&age=001&type=incd&sortVariableName=rate&sortOrder=desc&output=1
 > Details: {'stateFIPS': '22', 'areatype': 'county', 'cancer': '071', 'race': '00', 'sex': '0', 'age': '001', 'type': 'incd', 'file_name': 'incidencerates_001.csv', 'source_url': 'https://www.statecancerprofiles.cancer.gov/incidencerates/index.php?stateFIPS=22&areatype=county&cancer=071&race=00&sex=0&age=001&type=incd&sortVariableName=rate&sortOrder=desc&output=1'}
------------
Incidence Rate Report for Louisiana by Parish

"Bladder (All Stages^), 2012-2016"

"All Races (includes Hispanic), Both Sexes, All Ages"

Sorted by Rate

Parish, FIPS,Met Healthy People Objective of ***?,"Age-Adjusted Incidence Rate(†) - cases per 100,000","Lower 95% Confidence Interval","Upper 95% Confidence Interval",Average Annual Count,Recent Trend,"Recent 5-Year Trend (‡) in Incidence Rates","Lower 95% Confidence Interval","Upper 95% Confidence Interval"
"Louisiana(7,8)",22000,***,18.4 ,17.8, 18.9,935,stable,-0.4 ,-0.9, 0.0
"US (SEER+NPCR)(1,10)",00000,***,20.1 ,20.1, 20.2,73697,falling,-2.1 ,-2.9, -1.2
"Assumption Parish(7,8)",22007,***,30.6 ,21.9, 41.8,8,stable,1.7 ,-2.7, 6.2
"Catahoula Parish(7)",22025,***,27.6 ,16.5, 44.3,4,*,*,*,*
"Plaquemines Parish(7,8)",22075,***,27 ,18.5, 38.2,7,stable,-0.4 ,-4.5, 3.9
"Beauregard Parish(7,8)",22011,***,26.5 ,19.7, 34.9,11,stable,-24.2 ,-43.4, 1.6
"Vernon Parish(7,8)",22115,***,24.7 ,18.4, 32.4,11,stable,2.3 ,-0.6, 5.2
"St. John the Baptist Parish(7,8)",22095,***,24.3 ,17.9, 32.3,10,stable,0.8 ,-2.7, 4.3
"St. Tammany Parish(7,8)",22103,***,24.3 ,21.8, 27.1,70,stable,0.2 ,-1.1, 1.6
"West Carroll Parish(7)",22123,***,24.1 ,14.5, 38.4,4,*,*,*,*
"St. Charles Parish(7,8)",22089,***,22.9 ,17.3, 29.6,12,stable,2.2 ,-1.8, 6.3
"LaFourche Parish(7,8)",22057,***,22.5 ,18.7, 27,25,stable,4.0 ,-0.9, 9.2
"Vermilion Parish(7,8)",22113,***,22.5 ,17.6, 28.4,15,stable,1.0 ,-2.4, 4.5
"Allen Parish(7,8)",22003,***,22 ,14.9, 31.4,6,stable,2.8 ,-1.5, 7.3
"Winn Parish(7)",22127,***,21.3 ,12.8, 33.5,4,*,*,*,*
"Pointe Coupee Parish(7)",22077,***,20.8 ,14, 30.2,6,*,*,*,*
"Calcasieu Parish(7,8)",22019,***,20.6 ,17.9, 23.5,44,stable,0.8 ,-0.8, 2.5
"Terrebonne Parish(7,8)",22109,***,19.9 ,16.4, 24,23,stable,-0.5 ,-2.8, 1.8
"Grant Parish(7)",22043,***,19.9 ,12.5, 30.1,5,*,*,*,*
