------------
DL METADATA
 > URL: https://www.statecancerprofiles.cancer.gov/incidencerates/index.php?stateFIPS=22&areatype=county&cancer=001&race=00&sex=1&age=001&type=incd&sortVariableName=rate&sortOrder=desc&output=1
 > Details: {'stateFIPS': '22', 'areatype': 'county', 'cancer': '001', 'race': '00', 'sex': '1', 'age': '001', 'type': 'incd', 'file_name': 'incidencerates_032.csv', 'source_url': 'https://www.statecancerprofiles.cancer.gov/incidencerates/index.php?stateFIPS=22&areatype=county&cancer=001&race=00&sex=1&age=001&type=incd&sortVariableName=rate&sortOrder=desc&output=1'}
------------
Incidence Rate Report for Louisiana by Parish

"All Cancer Sites (All Stages^), 2012-2016"

"All Races (includes Hispanic), Male, All Ages"

Sorted by Rate

Parish, FIPS,Met Healthy People Objective of ***?,"Age-Adjusted Incidence Rate(†) - cases per 100,000","Lower 95% Confidence Interval","Upper 95% Confidence Interval",Average Annual Count,Recent Trend,"Recent 5-Year Trend (‡) in Incidence Rates","Lower 95% Confidence Interval","Upper 95% Confidence Interval"
"Louisiana(7,8)",22000,***,559.3 ,554.9, 563.7,13273,falling,-1.7 ,-2.1, -1.4
"US (SEER+NPCR)(1,10)",00000,***,488.8 ,488.3, 489.3,824195,falling,-1.4 ,-2.1, -0.7
"Iberville Parish(7,8)",22047,***,682.1 ,627.5, 740.3,124,stable,-4.2 ,-8.4, 0.2
"Catahoula Parish(7,8)",22025,***,661 ,568.2, 765,39,stable,1.0 ,-0.4, 2.4
"Morehouse Parish(7,8)",22067,***,653.3 ,595.7, 715.2,101,stable,6.9 ,-1.7, 16.3
"West Baton Rouge Parish(7,8)",22121,***,637.6 ,573.7, 706.6,80,stable,-1.1 ,-2.5, 0.4
"Bienville Parish(7,8)",22013,***,633.1 ,558.4, 715.6,55,stable,-0.5 ,-2.4, 1.4
"De Soto Parish(7,8)",22031,***,627.1 ,571.6, 686.8,99,stable,-1.1 ,-2.3, 0.1
"St. Landry Parish(7,8)",22097,***,625.4 ,591.8, 660.5,276,falling,-1.0 ,-1.9, -0.2
"St. James Parish(7,8)",22093,***,616.4 ,552.3, 686.2,73,stable,0.2 ,-1.5, 1.9
"Assumption Parish(7,8)",22007,***,613.2 ,553.3, 678,82,stable,-0.6 ,-1.8, 0.7
"Terrebonne Parish(7,8)",22109,***,613 ,583.1, 643.9,341,stable,0.2 ,-0.6, 0.9
"Cameron Parish(7,8)",22023,***,612.4 ,500.9, 741.8,23,falling,-13.7 ,-24.6, -1.2
"Franklin Parish(7,8)",22041,***,605.5 ,542.2, 674.4,71,stable,-0.1 ,-1.7, 1.5
"St. Martin Parish(7,8)",22099,***,600.6 ,559.4, 644.2,171,stable,-0.8 ,-1.8, 0.3
"East Feliciana Parish(7,8)",22037,***,595.4 ,535.4, 660.7,78,stable,-0.6 ,-2.4, 1.2
"Acadia Parish(7,8)",22001,***,593.1 ,554.2, 634,185,stable,-0.4 ,-1.1, 0.3
"St. Bernard Parish(7,8)",22087,***,592.7 ,541.8, 647,113,stable,-0.9 ,-1.9, 0.1
"Plaquemines Parish(7,8)",22075,***,583.4 ,519.3, 653.1,65,stable,-0.3 ,-1.7, 1.1
"Vermilion Parish(7,8)",22113,***,582.6 ,544.3, 622.9,180,stable,-0.9 ,-1.9, 0.0
"Ouachita Parish(7,8)",22073,***,580.7 ,555.8, 606.4,431,stable,-0.5 ,-1.1, 0.1
"LaFourche Parish(7,8)",22057,***,579.6 ,549.5, 610.9,294,stable,-0.2 ,-0.9, 0.6
"Caldwell Parish(7,8)",22021,***,579.3 ,492.3, 677.6,34,stable,-1.2 ,-2.8, 0.5
