------------
DL METADATA
 > URL: https://www.statecancerprofiles.cancer.gov/incidencerates/index.php?stateFIPS=22&areatype=county&cancer=055&stage=211&race=00&sex=2&age=001&type=incd&sortVariableName=rate&sortOrder=desc&output=1
 > Details: {'stateFIPS': '22', 'areatype': 'county', 'cancer': '055', 'stage': '211', 'race': '00', 'sex': '2', 'age': '001', 'type': 'incd', 'file_name': 'incidencerates_042.csv', 'source_url': 'https://www.statecancerprofiles.cancer.gov/incidencerates/index.php?stateFIPS=22&areatype=county&cancer=055&stage=211&race=00&sex=2&age=001&type=incd&sortVariableName=rate&sortOrder=desc&output=1'}
------------
Incidence Rate Report for Louisiana by Parish

"Breast (Late Stage^), 2012-2016"

"All Races (includes Hispanic), Female, All Ages"

Sorted by Rate

Parish, FIPS,Met Healthy People Objective of 42.1?,"Age-Adjusted Incidence Rate(†) - cases per 100,000","Lower 95% Confidence Interval","Upper 95% Confidence Interval",Average Annual Count,Percent of Cases with Late Stage
"Louisiana(3)",22000,No,46.2 ,45, 47.4,1242,36.6
"US (SEER+NPCR)(1)",00000,No,42.3 ,42.1, 42.4,78906,33.0
"Madison Parish(7)",22065,No,85.2 ,57.4, 122.4,6,57.4
"Claiborne Parish(7)",22027,No,75.4 ,50.9, 108.1,7,46.7
"Natchitoches Parish(7)",22069,No,63.4 ,49.2, 80.5,15,47.4
"East Feliciana Parish(7)",22037,No,62.9 ,43, 89.5,7,40.2
"West Feliciana Parish(7)",22125,No,62.3 ,37.2, 98.6,4,40.8
"St. John the Baptist Parish(7)",22095,No,55.5 ,43.2, 70.4,15,45.1
"Bienville Parish(7)",22013,No,54.9 ,34.4, 83.4,5,38.5
"Jefferson Davis Parish(7)",22053,No,54.8 ,40.3, 73.1,10,46.3
"St. Mary Parish(7)",22101,No,54.1 ,42.8, 67.6,17,39.2
"Iberville Parish(7)",22047,No,54.1 ,40.2, 71.5,11,40.5
"St. Helena Parish(7)",22091,No,53.3 ,29.2, 89.3,3,35.4
"Franklin Parish(7)",22041,No,52.9 ,36, 75.1,7,45.3
"Webster Parish(7)",22119,No,52.7 ,40.8, 67.3,14,40.9
"Winn Parish(7)",22127,No,51.7 ,31.2, 80.8,4,41.5
"Ouachita Parish(7)",22073,No,51.5 ,44.8, 58.9,45,40.3
"West Carroll Parish(7)",22123,No,51.5 ,30.7, 82.3,4,40.8
"Vermilion Parish(7)",22113,No,51.2 ,40.8, 63.5,17,40.6
"Caddo Parish(7)",22017,No,50.9 ,45.8, 56.4,79,40.3
"St. Landry Parish(7)",22097,No,50.8 ,42, 61,25,36.9
"Lafayette Parish(7)",22055,No,50.7 ,45.1, 56.7,63,37.1
"Concordia Parish(7)",22029,No,50.3 ,32.6, 74.1,6,43.1
"Iberia Parish(7)",22045,No,49.3 ,40, 60.3,20,37.5
"Morehouse Parish(7)",22067,No,48.7 ,34.5, 67,8,40.0
"St. Charles Parish(7)",22089,No,48.6 ,38, 61.4,15,37.9
"Sabine Parish(7)",22085,No,47.7 ,32.4, 68,7,35.0
"St. Tammany Parish(7)",22103,No,47.6 ,42.7, 52.9,73,33.5
"East Baton Rouge Parish(7)",22033,No,47.4 ,43.5, 51.6,116,35.2
"De Soto Parish(7)",22031,No,47.3 ,33.8, 64.7,9,36.4
"Jefferson Parish(7)",22051,No,46.2 ,42.5, 50.1,126,33.6
"Orleans Parish(7)",22071,No,45.6 ,41.6, 49.9,100,34.9
"St. James Parish(7)",22093,No,45.3 ,30.3, 65.4,6,33.7
"Pointe Coupee Parish(7)",22077,No,45.2 ,29.6, 66.1,6,30.1
"Plaquemines Parish(7)",22075,No,45.1 ,30.2, 64.9,6,39.0
"Rapides Parish(7)",22079,No,44.4 ,37.9, 51.8,35,37.4
"Evangeline Parish(7)",22039,No,44.3 ,31.6, 60.6,8,41.6
"Bossier Parish(7)",22015,No,44.3 ,37.5, 52,31,37.0
"Richland Parish(7)",22083,No,43.7 ,28.8, 64,6,35.8
"Ascension Parish(7)",22005,No,43.5 ,36.2, 51.8,26,35.8
"LaFourche Parish(7)",22057,No,43.5 ,36, 52.2,25,36.9
"Beauregard Parish(7)",22011,Yes,41.9 ,30, 57,9,38.4
"Acadia Parish(7)",22001,Yes,41.1 ,31.9, 52.2,14,33.3
"Calcasieu Parish(7)",22019,Yes,41 ,35.8, 46.8,47,35.0
