------------
DL METADATA
 > URL: https://www.statecancerprofiles.cancer.gov/incidencerates/index.php?stateFIPS=22&areatype=county&cancer=001&race=00&sex=0&age=006&type=incd&sortVariableName=rate&sortOrder=desc&output=1
 > Details: {'stateFIPS': '22', 'areatype': 'county', 'cancer': '001', 'race': '00', 'sex': '0', 'age': '006', 'type': 'incd', 'file_name': 'incidencerates_035.csv', 'source_url': 'https://www.statecancerprofiles.cancer.gov/incidencerates/index.php?stateFIPS=22&areatype=county&cancer=001&race=00&sex=0&age=006&type=incd&sortVariableName=rate&sortOrder=desc&output=1'}
------------
Incidence Rate Report for Louisiana by Parish

"All Cancer Sites (All Stages^), 2012-2016"

"All Races (includes Hispanic), Both Sexes, Ages <65"

Sorted by Rate

Parish, FIPS,Met Healthy People Objective of ***?,"Age-Adjusted Incidence Rate(†) - cases per 100,000","Lower 95% Confidence Interval","Upper 95% Confidence Interval",Average Annual Count,Recent Trend,"Recent 5-Year Trend (‡) in Incidence Rates","Lower 95% Confidence Interval","Upper 95% Confidence Interval"
"Louisiana(7,8)",22000,***,248.6 ,246.5, 250.7,11839,stable,-0.2 ,-0.6, 0.2
"US (SEER+NPCR)(1,10)",00000,***,225.9 ,225.7, 226.1,737439,stable,-0.2 ,-1.1, 0.7
"Iberville Parish(7,8)",22047,***,307.5 ,281.7, 335.2,111,rising,1.8 ,0.5, 3.1
"East Carroll Parish(7,8)",22035,***,306.2 ,251, 370.2,23,stable,1.7 ,-0.6, 4.1
"Bienville Parish(7,8)",22013,***,293.5 ,253.1, 338.8,42,stable,-0.2 ,-2.4, 2.0
"St. Helena Parish(7,8)",22091,***,292.5 ,246.5, 345,33,rising,2.7 ,0.9, 4.5
"East Feliciana Parish(7,8)",22037,***,290.2 ,258.8, 324.7,69,rising,1.9 ,0.8, 3.1
"De Soto Parish(7,8)",22031,***,288.6 ,260.6, 319,85,stable,0.6 ,-0.6, 1.9
"Morehouse Parish(7,8)",22067,***,288.5 ,259.6, 319.8,81,stable,1.9 ,0.0, 3.8
"St. Landry Parish(7,8)",22097,***,282.5 ,266, 299.8,238,rising,1.2 ,0.3, 2.1
"Catahoula Parish(7,8)",22025,***,279.6 ,235.2, 330.5,31,stable,1.3 ,-1.1, 3.7
"Vernon Parish(7,8)",22115,***,275.2 ,252.9, 298.9,116,rising,1.9 ,0.9, 2.8
"Cameron Parish(7,8)",22023,***,272.9 ,219.4, 336.3,20,stable,-1.1 ,-3.2, 0.9
"West Baton Rouge Parish(7,8)",22121,***,270.9 ,242.9, 301.5,72,stable,0.5 ,-0.9, 1.9
"St. James Parish(7,8)",22093,***,266.5 ,235.7, 300.5,61,rising,2.0 ,0.3, 3.8
"St. Martin Parish(7,8)",22099,***,266.3 ,247.1, 286.5,153,rising,1.7 ,0.4, 2.9
"Washington Parish(7,8)",22117,***,265.8 ,245, 288,132,stable,-0.4 ,-1.8, 1.1
"Winn Parish(7,8)",22127,***,265 ,229.2, 305.1,42,stable,-0.1 ,-2.7, 2.5
"Acadia Parish(7,8)",22001,***,264.8 ,246.6, 284.2,167,stable,0.4 ,-0.4, 1.3
"Pointe Coupee Parish(7,8)",22077,***,263.6 ,233.4, 296.9,64,stable,0.8 ,-0.8, 2.3
"Terrebonne Parish(7,8)",22109,***,263.3 ,249.8, 277.3,301,rising,0.9 ,0.2, 1.6
"Evangeline Parish(7,8)",22039,***,262.3 ,237.7, 288.9,88,rising,1.5 ,0.5, 2.6
"Webster Parish(7,8)",22119,***,261.8 ,239.8, 285.4,113,stable,-0.3 ,-1.3, 0.6
"Allen Parish(7,8)",22003,***,259.6 ,232.4, 289.3,68,stable,1.3 ,-0.2, 2.7
"West Feliciana Parish(7,8)",22125,***,258.7 ,226.9, 294.5,50,stable,1.3 ,-0.3, 2.8
"Caddo Parish(7,8)",22017,***,257.6 ,248.6, 266.9,666,stable,0.4 ,0.0, 0.8
"Iberia Parish(7,8)",22045,***,254.9 ,238.3, 272.3,190,stable,-5.1 ,-16.5, 7.9
"Vermilion Parish(7,8)",22113,***,254.7 ,236.5, 273.9,155,stable,0.1 ,-1.2, 1.4
"Assumption Parish(7,8)",22007,***,254.6 ,226.4, 285.6,64,stable,-0.3 ,-1.8, 1.2
"Claiborne Parish(7,8)",22027,***,254.5 ,221.2, 291.9,45,stable,1.9 ,-0.7, 4.6
"Jefferson Davis Parish(7,8)",22053,***,252.3 ,227.2, 279.6,79,stable,0.3 ,-1.3, 2.0
"St. John the Baptist Parish(7,8)",22095,***,252 ,231.4, 274,118,stable,0.3 ,-0.6, 1.3
"Natchitoches Parish(7,8)",22069,***,251.8 ,228.2, 277.3,90,rising,1.4 ,0.2, 2.6
"St. Tammany Parish(7,8)",22103,***,251.7 ,243, 260.8,674,stable,0.2 ,-0.6, 0.9
"Concordia Parish(7,8)",22029,***,250.8 ,220.1, 284.7,53,stable,-8.0 ,-17.3, 2.2
"East Baton Rouge Parish(7,8)",22033,***,250.3 ,243.4, 257.3,1074,stable,0.5 ,0.0, 1.1
"St. Mary Parish(7,8)",22101,***,249 ,230, 269.1,138,stable,-0.2 ,-1.3, 0.8
