------------
DL METADATA
 > URL: https://www.statecancerprofiles.cancer.gov/incidencerates/index.php?stateFIPS=22&areatype=county&cancer=003&stage=211&race=00&sex=0&age=001&type=incd&sortVariableName=rate&sortOrder=desc&output=1
 > Details: {'stateFIPS': '22', 'areatype': 'county', 'cancer': '003', 'stage': '211', 'race': '00', 'sex': '0', 'age': '001', 'type': 'incd', 'file_name': 'incidencerates_052.csv', 'source_url': 'https://www.statecancerprofiles.cancer.gov/incidencerates/index.php?stateFIPS=22&areatype=county&cancer=003&stage=211&race=00&sex=0&age=001&type=incd&sortVariableName=rate&sortOrder=desc&output=1'}
------------
Incidence Rate Report for Louisiana by Parish

"Oral Cavity & Pharynx (Late Stage^), 2012-2016"

"All Races (includes Hispanic), Both Sexes, All Ages"

Sorted by Rate

Parish, FIPS,Met Healthy People Objective of ***?,"Age-Adjusted Incidence Rate(†) - cases per 100,000","Lower 95% Confidence Interval","Upper 95% Confidence Interval",Average Annual Count,Percent of Cases with Late Stage
"Louisiana(3)",22000,***,8.3 ,8, 8.7,447,64.8
"US (SEER+NPCR)(1)",00000,***,7.3 ,7.2, 7.3,27477,62.6
"Washington Parish(7)",22117,***,13.5 ,9.5, 18.6,8,63.5
"St. Bernard Parish(7)",22087,***,13 ,8.6, 19,6,76.3
"St. Mary Parish(7)",22101,***,11.5 ,8, 16.1,7,76.6
"Sabine Parish(7)",22085,***,11.5 ,6.8, 18.4,4,79.2
"Caddo Parish(7)",22017,***,11.2 ,9.5, 13.1,33,69.6
"St. Charles Parish(7)",22089,***,10.6 ,7, 15.3,6,73.2
"Iberville Parish(7)",22047,***,10.2 ,6.2, 16.1,4,76.9
"Pointe Coupee Parish(7)",22077,***,10.2 ,5.7, 17.2,3,64.0
"St. Tammany Parish(7)",22103,***,9.8 ,8.3, 11.6,31,70.1
"LaFourche Parish(7)",22057,***,9.4 ,7.1, 12.4,11,62.1
"Livingston Parish(7)",22063,***,9.3 ,7.2, 12,13,68.0
"Vernon Parish(7)",22115,***,9.3 ,5.6, 14.3,4,54.1
"Ascension Parish(7)",22005,***,9.2 ,6.8, 12.2,11,72.0
"Terrebonne Parish(7)",22109,***,9.2 ,7, 11.9,12,61.5
"Bossier Parish(7)",22015,***,9.1 ,6.9, 11.8,12,64.9
"Vermilion Parish(7)",22113,***,9.1 ,6.1, 13.1,6,69.8
"Tangipahoa Parish(7)",22105,***,8.6 ,6.5, 11.1,12,67.0
"De Soto Parish(7)",22031,***,8.5 ,4.8, 14.3,3,66.7
"Jefferson Davis Parish(7)",22053,***,8.3 ,4.7, 13.8,3,59.3
"Rapides Parish(7)",22079,***,8.3 ,6.4, 10.7,13,55.1
"Lincoln Parish(7)",22061,***,8.2 ,5, 13,4,66.7
"East Baton Rouge Parish(7)",22033,***,8.2 ,7, 9.5,38,66.1
"Calcasieu Parish(7)",22019,***,8 ,6.4, 9.9,18,68.1
"Jefferson Parish(7)",22051,***,7.9 ,6.9, 9.1,44,64.7
"Ouachita Parish(7)",22073,***,7.7 ,6, 9.8,14,67.0
"St. Landry Parish(7)",22097,***,7.6 ,5.3, 10.7,7,61.4
"Webster Parish(7)",22119,***,7.1 ,4, 11.7,3,58.6
"Lafayette Parish(7)",22055,***,6.9 ,5.5, 8.6,17,59.7
"St. John the Baptist Parish(7)",22095,***,6.9 ,4.1, 11,4,76.0
"Iberia Parish(7)",22045,***,6.8 ,4.6, 9.8,6,51.7
"Orleans Parish(7)",22071,***,6.6 ,5.6, 7.8,29,70.9
"Acadia Parish(7)",22001,***,6.6 ,4.1, 10,5,56.1
