------------
DL METADATA
 > URL: https://www.statecancerprofiles.cancer.gov/incidencerates/index.php?stateFIPS=22&areatype=county&cancer=057&race=00&sex=2&age=001&type=incd&sortVariableName=rate&sortOrder=desc&output=1
 > Details: {'stateFIPS': '22', 'areatype': 'county', 'cancer': '057', 'race': '00', 'sex': '2', 'age': '001', 'type': 'incd', 'file_name': 'incidencerates_005.csv', 'source_url': 'https://www.statecancerprofiles.cancer.gov/incidencerates/index.php?stateFIPS=22&areatype=county&cancer=057&race=00&sex=2&age=001&type=incd&sortVariableName=rate&sortOrder=desc&output=1'}
------------
Incidence Rate Report for Louisiana by Parish

"Cervix (All Stages^), 2012-2016"

"All Races (includes Hispanic), Female, All Ages"

Sorted by Rate

Parish, FIPS,Met Healthy People Objective of 7.2?,"Age-Adjusted Incidence Rate(†) - cases per 100,000","Lower 95% Confidence Interval","Upper 95% Confidence Interval",Average Annual Count,Recent Trend,"Recent 5-Year Trend (‡) in Incidence Rates","Lower 95% Confidence Interval","Upper 95% Confidence Interval"
"Louisiana(7,8)",22000,No,8.8 ,8.3, 9.4,211,falling,-1.0 ,-1.8, -0.2
"US (SEER+NPCR)(1,10)",00000,No,7.6 ,7.5, 7.6,12695,stable,0.8 ,-0.6, 2.3
"De Soto Parish(7)",22031,No,26.2 ,15.2, 42,4,*,*,*,*
"Natchitoches Parish(7)",22069,No,19.2 ,10.8, 31.1,3,*,*,*,*
"Iberia Parish(7,8)",22045,No,13.3 ,8.4, 19.9,5,stable,-0.4 ,-5.7, 5.2
"Caddo Parish(7,8)",22017,No,10.4 ,8, 13.2,14,stable,-1.7 ,-4.3, 1.0
"Acadia Parish(7)",22001,No,10 ,5.6, 16.5,3,*,*,*,*
"Orleans Parish(7,8)",22071,No,9.8 ,7.9, 12.1,20,stable,-0.5 ,-2.4, 1.4
"St. Landry Parish(7,8)",22097,No,9.2 ,5.3, 14.7,4,stable,-2.4 ,-6.4, 1.7
"Tangipahoa Parish(7,8)",22105,No,9.1 ,6.1, 13.2,6,stable,1.6 ,-1.9, 5.3
"Calcasieu Parish(7,8)",22019,No,9.1 ,6.6, 12.3,9,stable,-2.3 ,-4.6, 0.0
"Livingston Parish(7)",22063,No,8.9 ,6, 12.8,6,*,*,*,*
"Bossier Parish(7)",22015,No,8.7 ,5.7, 12.6,5,*,*,*,*
"Jefferson Parish(7,8)",22051,No,8.5 ,6.8, 10.4,20,stable,-0.2 ,-1.6, 1.3
"Lafayette Parish(7,8)",22055,No,8.2 ,6, 10.9,10,stable,-0.2 ,-2.9, 2.5
"East Baton Rouge Parish(7,8)",22033,No,7.8 ,6.2, 9.7,17,stable,-1.9 ,-4.2, 0.4
"Ouachita Parish(7,8)",22073,No,7.8 ,5.3, 11,6,stable,-1.2 ,-5.4, 3.3
"Terrebonne Parish(7,8)",22109,No,7.7 ,4.8, 11.8,4,stable,2.4 ,-3.4, 8.5
"LaFourche Parish(7)",22057,No,7.4 ,4.4, 11.7,4,*,*,*,*
"St. Tammany Parish(7,8)",22103,Yes,6.4 ,4.6, 8.8,9,falling,-3.0 ,-5.5, -0.5
"Rapides Parish(7,8)",22079,Yes,5.4 ,3.1, 8.6,4,falling,-5.3 ,-9.4, -1.0
"Allen Parish(7)",22003,***,* ,*, *,3 or fewer,*,*,*,*
"Ascension Parish(7)",22005,***,* ,*, *,3 or fewer,*,*,*,*
"Assumption Parish(7)",22007,***,* ,*, *,3 or fewer,*,*,*,*
"Avoyelles Parish(7)",22009,***,* ,*, *,3 or fewer,*,*,*,*
"Beauregard Parish(7)",22011,***,* ,*, *,3 or fewer,*,*,*,*
"Bienville Parish(7)",22013,***,* ,*, *,3 or fewer,*,*,*,*
"Caldwell Parish(7)",22021,***,* ,*, *,3 or fewer,*,*,*,*
