------------
DL METADATA
 > URL: https://www.statecancerprofiles.cancer.gov/deathrates/index.php?stateFIPS=40&areatype=county&cancer=040&race=00&sex=0&age=001&type=death&sortVariableName=rate&sortOrder=desc&output=1
 > Details: {'stateFIPS': '40', 'areatype': 'county', 'cancer': '040', 'race': '00', 'sex': '0', 'age': '001', 'type': 'death', 'file_name': 'deathrates_017.csv', 'source_url': 'https://www.statecancerprofiles.cancer.gov/deathrates/index.php?stateFIPS=40&areatype=county&cancer=040&race=00&sex=0&age=001&type=death&sortVariableName=rate&sortOrder=desc&output=1'}
------------
Death Rate Report for Oklahoma by County

"Pancreas, 2012-2016"

"All Races (includes Hispanic), Both Sexes, All Ages"

Sorted by Rate

County, FIPS,Met Healthy People Objective of ***?,"Age-Adjusted Death Rate(†) - deaths per 100,000","Lower 95% Confidence Interval","Upper 95% Confidence Interval",Average Annual Count,Recent Trend,"Recent 5-Year Trend (‡) in Death Rates","Lower 95% Confidence Interval","Upper 95% Confidence Interval"
"Oklahoma",40000,***,11 ,10.5, 11.4,487,rising,0.4 ,0.1, 0.7
"United States",00000,***,11 ,10.9, 11,40517,rising,0.3 ,0.2, 0.3
"Marshall County",40095,***,16.3 ,9.7, 26.3,4,*,*,*,*
"Custer County",40039,***,15.1 ,9.5, 22.8,5,*,*,*,*
"Adair County",40001,***,14.5 ,8.3, 23.4,3,*,*,*,*
"Jackson County",40065,***,14.1 ,8.5, 22.2,4,stable,1.0 ,-1.9, 3.8
"Carter County",40019,***,13 ,9.2, 17.8,8,stable,2.1 ,-0.1, 4.3
"Creek County",40037,***,12.8 ,9.7, 16.7,12,stable,1.6 ,-0.1, 3.4
"Caddo County",40015,***,12.6 ,8, 19.2,5,stable,-0.9 ,-3.3, 1.6
"Seminole County",40133,***,12.6 ,7.7, 19.7,4,stable,0.9 ,-1.9, 3.7
"Grady County",40051,***,12.5 ,8.8, 17.4,8,stable,0.4 ,-1.7, 2.5
"Muskogee County",40101,***,12.4 ,9.2, 16.3,11,stable,0.4 ,-1.2, 2.1
"Stephens County",40137,***,12.3 ,8.7, 17.1,8,stable,1.4 ,-0.4, 3.2
"Pittsburg County",40121,***,12 ,8.4, 16.7,8,stable,0.2 ,-1.9, 2.3
"Lincoln County",40081,***,11.9 ,7.8, 17.5,6,stable,1.5 ,-0.9, 4.0
"Tulsa County",40143,***,11.8 ,10.7, 13.1,80,stable,0.5 ,-0.1, 1.0
"Cherokee County",40021,***,11.7 ,7.9, 16.8,6,stable,0.6 ,-1.5, 2.7
"Logan County",40083,***,11.6 ,7.7, 16.8,6,*,*,*,*
"Delaware County",40041,***,11.4 ,8.2, 15.8,8,rising,2.6 ,0.5, 4.7
"Kay County",40071,***,11.2 ,7.6, 16,7,stable,-0.2 ,-1.9, 1.5
"Osage County",40113,***,11.2 ,7.7, 15.8,7,stable,0.7 ,-1.3, 2.7
"Oklahoma County",40109,***,11.1 ,10.1, 12.2,88,stable,0.2 ,-0.3, 0.7
"Canadian County",40017,***,11.1 ,8.6, 14.1,14,stable,0.9 ,-1.2, 3.1
"Mayes County",40097,***,11.1 ,7.3, 16.2,6,*,*,*,*
"Rogers County",40131,***,10.7 ,8, 13.9,11,stable,0.3 ,-1.4, 1.9
