------------
DL METADATA
 > URL: https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=51&areatype=county&topic=pop&demo=00101&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1
 > Details: {'stateFIPS': '51', 'areatype': 'county', 'topic': 'pop', 'demo': '00101', 'race': '00', 'sex': '0', 'age': '001', 'type': 'manyareacensus', 'file_name': 'demographics_024.csv', 'source_url': 'https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=51&areatype=county&topic=pop&demo=00101&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1'}
------------
Demographic Data Report for Virginia by County
Population: Non-Hispanic (Origin Recode)
"All Ages, All Races (includes Hispanic), Both Sexes"
2013-2017 American Community Survey 5-Year Data
Sorted by Value

County, FIPS,Value (Percent),People (Non-Hispanic [Origin Recode]),Rank within US
"United States",00000,82.4,264493836,"N/A"
"Virginia",51000,91.0,7616494,"29 of 52"
"Manassas Park City",51685,62.2,10032,"166 of 3141"
"Manassas City",51683,65.0,26902,"185 of 3141"
"Prince William County",51153,77.6,349721,"336 of 3141"
"Harrisonburg City",51660,81.3,43142,"413 of 3141"
"Fairfax City",51600,83.1,19595,"457 of 3141"
"Winchester City",51840,83.1,22869,"458 of 3141"
"Alexandria City",51510,83.3,128810,"462 of 3141"
"Fairfax County",51059,83.8,957409,"476 of 3141"
"Arlington County",51013,84.5,193847,"493 of 3141"
"Galax City",51640,85.3,5791,"524 of 3141"
"Loudoun County",51107,86.5,324132,"561 of 3141"
"Stafford County",51179,88.3,124644,"639 of 3141"
"Fredericksburg City",51630,89.3,25128,"690 of 3141"
"Falls Church City",51610,89.4,12369,"694 of 3141"
"Culpeper County",51047,90.3,44969,"760 of 3141"
"Spotsylvania County",51177,91.0,118453,"812 of 3141"
"Accomack County",51001,91.2,29939,"822 of 3141"
"Newport News City",51700,91.4,165160,"841 of 3141"
"Northampton County",51131,91.6,10990,"860 of 3141"
"Chesterfield County",51041,91.8,307910,"877 of 3141"
"Virginia Beach City",51810,92.2,414802,"902 of 3141"
"Frederick County",51069,92.2,77262,"908 of 3141"
"Williamsburg City",51830,92.3,13681,"917 of 3141"
"Norfolk City",51710,92.4,227037,"921 of 3141"
"Prince George County",51149,92.4,34852,"929 of 3141"
"Fauquier County",51061,92.5,63265,"935 of 3141"
"Hopewell City",51670,92.7,20717,"960 of 3141"
"Waynesboro City",51820,92.8,20073,"981 of 3141"
"Shenandoah County",51171,93.1,39884,"1001 of 3141"
"Richmond County",51159,93.4,8284,"1041 of 3141"
"Richmond City",51760,93.5,206549,"1056 of 3141"
"Rockingham County",51165,93.5,73554,"1059 of 3141"
"Westmoreland County",51193,93.8,16510,"1101 of 3141"
"Roanoke City",51770,94.0,93560,"1120 of 3141"
"York County",51199,94.0,63180,"1134 of 3141"
"Albemarle County",51003,94.3,99114,"1179 of 3141"
"Greene County",51079,94.3,18121,"1184 of 3141"
