------------
DL METADATA
 > URL: https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=51&areatype=county&topic=work&demo=00012&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1
 > Details: {'stateFIPS': '51', 'areatype': 'county', 'topic': 'work', 'demo': '00012', 'race': '00', 'sex': '0', 'age': '001', 'type': 'manyareacensus', 'file_name': 'demographics_031.csv', 'source_url': 'https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=51&areatype=county&topic=work&demo=00012&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1'}
------------
Demographic Data Report for Virginia by County
Workforce: Unemployed
"All Ages, All Races (includes Hispanic), Both Sexes"
2013-2017 American Community Survey 5-Year Data
Sorted by Value

County, FIPS,Value (Percent),People (Unemployed),Rank within US
"Virginia",51000,5.5,236648,"17 of 52"
"United States",00000,6.6,10560305,"N/A"
"Highland County",51091,0.5,5,"20 of 3141"
"Mathews County",51115,1.4,57,"64 of 3141"
"Rappahannock County",51157,2.9,108,"300 of 3141"
"Albemarle County",51003,3.2,1672,"367 of 3141"
"Arlington County",51013,3.2,4766,"368 of 3141"
"Amelia County",51007,3.3,208,"378 of 3141"
"Clarke County",51043,3.3,243,"396 of 3141"
"Gloucester County",51073,3.3,612,"400 of 3141"
"Goochland County",51075,3.4,368,"411 of 3141"
"Campbell County",51031,3.4,923,"413 of 3141"
"Hanover County",51085,3.4,1929,"430 of 3141"
"Appomattox County",51011,3.5,253,"467 of 3141"
"Charlottesville City",51540,3.6,922,"503 of 3141"
"King William County",51101,3.7,316,"515 of 3141"
"Nelson County",51125,3.7,274,"523 of 3141"
"Loudoun County",51107,3.8,7902,"545 of 3141"
"Carroll County",51035,3.8,517,"551 of 3141"
"Botetourt County",51023,3.8,642,"569 of 3141"
"Alexandria City",51510,3.9,3853,"586 of 3141"
"Staunton City",51790,3.9,482,"592 of 3141"
"Fauquier County",51061,4.0,1456,"622 of 3141"
"Powhatan County",51145,4.0,545,"634 of 3141"
"Craig County",51045,4.1,94,"644 of 3141"
"Fairfax City",51600,4.1,546,"648 of 3141"
"Augusta County",51015,4.1,1498,"656 of 3141"
"Lexington City",51678,4.1,97,"661 of 3141"
"Frederick County",51069,4.1,1838,"662 of 3141"
"Falls Church City",51610,4.2,338,"700 of 3141"
"Montgomery County",51121,4.3,2085,"714 of 3141"
"Stafford County",51179,4.3,3039,"719 of 3141"
"Southampton County",51175,4.3,354,"730 of 3141"
"Winchester City",51840,4.3,600,"733 of 3141"
"Bedford City and County",51917,4.4,1672,"751 of 3141"
"Lancaster County",51103,4.4,200,"758 of 3141"
"Alleghany County and Clifton Forge City",51005,4.4,285,"768 of 3141"
"King and Queen County",51097,4.4,145,"775 of 3141"
"Northampton County",51131,4.4,226,"786 of 3141"
"Waynesboro City",51820,4.4,461,"788 of 3141"
"Lunenburg County",51111,4.5,221,"823 of 3141"
"Fairfax County",51059,4.5,28718,"825 of 3141"
"Rockingham County",51165,4.6,1867,"855 of 3141"
"Poquoson City",51735,4.7,291,"910 of 3141"
"Buena Vista City",51530,4.7,139,"917 of 3141"
"Salem City",51775,4.7,619,"929 of 3141"
"Roanoke County",51161,4.8,2289,"964 of 3141"
"Giles County",51071,4.8,382,"968 of 3141"
"Fluvanna County",51065,4.8,618,"982 of 3141"
"James City County",51095,4.9,1687,"984 of 3141"
"Halifax County with South Boston City",51083,4.9,749,"1017 of 3141"
"King George County",51099,4.9,651,"1022 of 3141"
"Mecklenburg County",51117,5.0,671,"1047 of 3141"
"Rockbridge County",51163,5.0,541,"1049 of 3141"
"Prince William County",51153,5.0,12267,"1056 of 3141"
"New Kent County",51127,5.1,551,"1091 of 3141"
"Shenandoah County",51171,5.2,1105,"1138 of 3141"
"Prince Edward County",51147,5.2,492,"1158 of 3141"
"Virginia Beach City",51810,5.3,12249,"1176 of 3141"
"Harrisonburg City",51660,5.3,1465,"1195 of 3141"
"Franklin County",51067,5.4,1459,"1249 of 3141"
"Accomack County",51001,5.4,793,"1250 of 3141"
"Spotsylvania County",51177,5.5,3724,"1267 of 3141"
"Floyd County",51063,5.5,420,"1289 of 3141"
"Galax City",51640,5.5,169,"1290 of 3141"
"Sussex County",51183,5.5,157,"1301 of 3141"
"Chesterfield County",51041,5.6,10107,"1311 of 3141"
"Essex County",51057,5.6,310,"1313 of 3141"
"Amherst County",51009,5.6,853,"1314 of 3141"
"Dickenson County",51051,5.6,271,"1325 of 3141"
"Fredericksburg City",51630,5.6,875,"1345 of 3141"
"Covington City",51580,5.6,130,"1349 of 3141"
"Madison County",51113,5.6,365,"1350 of 3141"
"Greensville County",51081,5.7,243,"1385 of 3141"
"Nottoway County",51135,5.8,341,"1415 of 3141"
"Chesapeake City",51550,5.8,6689,"1443 of 3141"
"Henrico County",51087,5.8,10476,"1464 of 3141"
"Culpeper County",51047,5.9,1478,"1516 of 3141"
"Manassas Park City",51685,6.0,528,"1529 of 3141"
"Warren County",51187,6.0,1198,"1545 of 3141"
"Charles City County",51036,6.2,221,"1640 of 3141"
"Wythe County",51197,6.2,864,"1660 of 3141"
"Scott County",51169,6.2,561,"1661 of 3141"
"Middlesex County",51119,6.3,295,"1699 of 3141"
"Caroline County",51033,6.3,890,"1702 of 3141"
"Greene County",51079,6.3,622,"1715 of 3141"
"Smyth County",51173,6.3,869,"1724 of 3141"
"Richmond County",51159,6.4,221,"1737 of 3141"
"Washington County",51191,6.4,1646,"1755 of 3141"
"York County",51199,6.4,2074,"1765 of 3141"
"Orange County",51137,6.5,1107,"1805 of 3141"
"Roanoke City",51770,6.6,3322,"1848 of 3141"
"Patrick County",51141,6.6,522,"1878 of 3141"
"Pittsylvania County",51143,6.7,1997,"1921 of 3141"
"Suffolk City",51800,6.7,2956,"1926 of 3141"
"Bland County",51021,6.7,186,"1932 of 3141"
"Charlotte County",51037,6.8,358,"1950 of 3141"
