------------
DL METADATA
 > URL: https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=51&areatype=county&topic=ed&demo=00004&race=00&sex=0&age=081&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1
 > Details: {'stateFIPS': '51', 'areatype': 'county', 'topic': 'ed', 'demo': '00004', 'race': '00', 'sex': '0', 'age': '081', 'type': 'manyareacensus', 'file_name': 'demographics_001.csv', 'source_url': 'https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=51&areatype=county&topic=ed&demo=00004&race=00&sex=0&age=081&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1'}
------------
Demographic Data Report for Virginia by County
Education: Less than 9th grade
Population Ages 25+
"All Races (includes Hispanic), Both Sexes"
2013-2017 American Community Survey 5-Year Data
Sorted by Value

County, FIPS,Value (Percent),People (Education: Less Than 9th Grade),Rank within US
"Virginia",51000,4.5,254900,"31 of 52"
"United States",00000,5.4,11759554,"N/A"
"Falls Church City",51610,0.2,21,"8 of 3141"
"Williamsburg City",51830,1.0,75,"46 of 3141"
"New Kent County",51127,1.5,217,"121 of 3141"
"Poquoson City",51735,1.7,142,"213 of 3141"
"King George County",51099,1.8,295,"225 of 3141"
"Virginia Beach City",51810,2.0,6110,"328 of 3141"
"Stafford County",51179,2.1,1842,"356 of 3141"
"Chesapeake City",51550,2.1,3315,"383 of 3141"
"Hanover County",51085,2.1,1495,"386 of 3141"
"James City County",51095,2.2,1186,"453 of 3141"
"Northumberland County",51133,2.3,226,"484 of 3141"
"York County",51199,2.5,1109,"556 of 3141"
"Mathews County",51115,2.5,175,"583 of 3141"
"Fluvanna County",51065,2.6,477,"615 of 3141"
"Hampton City",51650,2.7,2415,"670 of 3141"
"Montgomery County",51121,2.8,1535,"762 of 3141"
"Roanoke County",51161,3.1,2049,"933 of 3141"
"Chesterfield County",51041,3.1,6902,"944 of 3141"
"Prince George County",51149,3.2,833,"990 of 3141"
"Botetourt County",51023,3.2,772,"1010 of 3141"
"Gloucester County",51073,3.2,861,"1016 of 3141"
"Powhatan County",51145,3.2,667,"1019 of 3141"
"Goochland County",51075,3.3,547,"1065 of 3141"
"Newport News City",51700,3.3,3871,"1088 of 3141"
"Fredericksburg City",51630,3.4,562,"1100 of 3141"
"Henrico County",51087,3.4,7482,"1102 of 3141"
"Spotsylvania County",51177,3.4,2928,"1133 of 3141"
"Fauquier County",51061,3.4,1607,"1142 of 3141"
"Staunton City",51790,3.5,608,"1184 of 3141"
"Bedford City and County",51917,3.5,1963,"1195 of 3141"
"Norfolk City",51710,3.6,5398,"1212 of 3141"
"Orange County",51137,3.6,887,"1225 of 3141"
"Loudoun County",51107,3.6,8585,"1227 of 3141"
"Suffolk City",51800,3.6,2126,"1238 of 3141"
"Albemarle County",51003,3.7,2610,"1280 of 3141"
"Middlesex County",51119,3.7,306,"1289 of 3141"
"Lancaster County",51103,3.7,318,"1292 of 3141"
"Warren County",51187,3.7,998,"1300 of 3141"
"Craig County",51045,3.8,145,"1321 of 3141"
"Arlington County",51013,3.8,6498,"1332 of 3141"
"Salem City",51775,3.8,653,"1347 of 3141"
"Portsmouth City",51740,4.0,2542,"1435 of 3141"
"Fairfax City",51600,4.0,653,"1437 of 3141"
"Colonial Heights City",51570,4.1,498,"1458 of 3141"
"Augusta County",51015,4.1,2196,"1471 of 3141"
"Charlottesville City",51540,4.2,1236,"1510 of 3141"
"Lynchburg City",51680,4.3,1887,"1563 of 3141"
"Frederick County",51069,4.3,2485,"1585 of 3141"
"King William County",51101,4.5,506,"1653 of 3141"
"Fairfax County",51059,4.5,35265,"1680 of 3141"
"Isle of Wight County",51093,4.6,1174,"1697 of 3141"
"Covington City",51580,4.6,179,"1701 of 3141"
"Bath County",51017,4.6,149,"1705 of 3141"
"Alleghany County and Clifton Forge City",51005,4.6,523,"1714 of 3141"
"Waynesboro City",51820,4.7,705,"1771 of 3141"
"Bristol City",51520,4.8,585,"1793 of 3141"
"Campbell County",51031,5.0,1970,"1863 of 3141"
"Alexandria City",51510,5.0,5902,"1867 of 3141"
"Norton City",51720,5.0,145,"1869 of 3141"
"Caroline County",51033,5.1,1044,"1888 of 3141"
