------------
DL METADATA
 > URL: https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=51&areatype=county&topic=crowd&demo=00027&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1
 > Details: {'stateFIPS': '51', 'areatype': 'county', 'topic': 'crowd', 'demo': '00027', 'race': '00', 'sex': '0', 'age': '001', 'type': 'manyareacensus', 'file_name': 'demographics_000.csv', 'source_url': 'https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=51&areatype=county&topic=crowd&demo=00027&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1'}
------------
Demographic Data Report for Virginia by County
Crowding: Households with >1 person per room
"All Ages, All Races (includes Hispanic), Both Sexes"
2013-2017 American Community Survey 5-Year Data
Sorted by Value

County, FIPS,Value (Percent),Households (with >1 Person Per Room),Rank within US
"Virginia",51000,2.0,61490,"34 of 52"
"United States",00000,3.3,3975282,"N/A"
"Buena Vista City",51530,0.0,0,"3097 of 3141"
"Craig County",51045,0.0,0,"3097 of 3141"
"Lexington City",51678,0.0,0,"3097 of 3141"
"Mathews County",51115,0.0,0,"3097 of 3141"
"Poquoson City",51735,0.0,0,"3097 of 3141"
"Charlotte County",51037,0.1,3,"3095 of 3141"
"Franklin City",51620,0.2,7,"3080 of 3141"
"Rappahannock County",51157,0.2,7,"3073 of 3141"
"Highland County",51091,0.4,5,"3020 of 3141"
"Clarke County",51043,0.5,26,"3011 of 3141"
"Russell County",51167,0.5,54,"2999 of 3141"
"Lancaster County",51103,0.5,25,"2997 of 3141"
"Washington County",51191,0.5,116,"2986 of 3141"
"Grayson County",51077,0.5,35,"2980 of 3141"
"Botetourt County",51023,0.6,73,"2968 of 3141"
"Floyd County",51063,0.6,37,"2957 of 3141"
"Radford City",51750,0.6,33,"2943 of 3141"
"Bristol City",51520,0.6,45,"2938 of 3141"
"Powhatan County",51145,0.6,62,"2929 of 3141"
"Gloucester County",51073,0.6,95,"2920 of 3141"
"Pulaski County",51155,0.7,104,"2880 of 3141"
"Hanover County",51085,0.7,273,"2879 of 3141"
"Augusta County",51015,0.7,207,"2874 of 3141"
"Wythe County",51197,0.7,86,"2871 of 3141"
"Westmoreland County",51193,0.8,57,"2840 of 3141"
"King George County",51099,0.8,71,"2819 of 3141"
"Brunswick County",51025,0.8,48,"2817 of 3141"
"Bedford City and County",51917,0.8,258,"2790 of 3141"
"Rockbridge County",51163,0.8,77,"2784 of 3141"
"Wise County",51195,0.8,128,"2775 of 3141"
"Roanoke County",51161,0.8,326,"2772 of 3141"
"Buchanan County",51027,0.9,78,"2757 of 3141"
"Tazewell County",51185,0.9,151,"2750 of 3141"
"Northampton County",51131,0.9,47,"2701 of 3141"
"Carroll County",51035,0.9,114,"2697 of 3141"
"Campbell County",51031,0.9,213,"2668 of 3141"
"Alleghany County and Clifton Forge City",51005,1.0,66,"2658 of 3141"
"Sussex County",51183,1.0,33,"2646 of 3141"
"Albemarle County",51003,1.0,390,"2644 of 3141"
"Stafford County",51179,1.0,442,"2643 of 3141"
"Martinsville City",51690,1.0,57,"2621 of 3141"
"Charles City County",51036,1.0,29,"2614 of 3141"
"Prince George County",51149,1.0,114,"2604 of 3141"
"James City County",51095,1.0,291,"2583 of 3141"
"Fauquier County",51061,1.0,246,"2581 of 3141"
"Dickenson County",51051,1.0,64,"2560 of 3141"
"Fluvanna County",51065,1.1,103,"2559 of 3141"
"Pittsylvania County",51143,1.1,284,"2548 of 3141"
"Staunton City",51790,1.1,113,"2532 of 3141"
"Mecklenburg County",51117,1.2,136,"2435 of 3141"
"Dinwiddie County",51053,1.2,120,"2424 of 3141"
"Lee County",51105,1.2,108,"2422 of 3141"
"Isle of Wight County",51093,1.2,167,"2403 of 3141"
"Southampton County",51175,1.2,79,"2395 of 3141"
"Chesterfield County",51041,1.2,1452,"2374 of 3141"
"Giles County",51071,1.2,86,"2365 of 3141"
"Halifax County with South Boston City",51083,1.2,173,"2349 of 3141"
"Smyth County",51173,1.3,161,"2316 of 3141"
"Goochland County",51075,1.3,104,"2313 of 3141"
"Colonial Heights City",51570,1.3,90,"2307 of 3141"
"Suffolk City",51800,1.3,415,"2280 of 3141"
"Salem City",51775,1.3,129,"2272 of 3141"
"York County",51199,1.3,314,"2272 of 3141"
"Prince Edward County",51147,1.3,94,"2269 of 3141"
"Virginia Beach City",51810,1.3,2177,"2263 of 3141"
"Chesapeake City",51550,1.3,1090,"2239 of 3141"
"Northumberland County",51133,1.4,78,"2197 of 3141"
"Caroline County",51033,1.4,150,"2156 of 3141"
"Appomattox County",51011,1.4,83,"2151 of 3141"
"Henrico County",51087,1.4,1760,"2150 of 3141"
"Galax City",51640,1.4,40,"2129 of 3141"
"Middlesex County",51119,1.5,67,"2049 of 3141"
"King William County",51101,1.5,92,"2010 of 3141"
"Warren County",51187,1.5,215,"2007 of 3141"
"Lynchburg City",51680,1.5,430,"1993 of 3141"
"Charlottesville City",51540,1.5,284,"1976 of 3141"
"Greene County",51079,1.6,117,"1905 of 3141"
"Portsmouth City",51740,1.6,600,"1870 of 3141"
"Roanoke City",51770,1.7,704,"1845 of 3141"
"Waynesboro City",51820,1.7,154,"1816 of 3141"
"Buckingham County",51029,1.7,97,"1799 of 3141"
"Scott County",51169,1.7,154,"1784 of 3141"
"Spotsylvania County",51177,1.7,746,"1780 of 3141"
"Rockingham County",51165,1.8,534,"1759 of 3141"
"Montgomery County",51121,1.8,635,"1730 of 3141"
"Accomack County",51001,1.8,243,"1714 of 3141"
"Loudoun County",51107,1.8,2186,"1707 of 3141"
"Louisa County",51109,1.8,246,"1675 of 3141"
"Richmond City",51760,1.8,1637,"1671 of 3141"
"Greensville County",51081,1.8,67,"1665 of 3141"
"Norton City",51720,1.8,33,"1655 of 3141"
"Page County",51139,1.9,176,"1639 of 3141"
"Franklin County",51067,1.9,435,"1616 of 3141"
"Madison County",51113,1.9,97,"1599 of 3141"
"Patrick County",51141,1.9,148,"1577 of 3141"
"Richmond County",51159,1.9,63,"1559 of 3141"
"Fredericksburg City",51630,2.0,209,"1492 of 3141"
"Shenandoah County",51171,2.0,353,"1456 of 3141"
"Henry County",51089,2.1,465,"1405 of 3141"
"Essex County",51057,2.1,94,"1396 of 3141"
"Cumberland County",51049,2.1,85,"1360 of 3141"
"Amherst County",51009,2.1,260,"1352 of 3141"
"Nelson County",51125,2.3,149,"1216 of 3141"
"Bland County",51021,2.3,59,"1197 of 3141"
"Frederick County",51069,2.3,709,"1176 of 3141"
"Danville City",51590,2.3,432,"1170 of 3141"
"Norfolk City",51710,2.4,2071,"1128 of 3141"
"Surry County",51181,2.4,67,"1098 of 3141"
"Newport News City",51700,2.5,1706,"1034 of 3141"
"New Kent County",51127,2.6,198,"944 of 3141"
"Lunenburg County",51111,2.7,122,"866 of 3141"
"Petersburg City",51730,2.7,362,"858 of 3141"
"Bath County",51017,2.8,52,"820 of 3141"
"Fairfax City",51600,2.9,244,"792 of 3141"
"Arlington County",51013,2.9,2970,"783 of 3141"
"Culpeper County",51047,3.0,505,"740 of 3141"
"Hopewell City",51670,3.1,284,"677 of 3141"
"Hampton City",51650,3.1,1672,"673 of 3141"
"Williamsburg City",51830,3.1,146,"661 of 3141"
"Covington City",51580,3.3,79,"600 of 3141"
"Orange County",51137,3.3,445,"592 of 3141"
"Fairfax County",51059,3.4,13280,"559 of 3141"
"Prince William County",51153,3.4,4710,"558 of 3141"
"Amelia County",51007,3.4,161,"546 of 3141"
"Falls Church City",51610,3.6,191,"489 of 3141"
"Harrisonburg City",51660,3.7,617,"473 of 3141"
"Emporia City",51595,3.7,78,"468 of 3141"
"Nottoway County",51135,3.7,210,"450 of 3141"
"Winchester City",51840,3.7,394,"442 of 3141"
"Manassas Park City",51685,3.8,180,"435 of 3141"
"King and Queen County",51097,3.9,110,"402 of 3141"
"Alexandria City",51510,4.3,2976,"312 of 3141"
"Manassas City",51683,4.7,586,"254 of 3141"

Created by statecancerprofiles.cancer.gov on 03/29/2020 6:21 pm.
Source: Demographic data provided by the Census Bureau (http://www.census.gov/) & the American Community Survey (http://www.census.gov/acs/www/).
"For more information about Crowding: Households with >1 person per room, see the dictionary at http://statecancerprofiles.cancer.gov/dictionary.php#crowding."
"Health Service Areas are a single county or cluster of contiguous counties which are relatively self-contained with respect to hospital care. For more detailed information, please see the Health Service Area information page at http://statecancerprofiles.cancer.gov/hsa.php ."
Data for United States does not include Puerto Rico.
