------------
DL METADATA
 > URL: https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=51&areatype=county&topic=pop&demo=00003&race=00&sex=0&age=999&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1
 > Details: {'stateFIPS': '51', 'areatype': 'county', 'topic': 'pop', 'demo': '00003', 'race': '00', 'sex': '0', 'age': '999', 'type': 'manyareacensus', 'file_name': 'demographics_018.csv', 'source_url': 'https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=51&areatype=county&topic=pop&demo=00003&race=00&sex=0&age=999&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1'}
------------
Demographic Data Report for Virginia by County
Population: Age 65 and over
"All Races (includes Hispanic), Both Sexes"
2013-2017 American Community Survey 5-Year Data
Sorted by Value

County, FIPS,Value (Percent),People (Age 65 And Over),Rank within US
"Virginia",51000,14.2,1187867,"43 of 52"
"United States",00000,14.9,47732389,"N/A"
"Manassas Park City",51685,7.4,1200,"3128 of 3141"
"Loudoun County",51107,8.3,31172,"3116 of 3141"
"Radford City",51750,8.5,1479,"3112 of 3141"
"Harrisonburg City",51660,8.7,4608,"3106 of 3141"
"Prince William County",51153,8.7,39436,"3102 of 3141"
"Manassas City",51683,8.8,3646,"3099 of 3141"
"Stafford County",51179,9.4,13257,"3089 of 3141"
"Arlington County",51013,9.8,22553,"3072 of 3141"
"Norfolk City",51710,10.3,25271,"3054 of 3141"
"Charlottesville City",51540,10.4,4826,"3047 of 3141"
"Alexandria City",51510,10.5,16239,"3040 of 3141"
"Fredericksburg City",51630,10.5,2960,"3039 of 3141"
"Montgomery County",51121,11.5,11255,"2948 of 3141"
"Newport News City",51700,12.1,21787,"2892 of 3141"
"Richmond City",51760,12.1,26622,"2892 of 3141"
"King George County",51099,12.1,3096,"2886 of 3141"
"Chesapeake City",51550,12.1,28596,"2877 of 3141"
"Fairfax County",51059,12.2,138977,"2876 of 3141"
"Falls Church City",51610,12.5,1725,"2847 of 3141"
"Prince George County",51149,12.6,4766,"2815 of 3141"
"Spotsylvania County",51177,12.7,16487,"2812 of 3141"
"Virginia Beach City",51810,12.7,57339,"2799 of 3141"
"Suffolk City",51800,13.4,11759,"2703 of 3141"
"Chesterfield County",51041,13.4,44886,"2694 of 3141"
"Lynchburg City",51680,13.9,11016,"2619 of 3141"
"Portsmouth City",51740,14.0,13344,"2603 of 3141"
"Hampton City",51650,14.1,19193,"2579 of 3141"
"Henrico County",51087,14.2,45872,"2563 of 3141"
"Fairfax City",51600,14.3,3375,"2532 of 3141"
"Williamsburg City",51830,14.6,2159,"2479 of 3141"
"Culpeper County",51047,14.6,7271,"2472 of 3141"
"York County",51199,14.7,9904,"2438 of 3141"
"Greensville County",51081,14.8,1715,"2427 of 3141"
"Warren County",51187,14.8,5770,"2422 of 3141"
"King William County",51101,14.8,2421,"2415 of 3141"
"Lexington City",51678,15.0,1067,"2368 of 3141"
"Winchester City",51840,15.2,4176,"2332 of 3141"
"Fauquier County",51061,15.3,10438,"2312 of 3141"
"Caroline County",51033,15.4,4599,"2282 of 3141"
"Roanoke City",51770,15.4,15372,"2271 of 3141"
"Prince Edward County",51147,15.5,3542,"2264 of 3141"
"Hopewell City",51670,15.5,3463,"2255 of 3141"
