------------
DL METADATA
 > URL: https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=51&areatype=county&topic=mob&demo=00017&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1
 > Details: {'stateFIPS': '51', 'areatype': 'county', 'topic': 'mob', 'demo': '00017', 'race': '00', 'sex': '0', 'age': '001', 'type': 'manyareacensus', 'file_name': 'demographics_008.csv', 'source_url': 'https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=51&areatype=county&topic=mob&demo=00017&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1'}
------------
Demographic Data Report for Virginia by County
Mobility: Haven't moved (in past year)
"All Ages, All Races (includes Hispanic), Both Sexes"
2013-2017 American Community Survey 5-Year Data
Sorted by Value

County, FIPS,Value (Percent),People (Haven't Moved),Rank within US
"Virginia",51000,84.3,6972051,"30 of 51"
"United States",00000,85.4,270854872,"N/A"
"Williamsburg City",51830,60.3,8868,"3139 of 3140"
"Harrisonburg City",51660,66.9,35171,"3134 of 3140"
"Radford City",51750,71.7,12381,"3118 of 3140"
"Charlottesville City",51540,72.7,33435,"3111 of 3140"
"Fredericksburg City",51630,73.3,20240,"3106 of 3140"
"Norfolk City",51710,73.5,178142,"3104 of 3140"
"Montgomery County",51121,73.8,71378,"3103 of 3140"
"Petersburg City",51730,75.4,23872,"3082 of 3140"
"Richmond City",51760,76.3,166401,"3067 of 3140"
"Lynchburg City",51680,77.0,60024,"3051 of 3140"
"Sussex County",51183,77.6,8939,"3038 of 3140"
"Lexington City",51678,78.0,5522,"3031 of 3140"
"Alexandria City",51510,78.0,118721,"3030 of 3140"
"Bristol City",51520,78.3,13218,"3020 of 3140"
"Emporia City",51595,78.6,4299,"3010 of 3140"
"Newport News City",51700,79.1,141213,"2991 of 3140"
"Roanoke City",51770,79.6,78062,"2963 of 3140"
"Arlington County",51013,79.6,180367,"2960 of 3140"
"Norton City",51720,79.6,3181,"2958 of 3140"
"Greensville County",51081,79.8,9242,"2946 of 3140"
"Hampton City",51650,80.7,108624,"2885 of 3140"
"Manassas Park City",51685,80.8,12945,"2877 of 3140"
"Waynesboro City",51820,80.8,17269,"2876 of 3140"
"Portsmouth City",51740,81.0,76209,"2850 of 3140"
