------------
DL METADATA
 > URL: https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=51&areatype=county&topic=pop&demo=00103&race=00&sex=0&age=999&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1
 > Details: {'stateFIPS': '51', 'areatype': 'county', 'topic': 'pop', 'demo': '00103', 'race': '00', 'sex': '0', 'age': '999', 'type': 'manyareacensus', 'file_name': 'demographics_015.csv', 'source_url': 'https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=51&areatype=county&topic=pop&demo=00103&race=00&sex=0&age=999&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1'}
------------
Demographic Data Report for Virginia by County
Population: Age 40-64
"Age N/A, All Races (includes Hispanic), Both Sexes"
2013-2017 American Community Survey 5-Year Data
Sorted by Value

County, FIPS,Value (Percent),People (Age 40-64),Rank within US
"United States",00000,32.4,104105673,"N/A"
"Virginia",51000,33.2,2780568,"39 of 52"
"Lexington City",51678,16.2,1149,"2 of 3141"
"Williamsburg City",51830,19.8,2937,"7 of 3141"
"Radford City",51750,20.1,3497,"8 of 3141"
"Harrisonburg City",51660,20.7,10992,"11 of 3141"
"Lynchburg City",51680,23.9,18940,"32 of 3141"
"Fredericksburg City",51630,25.5,7167,"57 of 3141"
"Montgomery County",51121,25.5,24887,"58 of 3141"
"Charlottesville City",51540,26.1,12115,"78 of 3141"
"Prince Edward County",51147,26.3,6014,"87 of 3141"
"Norfolk City",51710,26.3,64711,"90 of 3141"
"Newport News City",51700,28.9,52198,"265 of 3141"
"Norton City",51720,29.0,1171,"272 of 3141"
"Richmond City",51760,29.2,64609,"301 of 3141"
"Buena Vista City",51530,29.7,1931,"358 of 3141"
"Emporia City",51595,29.7,1634,"360 of 3141"
"Colonial Heights City",51570,29.8,5244,"373 of 3141"
"Arlington County",51013,29.9,68665,"387 of 3141"
"Portsmouth City",51740,29.9,28605,"390 of 3141"
"Franklin City",51620,30.3,2529,"459 of 3141"
"Hopewell City",51670,30.6,6849,"514 of 3141"
"Danville City",51590,30.8,12922,"560 of 3141"
"Hampton City",51650,30.9,42114,"575 of 3141"
"Staunton City",51790,31.2,7582,"657 of 3141"
"Virginia Beach City",51810,31.4,141277,"703 of 3141"
"Waynesboro City",51820,31.4,6796,"718 of 3141"
"Manassas City",51683,31.5,13037,"741 of 3141"
"Albemarle County",51003,31.7,33341,"810 of 3141"
"Petersburg City",51730,31.8,10188,"835 of 3141"
"Northumberland County",51133,32.0,3922,"909 of 3141"
"Winchester City",51840,32.4,8903,"1054 of 3141"
"Roanoke City",51770,32.5,32362,"1115 of 3141"
"Alexandria City",51510,32.6,50402,"1139 of 3141"
"Manassas Park City",51685,32.6,5258,"1163 of 3141"
"Martinsville City",51690,32.7,4333,"1190 of 3141"
"Prince George County",51149,32.8,12349,"1213 of 3141"
"Orange County",51137,33.0,11622,"1316 of 3141"
"Prince William County",51153,33.0,148751,"1336 of 3141"
"Nottoway County",51135,33.4,5185,"1511 of 3141"
"Bristol City",51520,33.4,5701,"1519 of 3141"
"Salem City",51775,33.5,8551,"1594 of 3141"
"Westmoreland County",51193,33.6,5911,"1631 of 3141"
"Henrico County",51087,33.6,108984,"1662 of 3141"
"Chesapeake City",51550,33.7,79443,"1726 of 3141"
"Stafford County",51179,33.8,47691,"1752 of 3141"
"Greene County",51079,33.8,6495,"1760 of 3141"
"James City County",51095,33.8,24714,"1788 of 3141"
"Covington City",51580,33.9,1926,"1839 of 3141"
"Suffolk City",51800,34.0,29932,"1870 of 3141"
"Fairfax City",51600,34.0,8021,"1880 of 3141"
"Rockingham County",51165,34.0,26775,"1894 of 3141"
"Sussex County",51183,34.0,3948,"1898 of 3141"
