------------
DL METADATA
 > URL: https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=51&areatype=county&topic=pov&demo=00009&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1
 > Details: {'stateFIPS': '51', 'areatype': 'county', 'topic': 'pov', 'demo': '00009', 'race': '00', 'sex': '0', 'age': '001', 'type': 'manyareacensus', 'file_name': 'demographics_030.csv', 'source_url': 'https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=51&areatype=county&topic=pov&demo=00009&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1'}
------------
Demographic Data Report for Virginia by County
Poverty: Persons below 150% of poverty
"All Ages, All Races (includes Hispanic), Both Sexes"
2013-2017 American Community Survey 5-Year Data
Sorted by Value

County, FIPS,Value (Percent),People (<150% Of Poverty),Rank within US
"Virginia",51000,18.4,1494189,"10 of 52"
"United States",00000,23.7,74202606,"N/A"
"Falls Church City",51610,5.8,799,"2 of 3141"
"Loudoun County",51107,6.8,25463,"5 of 3141"
"Powhatan County",51145,8.5,2189,"15 of 3141"
"Stafford County",51179,8.6,11771,"16 of 3141"
"New Kent County",51127,8.6,1713,"17 of 3141"
"Poquoson City",51735,9.0,1075,"25 of 3141"
"Hanover County",51085,9.2,9311,"27 of 3141"
"York County",51199,9.2,6059,"29 of 3141"
"Fauquier County",51061,10.4,7072,"53 of 3141"
"Fairfax County",51059,10.5,119092,"55 of 3141"
"Goochland County",51075,10.7,2252,"61 of 3141"
"James City County",51095,11.9,8603,"91 of 3141"
"Prince William County",51153,12.1,53845,"98 of 3141"
"Rappahannock County",51157,12.2,894,"102 of 3141"
"Arlington County",51013,12.3,27889,"110 of 3141"
"Frederick County",51069,12.4,10236,"115 of 3141"
"Fairfax City",51600,12.5,2860,"119 of 3141"
"Fluvanna County",51065,12.6,3133,"127 of 3141"
"King George County",51099,13.1,3329,"141 of 3141"
"Chesterfield County",51041,13.2,43696,"144 of 3141"
"Botetourt County",51023,13.2,4340,"145 of 3141"
"Spotsylvania County",51177,13.8,17834,"168 of 3141"
"Roanoke County",51161,14.1,12838,"183 of 3141"
"King William County",51101,14.3,2329,"194 of 3141"
"Gloucester County",51073,14.4,5310,"202 of 3141"
"Bland County",51021,14.5,832,"207 of 3141"
"Virginia Beach City",51810,14.7,64603,"219 of 3141"
"Isle of Wight County",51093,15.6,5579,"272 of 3141"
"Chesapeake City",51550,15.7,36019,"282 of 3141"
"Bedford City and County",51917,15.8,12122,"286 of 3141"
"Albemarle County",51003,15.8,15418,"287 of 3141"
"Augusta County",51015,16.1,11401,"306 of 3141"
"Mathews County",51115,16.2,1416,"313 of 3141"
"Henrico County",51087,16.4,52499,"331 of 3141"
"Clarke County",51043,16.8,2368,"364 of 3141"
"Alexandria City",51510,16.8,25796,"369 of 3141"
"Craig County",51045,17.2,879,"409 of 3141"
"Manassas City",51683,17.2,7093,"410 of 3141"
"Warren County",51187,17.3,6600,"422 of 3141"
"Orange County",51137,17.4,5988,"424 of 3141"
"Salem City",51775,17.5,4050,"446 of 3141"
"Prince George County",51149,17.6,5937,"456 of 3141"
"Rockingham County",51165,17.9,13730,"482 of 3141"
"Culpeper County",51047,17.9,8628,"485 of 3141"
"Suffolk City",51800,18.1,15737,"497 of 3141"
"Caroline County",51033,18.7,5174,"569 of 3141"
"Westmoreland County",51193,20.3,3550,"778 of 3141"
"Shenandoah County",51171,20.6,8744,"832 of 3141"
"Giles County",51071,20.6,3434,"834 of 3141"
"Northumberland County",51133,20.9,2558,"867 of 3141"
"Highland County",51091,21.3,464,"915 of 3141"
"Lancaster County",51103,21.3,2290,"919 of 3141"
"Amelia County",51007,21.5,2725,"949 of 3141"
"Charles City County",51036,21.6,1513,"963 of 3141"
"Louisa County",51109,22.0,7595,"1014 of 3141"
