------------
DL METADATA
 > URL: https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=51&areatype=county&topic=ed&demo=00005&race=00&sex=0&age=081&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1
 > Details: {'stateFIPS': '51', 'areatype': 'county', 'topic': 'ed', 'demo': '00005', 'race': '00', 'sex': '0', 'age': '081', 'type': 'manyareacensus', 'file_name': 'demographics_002.csv', 'source_url': 'https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=51&areatype=county&topic=ed&demo=00005&race=00&sex=0&age=081&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1'}
------------
Demographic Data Report for Virginia by County
Education: Less than High School
Population Ages 25+
"All Races (includes Hispanic), Both Sexes"
2013-2017 American Community Survey 5-Year Data
Sorted by Value

County, FIPS,Value (Percent),People(Education: Less Than High School),Rank within US
"Virginia",51000,11.0,623937,"30 of 52"
"United States",00000,12.7,27437114,"N/A"
"Falls Church City",51610,1.8,171,"4 of 3141"
"Poquoson City",51735,4.1,341,"44 of 3141"
"James City County",51095,5.7,3028,"168 of 3141"
"Williamsburg City",51830,5.8,425,"180 of 3141"
"York County",51199,5.9,2664,"189 of 3141"
"Arlington County",51013,6.1,10459,"205 of 3141"
"King George County",51099,6.2,1048,"231 of 3141"
"Stafford County",51179,6.3,5634,"239 of 3141"
"Loudoun County",51107,6.5,15671,"282 of 3141"
"Virginia Beach City",51810,6.6,20080,"295 of 3141"
"Hanover County",51085,7.1,5045,"367 of 3141"
"New Kent County",51127,7.4,1090,"418 of 3141"
"Botetourt County",51023,7.5,1817,"457 of 3141"
"Fairfax City",51600,7.8,1269,"520 of 3141"
"Roanoke County",51161,7.9,5279,"540 of 3141"
"Fairfax County",51059,8.0,61870,"565 of 3141"
"Chesapeake City",51550,8.0,12474,"566 of 3141"
"Montgomery County",51121,8.0,4378,"568 of 3141"
"Chesterfield County",51041,8.1,18097,"601 of 3141"
"Fluvanna County",51065,8.3,1540,"644 of 3141"
"Mathews County",51115,8.6,595,"684 of 3141"
"Albemarle County",51003,8.6,6057,"685 of 3141"
"Alexandria City",51510,8.6,10070,"687 of 3141"
"Fauquier County",51061,8.6,4016,"695 of 3141"
"Goochland County",51075,8.7,1441,"722 of 3141"
"Fredericksburg City",51630,8.7,1461,"727 of 3141"
"Henrico County",51087,8.8,19641,"747 of 3141"
"Powhatan County",51145,9.2,1906,"837 of 3141"
"Northumberland County",51133,9.3,907,"862 of 3141"
"Hampton City",51650,9.3,8456,"875 of 3141"
"Craig County",51045,9.4,361,"883 of 3141"
"Charlottesville City",51540,9.5,2819,"906 of 3141"
"Colonial Heights City",51570,9.5,1170,"918 of 3141"
"Lancaster County",51103,9.9,850,"1009 of 3141"
"Salem City",51775,10.0,1724,"1032 of 3141"
"Spotsylvania County",51177,10.1,8636,"1043 of 3141"
"Gloucester County",51073,10.2,2733,"1081 of 3141"
"King William County",51101,10.4,1173,"1130 of 3141"
"Bedford City and County",51917,10.4,5760,"1132 of 3141"
"Staunton City",51790,10.4,1799,"1137 of 3141"
"Prince George County",51149,10.4,2729,"1138 of 3141"
"Newport News City",51700,10.7,12459,"1220 of 3141"
"Prince William County",51153,11.2,32071,"1309 of 3141"
"Suffolk City",51800,11.4,6697,"1356 of 3141"
"Rappahannock County",51157,11.4,630,"1362 of 3141"
"Orange County",51137,11.4,2822,"1364 of 3141"
"Bland County",51021,11.8,591,"1441 of 3141"
"Radford City",51750,11.8,897,"1442 of 3141"
"Frederick County",51069,11.8,6816,"1466 of 3141"
"Middlesex County",51119,11.9,988,"1480 of 3141"
"Lynchburg City",51680,12.0,5293,"1491 of 3141"
"Isle of Wight County",51093,12.4,3208,"1579 of 3141"
"Norfolk City",51710,12.5,18887,"1582 of 3141"
"Bath County",51017,12.5,408,"1594 of 3141"
"Madison County",51113,13.0,1213,"1667 of 3141"
"Giles County",51071,13.0,1586,"1678 of 3141"
"Augusta County",51015,13.1,7069,"1693 of 3141"
"Clarke County",51043,13.1,1345,"1694 of 3141"
"Alleghany County and Clifton Forge City",51005,13.5,1535,"1751 of 3141"
"Westmoreland County",51193,13.6,1774,"1772 of 3141"
"Franklin County",51067,13.8,5617,"1799 of 3141"
"Warren County",51187,13.9,3723,"1810 of 3141"
"Shenandoah County",51171,14.0,4267,"1818 of 3141"
"Portsmouth City",51740,14.0,8885,"1827 of 3141"
"Waynesboro City",51820,14.2,2117,"1864 of 3141"
"Rockbridge County",51163,14.3,2412,"1879 of 3141"
"Nelson County",51125,14.3,1586,"1886 of 3141"
"Campbell County",51031,14.5,5711,"1905 of 3141"
"King and Queen County",51097,14.5,753,"1911 of 3141"
"Pulaski County",51155,14.6,3728,"1917 of 3141"
"Roanoke City",51770,15.0,10430,"1981 of 3141"
"Appomattox County",51011,15.1,1667,"2002 of 3141"
"Culpeper County",51047,15.1,5036,"2005 of 3141"
"Greene County",51079,15.4,2037,"2041 of 3141"
"Louisa County",51109,15.4,3873,"2047 of 3141"
"Washington County",51191,15.4,6153,"2051 of 3141"
"Highland County",51091,15.5,289,"2058 of 3141"
"Richmond City",51760,15.5,23354,"2060 of 3141"
