------------
DL METADATA
 > URL: https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=51&areatype=county&topic=ed&demo=00006&race=00&sex=0&age=081&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1
 > Details: {'stateFIPS': '51', 'areatype': 'county', 'topic': 'ed', 'demo': '00006', 'race': '00', 'sex': '0', 'age': '081', 'type': 'manyareacensus', 'file_name': 'demographics_003.csv', 'source_url': 'https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=51&areatype=county&topic=ed&demo=00006&race=00&sex=0&age=081&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1'}
------------
Demographic Data Report for Virginia by County
Education: At least bachelors degree
Population Ages 25+
"All Races (includes Hispanic), Both Sexes"
2013-2017 American Community Survey 5-Year Data
Sorted by Value

County, FIPS,Value (Percent),People (Education: At Least Bachelors Degree),Rank within US
"United States",00000,30.9,66887603,"N/A"
"Virginia",51000,37.6,2133497,"7 of 52"
"Greensville County",51081,7.5,651,"3128 of 3141"
"Dickenson County",51051,9.3,1033,"3063 of 3141"
"Galax City",51640,10.3,519,"3012 of 3141"
"Lunenburg County",51111,10.6,956,"2994 of 3141"
"Buchanan County",51027,10.8,1828,"2975 of 3141"
"Lee County",51105,11.1,2017,"2942 of 3141"
"Buckingham County",51029,11.4,1418,"2909 of 3141"
"Sussex County",51183,11.7,1049,"2868 of 3141"
"Charlotte County",51037,11.9,1007,"2847 of 3141"
"Charles City County",51036,12.8,691,"2708 of 3141"
"Henry County",51089,12.8,4852,"2706 of 3141"
"Grayson County",51077,12.8,1517,"2699 of 3141"
"Brunswick County",51025,13.1,1553,"2652 of 3141"
"Page County",51139,13.2,2266,"2632 of 3141"
"Scott County",51169,13.3,2197,"2617 of 3141"
"Richmond County",51159,13.4,909,"2595 of 3141"
"Russell County",51167,13.6,2752,"2575 of 3141"
"Nottoway County",51135,13.7,1501,"2558 of 3141"
"Wise County",51195,13.9,3865,"2507 of 3141"
"Pittsylvania County",51143,14.1,6393,"2473 of 3141"
"Bland County",51021,14.2,712,"2458 of 3141"
"Patrick County",51141,14.3,1932,"2448 of 3141"
