------------
DL METADATA
 > URL: https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=51&areatype=county&topic=pov&demo=00008&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1
 > Details: {'stateFIPS': '51', 'areatype': 'county', 'topic': 'pov', 'demo': '00008', 'race': '00', 'sex': '0', 'age': '001', 'type': 'manyareacensus', 'file_name': 'demographics_029.csv', 'source_url': 'https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=51&areatype=county&topic=pov&demo=00008&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1'}
------------
Demographic Data Report for Virginia by County
Poverty: Persons below poverty
"All Ages, All Races (includes Hispanic), Both Sexes"
2013-2017 American Community Survey 5-Year Data
Sorted by Value

County, FIPS,Value (Percent),People (Below Poverty),Rank within US
"Virginia",51000,11.2,906838,"12 of 52"
"United States",00000,14.6,45650345,"N/A"
"Falls Church City",51610,2.9,405,"4 of 3141"
"Loudoun County",51107,3.7,13727,"12 of 3141"
"Stafford County",51179,4.7,6517,"24 of 3141"
"Poquoson City",51735,4.9,581,"34 of 3141"
"New Kent County",51127,5.1,1017,"46 of 3141"
"York County",51199,5.2,3446,"50 of 3141"
"Goochland County",51075,5.3,1120,"54 of 3141"
"Powhatan County",51145,5.5,1423,"61 of 3141"
"Frederick County",51069,5.6,4591,"62 of 3141"
"King George County",51099,5.7,1449,"76 of 3141"
"Hanover County",51085,5.8,5832,"77 of 3141"
"Fluvanna County",51065,6.1,1517,"91 of 3141"
"Fairfax County",51059,6.1,69528,"95 of 3141"
"Fauquier County",51061,6.2,4190,"98 of 3141"
"Prince William County",51153,7.0,30938,"141 of 3141"
"Chesterfield County",51041,7.2,23707,"156 of 3141"
"James City County",51095,7.5,5397,"185 of 3141"
"Botetourt County",51023,7.7,2517,"200 of 3141"
"Fairfax City",51600,7.8,1797,"221 of 3141"
"Spotsylvania County",51177,8.0,10296,"231 of 3141"
"Roanoke County",51161,8.0,7270,"234 of 3141"
"Virginia Beach City",51810,8.0,35276,"241 of 3141"
"Arlington County",51013,8.2,18502,"255 of 3141"
"Bland County",51021,8.3,478,"275 of 3141"
"Gloucester County",51073,8.7,3193,"310 of 3141"
"Manassas City",51683,8.8,3633,"319 of 3141"
"Augusta County",51015,8.8,6260,"322 of 3141"
"Orange County",51137,8.9,3054,"327 of 3141"
"Salem City",51775,8.9,2054,"332 of 3141"
"Rappahannock County",51157,8.9,653,"335 of 3141"
"Bedford City and County",51917,8.9,6830,"340 of 3141"
"Culpeper County",51047,8.9,4305,"345 of 3141"
"Bath County",51017,9.3,405,"402 of 3141"
"Craig County",51045,9.3,478,"414 of 3141"
"Greene County",51079,9.4,1787,"420 of 3141"
"Westmoreland County",51193,9.5,1667,"453 of 3141"
"Chesapeake City",51550,9.6,21962,"461 of 3141"
"Madison County",51113,9.8,1264,"493 of 3141"
"Albemarle County",51003,9.8,9581,"501 of 3141"
"Warren County",51187,9.8,3749,"508 of 3141"
"Middlesex County",51119,10.2,1059,"574 of 3141"
"Rockingham County",51165,10.2,7844,"575 of 3141"
"Manassas Park City",51685,10.3,1643,"586 of 3141"
"Shenandoah County",51171,10.3,4359,"587 of 3141"
"Isle of Wight County",51093,10.3,3692,"595 of 3141"
"Clarke County",51043,10.4,1470,"605 of 3141"
"Henrico County",51087,10.4,33510,"612 of 3141"
"Alexandria City",51510,10.5,16068,"618 of 3141"
"Highland County",51091,10.6,231,"639 of 3141"
"Mathews County",51115,10.6,932,"648 of 3141"
"King William County",51101,10.9,1775,"696 of 3141"
"Lancaster County",51103,11.0,1178,"704 of 3141"
"Suffolk City",51800,11.2,9757,"748 of 3141"
"Giles County",51071,11.3,1873,"763 of 3141"
"Campbell County",51031,11.7,6366,"859 of 3141"
"Southampton County",51175,11.7,1948,"869 of 3141"
"Louisa County",51109,11.8,4057,"870 of 3141"
"Caroline County",51033,11.9,3300,"905 of 3141"
"Floyd County",51063,12.0,1868,"929 of 3141"
"Prince George County",51149,12.3,4134,"970 of 3141"
"Essex County",51057,12.3,1355,"978 of 3141"
"Winchester City",51840,12.5,3317,"1013 of 3141"
"Amelia County",51007,13.0,1645,"1103 of 3141"
"Charles City County",51036,13.2,923,"1163 of 3141"
"Colonial Heights City",51570,13.2,2312,"1173 of 3141"
