------------
DL METADATA
 > URL: https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=51&areatype=county&topic=pop&demo=00023&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1
 > Details: {'stateFIPS': '51', 'areatype': 'county', 'topic': 'pop', 'demo': '00023', 'race': '00', 'sex': '0', 'age': '001', 'type': 'manyareacensus', 'file_name': 'demographics_019.csv', 'source_url': 'https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=51&areatype=county&topic=pop&demo=00023&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1'}
------------
Demographic Data Report for Virginia by County
Population: American Indian/Alaska Native
"All Ages, Both Sexes"
2013-2017 American Community Survey 5-Year Data
Sorted by Value

County, FIPS,Value (Percent),People (AI/AN),Rank within US
"Virginia",51000,0.3,22499,"39 of 52"
"United States",00000,0.8,2632102,"N/A"
"Bath County",51017,0.0,0,"2960 of 3141"
"Bland County",51021,0.0,0,"2960 of 3141"
"Bristol City",51520,0.0,0,"2960 of 3141"
"Buena Vista City",51530,0.0,0,"2960 of 3141"
"Covington City",51580,0.0,0,"2960 of 3141"
"Craig County",51045,0.0,0,"2960 of 3141"
"Dickenson County",51051,0.0,0,"2960 of 3141"
"Falls Church City",51610,0.0,0,"2960 of 3141"
"Franklin City",51620,0.0,0,"2960 of 3141"
"Lancaster County",51103,0.0,0,"2960 of 3141"
"Lexington City",51678,0.0,0,"2960 of 3141"
"Madison County",51113,0.0,0,"2960 of 3141"
"Alleghany County and Clifton Forge City",51005,0.0,1,"2955 of 3141"
"Dinwiddie County",51053,0.0,3,"2947 of 3141"
"Surry County",51181,0.0,1,"2932 of 3141"
"Radford City",51750,0.0,5,"2899 of 3141"
"Pulaski County",51155,0.0,10,"2895 of 3141"
"Smyth County",51173,0.0,10,"2883 of 3141"
"Salem City",51775,0.0,10,"2858 of 3141"
"Russell County",51167,0.0,13,"2828 of 3141"
"Pittsylvania County",51143,0.1,33,"2806 of 3141"
"Galax City",51640,0.1,4,"2790 of 3141"
