------------
DL METADATA
 > URL: https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=51&areatype=county&topic=inc&demo=00010&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1
 > Details: {'stateFIPS': '51', 'areatype': 'county', 'topic': 'inc', 'demo': '00010', 'race': '00', 'sex': '0', 'age': '001', 'type': 'manyareacensus', 'file_name': 'demographics_004.csv', 'source_url': 'https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=51&areatype=county&topic=inc&demo=00010&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1'}
------------
Demographic Data Report for Virginia by County
Income: Median family income
"All Ages, All Races (includes Hispanic), Both Sexes"
2013-2017 American Community Survey 5-Year Data
Sorted by Value

County, FIPS,Value (Dollars),Rank within US
"United States",00000,70850.000000000,"N/A"
"Virginia",51000,83164.000000000,"9 of 52"
"Emporia City",51595,36104.000000000,"3087 of 3141"
"Buchanan County",51027,39304.000000000,"3049 of 3141"
"Dickenson County",51051,40071.000000000,"3036 of 3141"
"Petersburg City",51730,41318.000000000,"2988 of 3141"
"Galax City",51640,44512.000000000,"2862 of 3141"
"Danville City",51590,44976.000000000,"2837 of 3141"
"Grayson County",51077,45102.000000000,"2832 of 3141"
"Henry County",51089,45195.000000000,"2827 of 3141"
"Buena Vista City",51530,45313.000000000,"2820 of 3141"
"Norton City",51720,45795.000000000,"2792 of 3141"
"Lee County",51105,46445.000000000,"2741 of 3141"
"Lunenburg County",51111,47313.000000000,"2681 of 3141"
"Nottoway County",51135,47746.000000000,"2662 of 3141"
"Wise County",51195,47883.000000000,"2655 of 3141"
"Charlotte County",51037,48104.000000000,"2643 of 3141"
"Covington City",51580,48388.000000000,"2625 of 3141"
"Martinsville City",51690,49006.000000000,"2586 of 3141"
"Bristol City",51520,50198.000000000,"2495 of 3141"
"Scott County",51169,50317.000000000,"2479 of 3141"
"Smyth County",51173,50345.000000000,"2477 of 3141"
"Greensville County",51081,50705.000000000,"2439 of 3141"
"Roanoke City",51770,51828.000000000,"2337 of 3141"
"Tazewell County",51185,52395.000000000,"2271 of 3141"
"Brunswick County",51025,52500.000000000,"2260 of 3141"
"Carroll County",51035,52651.000000000,"2242 of 3141"
"Russell County",51167,52756.000000000,"2230 of 3141"
"Hopewell City",51670,52846.000000000,"2223 of 3141"
"Patrick County",51141,52990.000000000,"2211 of 3141"
"Accomack County",51001,53152.000000000,"2199 of 3141"
"Richmond County",51159,53247.000000000,"2195 of 3141"
