------------
DL METADATA
 > URL: https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=51&areatype=county&topic=pop&demo=00024&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1
 > Details: {'stateFIPS': '51', 'areatype': 'county', 'topic': 'pop', 'demo': '00024', 'race': '00', 'sex': '0', 'age': '001', 'type': 'manyareacensus', 'file_name': 'demographics_020.csv', 'source_url': 'https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=51&areatype=county&topic=pop&demo=00024&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1'}
------------
Demographic Data Report for Virginia by County
Population: Asian / Pacific Islander
"All Ages, Both Sexes"
2013-2017 American Community Survey 5-Year Data
Sorted by Value

County, FIPS,Value (Percent),People (API),Rank within US
"United States",00000,5.5,17756436,"N/A"
"Virginia",51000,6.3,525588,"9 of 52"
"Craig County",51045,0.0,0,"2927 of 3141"
"Cumberland County",51049,0.0,0,"2927 of 3141"
"Dickenson County",51051,0.0,0,"2927 of 3141"
"Highland County",51091,0.0,0,"2927 of 3141"
"King and Queen County",51097,0.0,0,"2927 of 3141"
"Floyd County",51063,0.0,2,"2915 of 3141"
"Bristol City",51520,0.0,6,"2888 of 3141"
"Greensville County",51081,0.1,7,"2857 of 3141"
"Northumberland County",51133,0.1,9,"2831 of 3141"
"Carroll County",51035,0.1,23,"2826 of 3141"
"Galax City",51640,0.1,6,"2807 of 3141"
"Bland County",51021,0.1,6,"2801 of 3141"
"Mecklenburg County",51117,0.1,31,"2780 of 3141"
"Russell County",51167,0.1,29,"2766 of 3141"
"Charlotte County",51037,0.1,13,"2761 of 3141"
"Alleghany County and Clifton Forge City",51005,0.1,17,"2756 of 3141"
"Amelia County",51007,0.1,15,"2745 of 3141"
"Southampton County",51175,0.1,22,"2735 of 3141"
"Middlesex County",51119,0.1,14,"2718 of 3141"
"Lee County",51105,0.2,38,"2675 of 3141"
"Appomattox County",51011,0.2,27,"2635 of 3141"
"Essex County",51057,0.2,21,"2605 of 3141"
"Emporia City",51595,0.2,11,"2577 of 3141"
"Martinsville City",51690,0.2,31,"2522 of 3141"
"Grayson County",51077,0.2,37,"2519 of 3141"
"Giles County",51071,0.3,43,"2481 of 3141"
"Bath County",51017,0.3,12,"2457 of 3141"
"Patrick County",51141,0.3,50,"2434 of 3141"
"Scott County",51169,0.3,64,"2414 of 3141"
"Franklin City",51620,0.3,24,"2411 of 3141"
"Mathews County",51115,0.3,29,"2327 of 3141"
"Sussex County",51183,0.4,41,"2270 of 3141"
"Powhatan County",51145,0.4,103,"2248 of 3141"
