------------
DL METADATA
 > URL: https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=51&areatype=county&topic=pop&demo=00002&race=00&sex=0&age=999&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1
 > Details: {'stateFIPS': '51', 'areatype': 'county', 'topic': 'pop', 'demo': '00002', 'race': '00', 'sex': '0', 'age': '999', 'type': 'manyareacensus', 'file_name': 'demographics_013.csv', 'source_url': 'https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=51&areatype=county&topic=pop&demo=00002&race=00&sex=0&age=999&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1'}
------------
Demographic Data Report for Virginia by County
Population: Age under 18
"All Races (includes Hispanic), Both Sexes"
2013-2017 American Community Survey 5-Year Data
Sorted by Value

County, FIPS,Value (Percent),People (Age Under 18),Rank within US
"Virginia",51000,22.3,1866274,"34 of 52"
"United States",00000,22.9,73601279,"N/A"
"Lexington City",51678,7.6,538,"3139 of 3141"
"Radford City",51750,11.0,1906,"3135 of 3141"
"Williamsburg City",51830,11.0,1636,"3134 of 3141"
"Highland County",51091,12.8,284,"3129 of 3141"
"Sussex County",51183,15.2,1760,"3092 of 3141"
"Northumberland County",51133,15.4,1883,"3084 of 3141"
"Mathews County",51115,15.4,1362,"3077 of 3141"
"Lancaster County",51103,15.4,1675,"3076 of 3141"
"Middlesex County",51119,15.6,1666,"3072 of 3141"
"Charlottesville City",51540,15.6,7263,"3070 of 3141"
"Montgomery County",51121,15.7,15361,"3068 of 3141"
"Bland County",51021,16.0,1046,"3055 of 3141"
"Charles City County",51036,16.1,1131,"3053 of 3141"
"Harrisonburg City",51660,16.2,8619,"3047 of 3141"
"Prince Edward County",51147,16.4,3761,"3033 of 3141"
"Greensville County",51081,16.6,1930,"3018 of 3141"
"Richmond County",51159,16.8,1488,"3006 of 3141"
"Arlington County",51013,17.3,39702,"2967 of 3141"
"Grayson County",51077,17.5,2748,"2952 of 3141"
"Rockbridge County",51163,17.8,3986,"2924 of 3141"
"Buchanan County",51027,17.9,4039,"2913 of 3141"
"Patrick County",51141,18.0,3232,"2896 of 3141"
"Richmond City",51760,18.0,39786,"2894 of 3141"
"Alexandria City",51510,18.1,27938,"2887 of 3141"
"Pulaski County",51155,18.1,6216,"2881 of 3141"
"Brunswick County",51025,18.1,2980,"2875 of 3141"
"Rappahannock County",51157,18.2,1338,"2867 of 3141"
"Surry County",51181,18.3,1218,"2852 of 3141"
"Goochland County",51075,18.7,4142,"2794 of 3141"
"Staunton City",51790,18.7,4545,"2789 of 3141"
"Scott County",51169,18.7,4179,"2783 of 3141"
"Nelson County",51125,18.8,2795,"2771 of 3141"
"Lunenburg County",51111,18.8,2329,"2767 of 3141"
"Lee County",51105,18.9,4606,"2759 of 3141"
"Washington County",51191,18.9,10276,"2758 of 3141"
"Westmoreland County",51193,19.0,3336,"2745 of 3141"
"Powhatan County",51145,19.0,5379,"2744 of 3141"
"Mecklenburg County",51117,19.0,5875,"2741 of 3141"
"Craig County",51045,19.0,976,"2730 of 3141"
"Buckingham County",51029,19.1,3251,"2726 of 3141"
"King and Queen County",51097,19.1,1349,"2717 of 3141"
"Lynchburg City",51680,19.3,15330,"2664 of 3141"
"Tazewell County",51185,19.4,8280,"2647 of 3141"
"Franklin County",51067,19.4,10945,"2635 of 3141"
"Salem City",51775,19.5,4969,"2630 of 3141"
"Alleghany County and Clifton Forge City",51005,19.5,3018,"2624 of 3141"
"Southampton County",51175,19.5,3529,"2612 of 3141"
"Russell County",51167,19.6,5433,"2592 of 3141"
"Carroll County",51035,19.6,5842,"2587 of 3141"
"Covington City",51580,19.7,1118,"2569 of 3141"
"Henry County",51089,19.7,10236,"2568 of 3141"
"Pittsylvania County",51143,19.8,12254,"2546 of 3141"
"Smyth County",51173,19.8,6196,"2540 of 3141"
"Augusta County",51015,19.8,14746,"2538 of 3141"
"Nottoway County",51135,19.9,3092,"2517 of 3141"
"Northampton County",51131,19.9,2388,"2516 of 3141"
"Botetourt County",51023,20.0,6622,"2498 of 3141"
"Amherst County",51009,20.0,6372,"2482 of 3141"
"Norfolk City",51710,20.0,49227,"2480 of 3141"
"Wise County",51195,20.1,7958,"2454 of 3141"
"Galax City",51640,20.2,1373,"2422 of 3141"
"Dickenson County",51051,20.2,3072,"2419 of 3141"
"Gloucester County",51073,20.3,7501,"2412 of 3141"
"Campbell County",51031,20.3,11185,"2404 of 3141"
"Wythe County",51197,20.3,5900,"2397 of 3141"
"Floyd County",51063,20.3,3169,"2391 of 3141"
"Page County",51139,20.4,4832,"2368 of 3141"
"Giles County",51071,20.4,3444,"2357 of 3141"
"James City County",51095,20.5,14935,"2344 of 3141"
"Cumberland County",51049,20.5,2006,"2333 of 3141"
"Buena Vista City",51530,20.6,1336,"2315 of 3141"
"Roanoke County",51161,20.6,19256,"2301 of 3141"
"Fluvanna County",51065,20.6,5387,"2292 of 3141"
"Bedford City and County",51917,20.6,15957,"2291 of 3141"
"Albemarle County",51003,20.7,21738,"2282 of 3141"
"Bristol City",51520,20.7,3532,"2281 of 3141"
"New Kent County",51127,20.7,4250,"2271 of 3141"
"Petersburg City",51730,20.7,6636,"2269 of 3141"
"Louisa County",51109,20.7,7217,"2261 of 3141"
"Halifax County with South Boston City",51083,20.8,7281,"2241 of 3141"
"Fredericksburg City",51630,20.8,5850,"2234 of 3141"
"Accomack County",51001,20.9,6869,"2199 of 3141"
"Dinwiddie County",51053,20.9,5864,"2198 of 3141"
"Clarke County",51043,21.0,3004,"2179 of 3141"
"Madison County",51113,21.0,2754,"2157 of 3141"
"Isle of Wight County",51093,21.1,7613,"2126 of 3141"
"Amelia County",51007,21.1,2704,"2111 of 3141"
"Essex County",51057,21.2,2347,"2092 of 3141"
"Shenandoah County",51171,21.3,9121,"2052 of 3141"
"Bath County",51017,21.3,949,"2046 of 3141"
"Hampton City",51650,21.5,29244,"1995 of 3141"
"Prince George County",51149,21.5,8102,"1986 of 3141"
"Appomattox County",51011,21.6,3343,"1942 of 3141"
"Fairfax City",51600,21.8,5133,"1876 of 3141"
"Charlotte County",51037,21.8,2651,"1875 of 3141"
"Norton City",51720,22.0,889,"1778 of 3141"
"Orange County",51137,22.0,7755,"1777 of 3141"
"Danville City",51590,22.0,9229,"1761 of 3141"
"Roanoke City",51770,22.2,22064,"1698 of 3141"
"Poquoson City",51735,22.4,2698,"1563 of 3141"
"Rockingham County",51165,22.5,17676,"1549 of 3141"
"Warren County",51187,22.5,8765,"1547 of 3141"
"Virginia Beach City",51810,22.6,101792,"1500 of 3141"
"Hanover County",51085,22.7,23409,"1467 of 3141"
"Colonial Heights City",51570,22.7,3994,"1450 of 3141"
"Winchester City",51840,22.8,6267,"1423 of 3141"
"Caroline County",51033,23.1,6892,"1288 of 3141"
"Waynesboro City",51820,23.3,5030,"1198 of 3141"
"King William County",51101,23.3,3803,"1181 of 3141"
"Henrico County",51087,23.3,75535,"1177 of 3141"
"Newport News City",51700,23.3,42193,"1161 of 3141"
"Martinsville City",51690,23.4,3099,"1153 of 3141"
"Frederick County",51069,23.4,19589,"1152 of 3141"
"Portsmouth City",51740,23.5,22490,"1086 of 3141"
"Fairfax County",51059,23.7,271008,"1002 of 3141"
"Fauquier County",51061,23.7,16238,"1001 of 3141"
"York County",51199,24.2,16231,"809 of 3141"
"Franklin City",51620,24.2,2015,"795 of 3141"
"Chesterfield County",51041,24.3,81405,"765 of 3141"
"Greene County",51079,24.4,4697,"705 of 3141"
"Chesapeake City",51550,24.4,57553,"703 of 3141"
