------------
DL METADATA
 > URL: https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=51&areatype=county&topic=pop&demo=00026&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1
 > Details: {'stateFIPS': '51', 'areatype': 'county', 'topic': 'pop', 'demo': '00026', 'race': '00', 'sex': '0', 'age': '001', 'type': 'manyareacensus', 'file_name': 'demographics_023.csv', 'source_url': 'https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=51&areatype=county&topic=pop&demo=00026&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1'}
------------
Demographic Data Report for Virginia by County
Population: Hispanic
"All Ages, Both Sexes"
2013-2017 American Community Survey 5-Year Data
Sorted by Value

County, FIPS,Value (Percent),People (Hispanic),Rank within US
"Virginia",51000,9.0,749458,"29 of 52"
"United States",00000,17.6,56510571,"N/A"
"Highland County",51091,0.0,0,"3133 of 3141"
"Craig County",51045,0.0,1,"3130 of 3141"
"Cumberland County",51049,0.1,14,"3125 of 3141"
"Buchanan County",51027,0.3,61,"3108 of 3141"
"Northumberland County",51133,0.5,59,"3074 of 3141"
"Bland County",51021,0.5,33,"3066 of 3141"
"Middlesex County",51119,0.5,55,"3064 of 3141"
"Bristol City",51520,0.5,93,"3055 of 3141"
"Mathews County",51115,0.7,60,"3029 of 3141"
"Franklin City",51620,0.7,59,"3019 of 3141"
"Buena Vista City",51530,0.7,46,"3018 of 3141"
"King William County",51101,0.8,129,"3000 of 3141"
"Dickenson County",51051,0.8,125,"2989 of 3141"
"Surry County",51181,0.8,55,"2988 of 3141"
"Norton City",51720,0.9,35,"2976 of 3141"
"Tazewell County",51185,0.9,392,"2957 of 3141"
"Amelia County",51007,1.1,142,"2899 of 3141"
"Wythe County",51197,1.1,332,"2883 of 3141"
"Wise County",51195,1.2,482,"2854 of 3141"
"Appomattox County",51011,1.3,196,"2828 of 3141"
"Russell County",51167,1.3,352,"2825 of 3141"
"Scott County",51169,1.3,287,"2812 of 3141"
"Alleghany County and Clifton Forge City",51005,1.4,221,"2736 of 3141"
"Washington County",51191,1.5,806,"2696 of 3141"
"Southampton County",51175,1.5,271,"2683 of 3141"
"Botetourt County",51023,1.6,521,"2622 of 3141"
"Giles County",51071,1.6,271,"2603 of 3141"
"Pulaski County",51155,1.6,555,"2598 of 3141"
"Rockbridge County",51163,1.6,367,"2586 of 3141"
"Lancaster County",51103,1.7,188,"2531 of 3141"
"Charles City County",51036,1.8,126,"2497 of 3141"
"Page County",51139,1.9,443,"2452 of 3141"
"Halifax County with South Boston City",51083,2.0,696,"2392 of 3141"
"Smyth County",51173,2.0,622,"2391 of 3141"
"Lee County",51105,2.0,492,"2367 of 3141"
"Powhatan County",51145,2.0,574,"2364 of 3141"
"Covington City",51580,2.0,116,"2358 of 3141"
"Bedford City and County",51917,2.0,1582,"2357 of 3141"
"Charlotte County",51037,2.1,250,"2355 of 3141"
"Brunswick County",51025,2.1,345,"2328 of 3141"
"Campbell County",51031,2.1,1183,"2305 of 3141"
"Amherst County",51009,2.3,720,"2238 of 3141"
"Buckingham County",51029,2.4,401,"2186 of 3141"
"Poquoson City",51735,2.4,287,"2170 of 3141"
"Madison County",51113,2.4,315,"2162 of 3141"
"Pittsylvania County",51143,2.5,1542,"2125 of 3141"
"Augusta County",51015,2.5,1886,"2098 of 3141"
"Goochland County",51075,2.6,568,"2082 of 3141"
"Louisa County",51109,2.6,921,"2051 of 3141"
"Mecklenburg County",51117,2.7,829,"2038 of 3141"
"Franklin County",51067,2.7,1514,"2033 of 3141"
"Patrick County",51141,2.8,502,"1974 of 3141"
"Hanover County",51085,2.8,2886,"1973 of 3141"
"Isle of Wight County",51093,2.8,1013,"1962 of 3141"
"Floyd County",51063,2.8,440,"1956 of 3141"
"Roanoke County",51161,2.8,2656,"1946 of 3141"
"Staunton City",51790,2.9,692,"1942 of 3141"
"Sussex County",51183,2.9,331,"1937 of 3141"
"Radford City",51750,2.9,501,"1924 of 3141"
"New Kent County",51127,2.9,598,"1914 of 3141"
"Montgomery County",51121,3.1,2983,"1859 of 3141"
"Grayson County",51077,3.1,480,"1856 of 3141"
"Carroll County",51035,3.1,912,"1853 of 3141"
"Dinwiddie County",51053,3.2,893,"1805 of 3141"
"King and Queen County",51097,3.2,225,"1803 of 3141"
"Salem City",51775,3.2,815,"1801 of 3141"
"Fluvanna County",51065,3.3,854,"1767 of 3141"
"Gloucester County",51073,3.3,1215,"1761 of 3141"
"Essex County",51057,3.4,378,"1726 of 3141"
"Rappahannock County",51157,3.5,261,"1685 of 3141"
"Lynchburg City",51680,3.7,2901,"1653 of 3141"
"Prince Edward County",51147,3.8,862,"1624 of 3141"
"Danville City",51590,3.9,1625,"1595 of 3141"
"Nelson County",51125,3.9,581,"1584 of 3141"
"Greensville County",51081,3.9,456,"1579 of 3141"
"Suffolk City",51800,4.0,3527,"1563 of 3141"
"Portsmouth City",51740,4.1,3891,"1548 of 3141"
"Nottoway County",51135,4.1,633,"1546 of 3141"
"Warren County",51187,4.2,1622,"1516 of 3141"
"Lunenburg County",51111,4.3,529,"1476 of 3141"
"Caroline County",51033,4.3,1288,"1472 of 3141"
"Orange County",51137,4.6,1605,"1416 of 3141"
"King George County",51099,4.6,1188,"1393 of 3141"
"Petersburg City",51730,4.7,1492,"1390 of 3141"
"Clarke County",51043,4.8,685,"1363 of 3141"
"Lexington City",51678,4.8,343,"1354 of 3141"
"Martinsville City",51690,5.1,670,"1305 of 3141"
"Henry County",51089,5.2,2709,"1271 of 3141"
"Charlottesville City",51540,5.2,2431,"1266 of 3141"
"Henrico County",51087,5.4,17556,"1235 of 3141"
"Hampton City",51650,5.4,7389,"1233 of 3141"
"James City County",51095,5.4,3976,"1229 of 3141"
"Colonial Heights City",51570,5.5,971,"1215 of 3141"
"Chesapeake City",51550,5.6,13209,"1198 of 3141"
"Bath County",51017,5.7,252,"1191 of 3141"
"Emporia City",51595,5.7,311,"1189 of 3141"
"Greene County",51079,5.7,1092,"1184 of 3141"
"Albemarle County",51003,5.7,5991,"1179 of 3141"
"York County",51199,6.0,4016,"1134 of 3141"
"Roanoke City",51770,6.0,6012,"1120 of 3141"
"Westmoreland County",51193,6.2,1086,"1101 of 3141"
"Rockingham County",51165,6.5,5099,"1059 of 3141"
"Richmond City",51760,6.5,14343,"1056 of 3141"
"Richmond County",51159,6.6,589,"1041 of 3141"
"Shenandoah County",51171,6.9,2970,"1001 of 3141"
"Waynesboro City",51820,7.2,1547,"981 of 3141"
"Hopewell City",51670,7.3,1636,"960 of 3141"
"Fauquier County",51061,7.5,5141,"935 of 3141"
"Prince George County",51149,7.6,2852,"929 of 3141"
"Norfolk City",51710,7.6,18715,"921 of 3141"
"Williamsburg City",51830,7.7,1136,"917 of 3141"
"Frederick County",51069,7.8,6522,"908 of 3141"
"Virginia Beach City",51810,7.8,35255,"902 of 3141"
"Chesterfield County",51041,8.2,27684,"877 of 3141"
"Northampton County",51131,8.4,1008,"860 of 3141"
"Newport News City",51700,8.6,15615,"841 of 3141"
"Accomack County",51001,8.8,2901,"822 of 3141"
"Spotsylvania County",51177,9.0,11706,"812 of 3141"
"Culpeper County",51047,9.7,4826,"760 of 3141"
"Falls Church City",51610,10.6,1474,"694 of 3141"
"Fredericksburg City",51630,10.7,3007,"690 of 3141"
"Stafford County",51179,11.7,16515,"639 of 3141"
"Loudoun County",51107,13.5,50426,"561 of 3141"
"Galax City",51640,14.7,997,"524 of 3141"
"Arlington County",51013,15.5,35687,"493 of 3141"
"Fairfax County",51059,16.2,184595,"476 of 3141"
"Alexandria City",51510,16.7,25900,"462 of 3141"
"Winchester City",51840,16.9,4647,"458 of 3141"
"Fairfax City",51600,16.9,3985,"457 of 3141"
"Harrisonburg City",51660,18.7,9922,"413 of 3141"
"Prince William County",51153,22.4,101042,"336 of 3141"
"Manassas City",51683,35.0,14477,"185 of 3141"
"Manassas Park City",51685,37.8,6085,"166 of 3141"

Created by statecancerprofiles.cancer.gov on 03/29/2020 5:03 pm.
Source: Demographic data provided by the Census Bureau (http://www.census.gov/) & the American Community Survey (http://www.census.gov/acs/www/).
"For more information about Population: Hispanic, see the dictionary at http://statecancerprofiles.cancer.gov/dictionary.php#population."
"Health Service Areas are a single county or cluster of contiguous counties which are relatively self-contained with respect to hospital care. For more detailed information, please see the Health Service Area information page at http://statecancerprofiles.cancer.gov/hsa.php ."
Data for United States does not include Puerto Rico.
