------------
DL METADATA
 > URL: https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=51&areatype=county&topic=mob&demo=00018&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1
 > Details: {'stateFIPS': '51', 'areatype': 'county', 'topic': 'mob', 'demo': '00018', 'race': '00', 'sex': '0', 'age': '001', 'type': 'manyareacensus', 'file_name': 'demographics_009.csv', 'source_url': 'https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=51&areatype=county&topic=mob&demo=00018&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1'}
------------
Demographic Data Report for Virginia by County
"Mobility: Moved, same county (in past year)"
"All Ages, All Races (includes Hispanic), Both Sexes"
2013-2017 American Community Survey 5-Year Data
Sorted by Value

County, FIPS,Value (Percent),People (Moved Within County),Rank within US
"Virginia",51000,6.6,547011,"4 of 51"
"United States",00000,8.4,26717038,"N/A"
"Bland County",51021,0.7,48,"18 of 3140"
"Richmond County",51159,1.0,86,"29 of 3140"
"Greene County",51079,1.0,195,"32 of 3140"
"King and Queen County",51097,1.1,75,"33 of 3140"
"Highland County",51091,1.1,25,"36 of 3140"
"Clarke County",51043,1.3,183,"44 of 3140"
"New Kent County",51127,1.3,273,"46 of 3140"
"Cumberland County",51049,1.3,130,"47 of 3140"
"King William County",51101,1.4,231,"50 of 3140"
"Floyd County",51063,1.6,237,"59 of 3140"
"Galax City",51640,1.6,104,"60 of 3140"
"Appomattox County",51011,1.8,269,"75 of 3140"
"Powhatan County",51145,1.8,498,"76 of 3140"
"Charles City County",51036,1.8,126,"82 of 3140"
"Goochland County",51075,1.9,418,"90 of 3140"
"Fairfax City",51600,1.9,448,"94 of 3140"
"Norton City",51720,2.2,86,"117 of 3140"
"Covington City",51580,2.2,122,"120 of 3140"
"Poquoson City",51735,2.4,288,"149 of 3140"
"Westmoreland County",51193,2.6,447,"170 of 3140"
"Northampton County",51131,2.7,317,"182 of 3140"
"Falls Church City",51610,2.7,368,"184 of 3140"
"Middlesex County",51119,2.8,294,"199 of 3140"
"Lexington City",51678,2.8,197,"204 of 3140"
"Accomack County",51001,2.8,916,"213 of 3140"
"Halifax County with South Boston City",51083,2.9,1006,"233 of 3140"
"Lunenburg County",51111,2.9,356,"234 of 3140"
"Surry County",51181,2.9,193,"237 of 3140"
"Fauquier County",51061,3.0,2034,"263 of 3140"
"Prince George County",51149,3.0,1137,"270 of 3140"
"Mecklenburg County",51117,3.1,964,"292 of 3140"
"Nelson County",51125,3.1,463,"293 of 3140"
"Colonial Heights City",51570,3.2,566,"310 of 3140"
"Greensville County",51081,3.3,384,"323 of 3140"
"Prince Edward County",51147,3.3,752,"327 of 3140"
"Fluvanna County",51065,3.4,867,"336 of 3140"
"Rappahannock County",51157,3.4,248,"346 of 3140"
"Russell County",51167,3.5,953,"360 of 3140"
"Northumberland County",51133,3.5,426,"366 of 3140"
"York County",51199,3.5,2350,"382 of 3140"
"Dickenson County",51051,3.6,534,"391 of 3140"
"Amherst County",51009,3.6,1125,"392 of 3140"
"Gloucester County",51073,3.6,1330,"405 of 3140"
"Nottoway County",51135,3.7,569,"433 of 3140"
"Orange County",51137,3.7,1302,"440 of 3140"
"Isle of Wight County",51093,3.9,1397,"502 of 3140"
"Manassas Park City",51685,3.9,628,"506 of 3140"
"Bath County",51017,3.9,174,"513 of 3140"
"Buckingham County",51029,4.1,698,"569 of 3140"
"Chesapeake City",51550,4.2,9664,"576 of 3140"
"Charlotte County",51037,4.3,515,"609 of 3140"
"Hanover County",51085,4.3,4429,"633 of 3140"
"Roanoke County",51161,4.3,4031,"642 of 3140"
"Brunswick County",51025,4.4,712,"651 of 3140"
"Mathews County",51115,4.5,391,"689 of 3140"
"Emporia City",51595,4.5,245,"692 of 3140"
"Carroll County",51035,4.5,1322,"698 of 3140"
"King George County",51099,4.5,1141,"711 of 3140"
"Buchanan County",51027,4.6,1032,"741 of 3140"
"Staunton City",51790,4.6,1107,"744 of 3140"
"Grayson County",51077,4.7,733,"777 of 3140"
"Stafford County",51179,4.7,6613,"798 of 3140"
"James City County",51095,4.8,3436,"806 of 3140"
"Rockbridge County",51163,4.8,1069,"830 of 3140"
"Wythe County",51197,4.8,1393,"839 of 3140"
"Henry County",51089,4.8,2488,"843 of 3140"
"Sussex County",51183,4.9,559,"851 of 3140"
