------------
DL METADATA
 > URL: https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=51&areatype=county&topic=pov&demo=00007&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1
 > Details: {'stateFIPS': '51', 'areatype': 'county', 'topic': 'pov', 'demo': '00007', 'race': '00', 'sex': '0', 'age': '001', 'type': 'manyareacensus', 'file_name': 'demographics_028.csv', 'source_url': 'https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=51&areatype=county&topic=pov&demo=00007&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1'}
------------
Demographic Data Report for Virginia by County
Poverty: Families below poverty
"All Ages, All Races (includes Hispanic), Both Sexes"
2013-2017 American Community Survey 5-Year Data
Sorted by Value

County, FIPS,Value (Percent),Families (Below Poverty),Rank within US
"Virginia",51000,7.8,162073,"12 of 52"
"United States",00000,10.5,8253388,"N/A"
"Falls Church City",51610,1.9,65,"17 of 3141"
"Fairfax City",51600,2.0,115,"20 of 3141"
"Craig County",51045,2.2,30,"25 of 3141"
"Loudoun County",51107,2.4,2218,"30 of 3141"
"Stafford County",51179,3.2,1188,"60 of 3141"
"Poquoson City",51735,3.3,110,"63 of 3141"
"Powhatan County",51145,3.4,268,"68 of 3141"
"Hanover County",51085,3.8,1087,"103 of 3141"
"Goochland County",51075,3.8,241,"104 of 3141"
"Frederick County",51069,3.8,863,"110 of 3141"
"New Kent County",51127,4.0,240,"131 of 3141"
"Fluvanna County",51065,4.1,289,"135 of 3141"
"York County",51199,4.1,793,"146 of 3141"
"Fairfax County",51059,4.2,11780,"151 of 3141"
"King George County",51099,4.3,287,"158 of 3141"
"Chesterfield County",51041,4.5,3972,"188 of 3141"
"Fauquier County",51061,4.6,820,"198 of 3141"
"Clarke County",51043,4.9,182,"225 of 3141"
"Rappahannock County",51157,5.0,108,"244 of 3141"
"James City County",51095,5.1,1020,"252 of 3141"
"Spotsylvania County",51177,5.1,1699,"260 of 3141"
"Bland County",51021,5.2,95,"266 of 3141"
"Prince William County",51153,5.2,5638,"280 of 3141"
"Gloucester County",51073,5.3,550,"294 of 3141"
"Arlington County",51013,5.3,2547,"295 of 3141"
"Greene County",51079,5.4,283,"303 of 3141"
"Westmoreland County",51193,5.6,253,"333 of 3141"
"Roanoke County",51161,5.6,1455,"334 of 3141"
"Highland County",51091,5.8,40,"368 of 3141"
"Botetourt County",51023,5.8,557,"371 of 3141"
"Virginia Beach City",51810,5.9,6892,"407 of 3141"
"Culpeper County",51047,6.0,751,"417 of 3141"
"Shenandoah County",51171,6.0,704,"427 of 3141"
"Orange County",51137,6.1,592,"449 of 3141"
"Bedford City and County",51917,6.2,1402,"469 of 3141"
"Lancaster County",51103,6.4,194,"492 of 3141"
"King William County",51101,6.4,310,"501 of 3141"
"Albemarle County",51003,6.5,1647,"511 of 3141"
"Floyd County",51063,6.6,294,"536 of 3141"
"Essex County",51057,6.6,189,"551 of 3141"
"Giles County",51071,6.8,315,"574 of 3141"
"Middlesex County",51119,6.9,202,"609 of 3141"
"Augusta County",51015,7.0,1436,"622 of 3141"
"Manassas City",51683,7.0,663,"631 of 3141"
"Williamsburg City",51830,7.1,152,"676 of 3141"
"Isle of Wight County",51093,7.2,734,"685 of 3141"
"Alexandria City",51510,7.3,2409,"702 of 3141"
"Amherst County",51009,7.4,614,"727 of 3141"
"Mathews County",51115,7.4,189,"746 of 3141"
"Henrico County",51087,7.6,6141,"802 of 3141"
"Warren County",51187,7.7,767,"808 of 3141"
"Rockingham County",51165,7.7,1676,"819 of 3141"
"Chesapeake City",51550,7.8,4834,"839 of 3141"
"Staunton City",51790,7.9,462,"853 of 3141"
"Salem City",51775,7.9,499,"862 of 3141"
"Madison County",51113,8.1,295,"898 of 3141"
"Louisa County",51109,8.1,775,"915 of 3141"
"Montgomery County",51121,8.2,1595,"945 of 3141"
"Winchester City",51840,8.3,513,"968 of 3141"
"Caroline County",51033,8.3,642,"973 of 3141"
"Manassas Park City",51685,8.5,297,"1025 of 3141"
"Charles City County",51036,9.1,172,"1160 of 3141"
"Suffolk City",51800,9.2,2186,"1189 of 3141"
"Southampton County",51175,9.4,462,"1231 of 3141"
"Rockbridge County",51163,9.4,571,"1238 of 3141"
"Franklin County",51067,9.4,1535,"1256 of 3141"
"King and Queen County",51097,9.5,176,"1267 of 3141"
"Lexington City",51678,9.5,75,"1298 of 3141"
"Bath County",51017,9.6,109,"1307 of 3141"
"Campbell County",51031,9.6,1489,"1319 of 3141"
"Carroll County",51035,9.8,809,"1348 of 3141"
"Nelson County",51125,9.8,425,"1350 of 3141"
"Tazewell County",51185,9.8,1132,"1353 of 3141"
"Amelia County",51007,10.0,340,"1403 of 3141"
"Washington County",51191,10.0,1499,"1408 of 3141"
