------------
DL METADATA
 > URL: https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=51&areatype=county&topic=mob&demo=00020&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1
 > Details: {'stateFIPS': '51', 'areatype': 'county', 'topic': 'mob', 'demo': '00020', 'race': '00', 'sex': '0', 'age': '001', 'type': 'manyareacensus', 'file_name': 'demographics_011.csv', 'source_url': 'https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=51&areatype=county&topic=mob&demo=00020&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1'}
------------
Demographic Data Report for Virginia by County
"Mobility: Moved, different state (in past year)"
"All Ages, All Races (includes Hispanic), Both Sexes"
2013-2017 American Community Survey 5-Year Data
Sorted by Value

County, FIPS,Value (Percent),People (Moved From Different State),Rank within US
"United States",00000,2.3,7354769,"N/A"
"Virginia",51000,3.2,260796,"32 of 51"
"Amelia County",51007,0.2,20,"33 of 3140"
"Highland County",51091,0.2,5,"54 of 3140"
"Lunenburg County",51111,0.3,31,"63 of 3140"
"Northumberland County",51133,0.4,52,"132 of 3140"
"Dinwiddie County",51053,0.4,122,"143 of 3140"
"Dickenson County",51051,0.5,75,"179 of 3140"
"Rappahannock County",51157,0.6,44,"251 of 3140"
"Southampton County",51175,0.6,108,"252 of 3140"
"Essex County",51057,0.6,69,"265 of 3140"
"Nottoway County",51135,0.6,99,"282 of 3140"
"Page County",51139,0.8,197,"462 of 3140"
"Northampton County",51131,0.9,104,"501 of 3140"
"Cumberland County",51049,0.9,88,"545 of 3140"
"Buckingham County",51029,0.9,155,"552 of 3140"
"Charlotte County",51037,0.9,112,"565 of 3140"
"Goochland County",51075,0.9,206,"572 of 3140"
"Charles City County",51036,1.0,66,"591 of 3140"
"Greensville County",51081,1.0,111,"602 of 3140"
"Wythe County",51197,1.0,277,"605 of 3140"
"Madison County",51113,1.0,130,"649 of 3140"
"King and Queen County",51097,1.0,73,"695 of 3140"
"Richmond County",51159,1.1,93,"716 of 3140"
"Rockingham County",51165,1.1,850,"755 of 3140"
"Powhatan County",51145,1.1,309,"770 of 3140"
"Mathews County",51115,1.1,97,"781 of 3140"
"Floyd County",51063,1.1,171,"790 of 3140"
"Isle of Wight County",51093,1.1,402,"797 of 3140"
"Grayson County",51077,1.1,176,"801 of 3140"
"Pittsylvania County",51143,1.1,698,"807 of 3140"
"King William County",51101,1.2,187,"841 of 3140"
"Franklin City",51620,1.2,96,"849 of 3140"
"Greene County",51079,1.2,225,"869 of 3140"
"Sussex County",51183,1.3,148,"994 of 3140"
"Campbell County",51031,1.3,713,"1014 of 3140"
